"","V_bh","V_daily"
"1",1000039.68253968,1000039.68253968
"2",1001624.32336549,1001624.35714286
"3",1006710.86963985,1006701.2952381
"4",996605.32610064,996674.531746032
"5",1009931.64990101,1010026.86349206
"6",1004409.48261064,1004558.92698413
"7",1001462.24579714,1001623.36825397
"8",1001347.43250821,1001508.89047619
"9",1001593.10948604,1001754.2047619
"10",1006576.65854133,1006728.32698413
"11",1012744.67561598,1012861.03968254
"12",1016955.7455282,1017024.09047619
"13",1016892.43084881,1016963.00793651
"14",1005962.909557,1006204.21746032
"15",986793.610739177,987146.498412698
"16",969478.261864707,969594.217460317
"17",974204.317872306,974473.838095238
"18",972081.058811412,972290.649206349
"19",984325.911811492,984913.873015873
"20",992090.385781806,992812.896825396
"21",988679.661482473,989368.23015873
"22",980531.065105687,981107.62063492
"23",973103.449262425,973519.477777777
"24",955530.607340269,955432.033333333
"25",966796.986759135,967263.674603174
"26",966012.691546217,966447.576190476
"27",971665.722525492,972317.346031745
"28",974898.318856502,975654.246031746
"29",972311.57230977,972989.873015873
"30",982187.489271123,983170.488888889
"31",979549.244114853,980474.209523809
"32",977786.475320722,978668.519047619
"33",977414.168984104,978284.849206349
"34",979204.804248063,980122.163492063
"35",987741.75736144,988872.949206349
"36",984897.51776702,985983.276190476
"37",973659.004817981,974524.784126984
"38",972308.22490015,973129.639682539
"39",973223.383801971,974072.539682539
"40",967263.47833053,967924.921428571
"41",958033.411153454,958333.207142857
"42",958098.842997906,958398.111904762
"43",961717.678900447,962189.016666666
"44",950041.427770339,949987.564285714
"45",953711.762282418,953867.377777778
"46",940954.040352022,940411.542063492
"47",942924.920749362,942514.966666666
"48",952105.606481958,952314.728571428
"49",953278.258431467,953549.171428571
"50",949378.297341527,949425.261904761
"51",956164.297730628,956615.385714285
"52",957748.938556437,958279.187301587
"53",956681.400991062,957153.902380952
"54",948610.052528582,948655.219841269
"55",947130.526086907,947079.053968253
"56",956259.713209965,956788.666666666
"57",966985.357228688,968072.96031746
"58",968467.000835422,969611.998412698
"59",975742.238015129,977167.042063492
"60",982631.235623305,984267.937301587
"61",977160.56694247,978667.91031746
"62",978873.954292123,980429.053174603
"63",980973.581213307,982583.767460317
"64",969348.828692736,970663.361111111
