"","V_bh","V_daily"
"1",1000039.68253968,1000039.68253968
"2",1005631.63914906,1005630.99714286
"3",1002363.5839451,1002381.45396825
"4",1006597.00540976,1006605.95587302
"5",1015555.76650822,1015509.58444444
"6",1001951.03085534,1002107.97222222
"7",1008665.25562775,1008812.45825397
"8",1013961.87851002,1014067.86619048
"9",1016068.89713948,1016148.58047619
"10",1018116.84902352,1018167.33412698
"11",1016975.19665476,1017046.09920635
"12",1011580.73861559,1011736.61666667
"13",1006304.41406726,1006515.31984127
"14",1007348.23127912,1007554.30666667
"15",1003784.84234804,1004012.9331746
"16",1007309.46286764,1007529.0068254
"17",1014850.62207596,1015026.37539683
"18",1009987.76474559,1010227.69761905
"19",1008609.84539514,1008861.80142857
"20",1008944.86166193,1009195.06968254
"21",1008984.54420161,1009235.04587302
"22",1009319.56046841,1009568.27206349
"23",1009063.90928098,1009315.06412698
"24",1007922.25691222,1008181.84031746
"25",1009970.20879626,1010218.58888889
"26",1006584.02010144,1006859.2168254
"27",1006623.70264113,1006899.08190476
"28",1004300.71536392,1004586.14698413
"29",1006230.53375711,1006512.6368254
"30",1007215.28422355,1007494.08603175
"31",1001052.95849389,1001359.96698413
"32",1005522.64694025,1005836.60190476
"33",1001900.19126375,1002223.99142857
"34",1002707.74149392,1003032.21809524
"35",1007354.63017654,1007680.14857143
"36",1005622.31035356,1005955.7215873
"37",1004008.12402141,1004345.7631746
"38",1004461.27377905,1004798.64126984
"39",1007985.89429865,1008319.38730159
"40",1008439.04405629,1008770.87619048
"41",1008301.52635971,1008634.46301587
"42",1012239.61409726,1012554.49190476
"43",1009030.62563872,1009373.7315873
"44",1003813.36783581,1004184.89428571
"45",1003026.11593958,1003397.76063492
"46",1005901.00225954,1006275.1952381
"47",1005409.08409042,1005784.43095238
"48",1006039.43408432,1006414.09285714
"49",1004661.51473387,1005039.07063492
"50",1002870.12816546,1003248.55285714
"51",1005863.14797626,1006245.70365079
"52",1004485.22862581,1004869.94555556
"53",1007005.71447323,1007390.17190476
"54",1006336.59606784,1006722.93349206
"55",1005726.54440788,1006114.15126984
"56",1005884.36043841,1006271.89730159
"57",1008345.7795404,1008730.65126984
"58",1008208.26184382,1008593.91253968
"59",1005767.14107576,1006161.20587302
"60",1008346.69366861,1008738.80396825
"61",1006909.70757273,1007306.63730159
"62",1006831.25662157,1007228.49507937
"63",1006870.93916125,1007268.26492064
"64",1002657.81603053,1003061.47476191
"65",1001516.16366176,1001916.47
"66",1007285.32050741,1007708.11761905
"67",1009628.60611856,1010047.72539683
"68",1010672.42333043,1011087.87047619
"69",1012720.37521447,1013126.2952381
"70",1014709.26035309,1015102.38936508
"71",1010378.00373152,1010809.00492064
"72",1011539.95443422,1011966.27587302
"73",1012229.37117355,1012652.45444444
"74",1008665.98224247,1009111.0968254
"75",1005279.79354766,1005733.54634921
"76",1003665.60721552,1004117.57301587
"77",998389.282667192,998826.476190477
"78",1000319.10106039,1000771.46507937
"79",1000949.45105429,1001405.33333333
"80",1001402.60081193,1001860.61746032
"81",999670.280988946,1000118.71746032
"82",997760.760929692,998194.976031746
"83",1000458.44701338,1000916.7752381
"84",999730.261862571,1000183.37761905
"85",1002959.54865506,1003435.79825397
"86",998982.692506024,999442.265873016
"87",998254.507355216,998707.374761905
"88",999121.124330811,999581.271904762
"89",997979.471962047,998429.460793651
"90",1002331.02691756,1002821.79206349
"91",1001071.24105795,1001554.94
"92",1002587.59223319,1003080.89238095
"93",1005344.3450623,1005851.42825397
"94",1008632.69860021,1009147.59730159
"95",1003947.04150611,1004465.74333333
"96",1001978.45470143,1002489.09888889
"97",1000659.6020964,1001161.68507937
"98",999754.216709326,1000248.94571429
"99",999852.965994431,1000347.89666667
"100",1002964.11929607,1003484.91761905
"101",1004893.93768927,1005424.89761905
"102",1006055.88839198,1006590.79698413
"103",1005445.83673202,1005979.10603175
"104",1003890.71714529,1004418.95126984
"105",1002217.46406773,1002737.32507937
"106",1004915.15015142,1005452.48539683
"107",1007790.03647137,1008338.44888889
"108",1007770.65226563,1008318.98349206
"109",1008223.80202327,1008772.63015873
"110",1008795.08527175,1009344.39269841
"111",1010488.63668326,1011038.61904762
"112",1008047.51591521,1008600.38888889
"113",998577.452441894,999118.515555556
"114",997376.733327708,997903.689206349
"115",987316.002400172,987718.837301588
"116",985111.148613807,985461.710634921
"117",988222.30191545,988649.576666667
"118",994582.126215322,995148.031746032
"119",996571.011353941,997166.820793651
"120",999977.498382696,1000618.60920635
"121",1006573.58966426,1007281.30460317
"122",1002537.6667698,1003230.57190476
"123",1002518.28256406,1003210.47047619
"124",1002144.49788579,1002833.18111111
"125",994269.236538876,994891.545873016
"126",1003523.33136444,1004296.8731746
"127",1003090.47994075,1003860.40555556
"128",1003957.09691634,1004733.12206349
"129",1003878.64596518,1004653.65031746
"130",1004449.92921366,1005228.43063492
"131",1002126.94193645,1002889.9068254
"132",1002580.09169409,1003346.48777778
"133",1001615.63956159,1002373.02460317
"134",999883.319738606,1000623.18174603
"135",1002344.7388406,1003112.21746032
"136",1004097.35699753,1004879.9984127
"137",1003782.63906468,1004562.44285714
"138",1004176.7220769,1004959.05142857
"139",1004629.87183454,1005415.06587302
"140",1003311.01922951,1004086.25619048
"141",1000515.49798892,1001266.30095238
"142",999491.979110999,1000230.26666667
"143",999118.194432725,999850.842698413
"144",994078.136866087,994743.832857143
"145",995240.087568794,995925.706666667
"146",994098.43520003,994763.170158731
"147",999572.258318567,1000336.90603175
"148",996894.870568822,997623.964126985
"149",997052.686599349,997783.091111112
"150",999455.038955925,1000221.81809524
"151",998018.052860049,998764.790317461
"152",1000243.20498036,1001021.72904762
"153",997683.950721458,998429.335079366
"154",999495.63562381,1000267.87793651
"155",998826.517218425,999588.644285715
"156",997330.464377127,998069.906825398
"157",997901.747625611,998649.115873017
"158",996405.694784313,997128.770793652
"159",994200.840997947,994884.802222223
"160",981895.573744363,982337.806349207
"161",976914.582923147,977191.298412699
"162",982093.072314573,982565.294126985
"163",986503.694015507,987117.786190477
"164",986897.777027724,987520.832857144
"165",986287.725367761,986891.705396826
"166",982606.202945837,983103.106190477
"167",980755.749632005,981189.926190477
"168",983276.235479425,983794.966825398
"169",985383.254108889,985967.090634922
"170",983060.266831679,983572.493809525
"171",985462.619188254,986050.201746033
"172",986860.83687265,987487.894920636
"173",992393.726736609,993176.295714286
"174",995918.347256209,996779.358730159
"175",994540.427905756,995373.814603175
"176",991981.173646856,992760.446984128
"177",989717.253115067,990441.746190477
"178",989166.268200527,989874.600158731
"179",987670.215359229,988336.950317461
"180",988064.298371445,988739.996984127
"181",988989.982092463,989689.32952381
"182",990210.999540592,990941.243809524
"183",989837.214862318,990555.875714286
"184",993834.369345297,994656.153809524
"185",998953.791991299,999886.870634921
"186",997871.206367958,998784.833809524
"187",997438.354944261,998342.84936508
"188",997123.63701141,998020.861111111
"189",994859.716479622,995712.466984127
"190",995726.333455217,996596.007619048
"191",998305.88604806,999227.43
"192",997046.100188451,997943.625555556
"193",998857.785090803,999788.925555556
"194",999133.734612175,1000068.43698413
"195",999645.951115236,1000588.31634921
"196",999449.366673229,1000387.1315873
"197",999843.449685446,1000786.75888889
"198",1001182.60062442,1002147.39412698
"199",998977.746838054,999906.924920635
"200",997422.627251334,998322.470476191
"201",996694.442100526,997578.472539683
"202",999333.061438791,1000269.75285714
