"","V_bh","V_daily"
"1",1000039.68253968,1000039.68253968
"2",1006075.36774426,1006064.71714286
"3",992744.878764297,992840.06984127
"4",993179.722699651,993277.548730159
"5",990776.589338822,990863.505555555
"6",996727.363830276,996857.707142857
"7",982185.264290038,982296.688888889
"8",981947.354113753,982053.441269841
"9",975106.003094109,975097.145714286
"10",970403.748885741,970271.612380952
"11",984117.322034299,984420.27063492
"12",980737.715472598,980983.254444444
"13",974431.955104938,974551.953333333
"14",976950.377308374,977133.23031746
"15",968672.075759018,968664.98047619
"16",970811.665550075,970870.279365079
"17",963362.876351962,963181.345555555
"18",971217.610295284,971331.782222222
"19",960323.40562252,960087.506349206
"20",967224.526941578,967289.956031746
"21",980585.394051025,981115.293492063
"22",980853.682356798,981387.258571428
"23",984622.904680415,985228.991587301
"24",981814.812533941,982372.975396825
"25",978709.532891549,979205.09015873
"26",986005.815606278,986665.347936508
"27",993338.02208425,994117.979365079
"28",992502.471119472,993275.616507937
"29",996232.503883188,997043.941904762
"30",983760.919424399,984517.73015873
"31",986720.224176724,987533.718412698
"32",987354.281708242,988177.045714286
"33",980712.144284763,981443.896825397
"34",973550.745192592,974118.038095238
"35",976555.771098135,977207.465714286
"36",975948.825899447,976582.832380952
"37",978313.755659937,979013.795238095
"38",986302.387266255,987206.425396826
"39",990257.759999403,991226.160952381
"40",990692.603934756,991665.877301587
"41",983779.405388627,984658.10952381
"42",984511.436819898,985403.013968254
"43",981242.867344584,982068.692222222
"44",974359.06096838,975026.725555556
"45",974398.743508063,975065.281111111
"46",962835.050520319,963165.748730159
"47",964360.670539591,964755.378095238
"48",955912.547563996,955956.913015873
"49",962137.648974758,962491.118730159
"50",965835.023771889,966348.358412698
"51",959568.45296413,959821.148888889
"52",964581.943814612,965067.737460318
"53",953093.364150013,953103.872380953
"54",950602.054279407,950467.781111111
"55",937594.879168634,936682.636666667
"56",935002.329601616,933890.584603175
"57",930244.556850055,928756.593492063
"58",939461.127999945,938740.676031746
"59",943899.838638542,943492.255396825
"60",936931.121549219,936061.437301587
"61",944599.70508301,944297.765555556
"62",947359.796239171,947233.891269841
"63",945279.976747528,945019.258095238
"64",952746.080888496,952970.087619048
"65",958295.162390961,958827.856666667
"66",953566.781809326,953857.905873016
"67",939178.174712035,938653.456666667
"68",935890.01045677,935113.814285714
"69",939345.716301177,938832.639047619
"70",937550.021118818,936897.066666666
"71",940150.088238715,939685.874920635
"72",943367.390927057,943128.454285714
"73",949399.810334971,949569.81063492
"74",943446.756006422,943239.820952381
"75",943855.473568508,943671.397301587
"76",943499.99471252,943286.329523809
"77",947213.698492944,947249.785873016
"78",941538.236880362,941197.143015873
"79",945033.13228467,944937.262063492
"80",951176.588778971,951497.333968254
"81",954315.512347511,954818.38984127
"82",953940.438711572,954417.882698413
"83",949950.128174743,950198.20968254
"84",937890.034094917,937379.312063492
"85",938161.588197349,937666.176507937
"86",936702.270070809,936087.448888889
"87",939011.681288105,938570.737777778
"88",929462.984838617,928302.361904762
"89",925920.088443994,924444.591269842
"90",919428.177666803,917341.011904762
"91",934908.546807575,934397.954761905
"92",931068.462917035,930241.124285715
"93",933299.495014528,932659.817142858
"94",924410.489490044,923018.195238096
"95",920681.442685891,918923.224444445
"96",938402.14833435,938395.674920636
"97",927886.776073965,927055.987301588
"98",938079.820424728,938160.527301588
"99",944771.930757646,945367.703809525
"100",945827.276058102,946493.418095239
"101",941993.723760879,942391.540000001
"102",937013.876836544,937033.765238096
"103",933611.409698234,933350.026190477
"104",936093.908138427,936034.676349207
"105",951639.593212368,952831.949682541
"106",950813.839637565,951949.891746033
"107",951434.833982449,952606.792063493
"108",951830.488357902,953022.498253969
"109",952569.05138249,953802.570317461
"110",950322.676261266,951411.094126985
"111",946753.653493376,947603.114761906
"112",948772.408808071,949755.324603176
"113",939759.303010567,940118.393809525
"114",938326.111257294,938567.842063493
"115",940361.195555282,940761.576825398
"116",950289.710376711,951457.12888889
"117",950606.985632361,951790.333650795
"118",958736.046494992,960447.714285715
"119",958070.316956452,959740.268253969
"120",954115.930182866,955558.640476191
"121",955458.665589265,956980.726031747
"122",958401.641358298,960094.277142858
"123",961387.07248389,963243.907301588
"124",960946.682914783,962776.076507937
"125",959213.037868934,960945.981904763
"126",957505.519196353,959137.985873017
"127",965301.468799823,967393.168412699
"128",966830.354615753,968995.248412699
"129",964776.661497377,966841.091904763
"130",968333.607038196,970573.178095239
"131",959983.457962354,961825.317142858
"132",961691.962594498,963626.036984128
"133",958661.79627525,960430.278253969
"134",963698.147702341,965746.484603175
"135",963561.477222468,965598.637301588
"136",965436.537484192,967569.822063493
"137",970345.522841604,972721.936190477
"138",970966.517186488,973367.098730159
"139",971424.221698451,973841.785079366
"140",967143.255259021,969368.577301588
"141",959772.845180711,961646.636984128
"142",961001.277704064,962940.175079366
"143",955025.362798906,956623.060793651
"144",958141.425790836,959929.332539683
"145",959974.030696,961866.531269842
"146",962436.934356243,964464.161428572
"147",963168.965787514,965231.274761905
"148",958404.661442636,960208.891904762
"149",955825.175062252,957471.630634921
"150",955717.896752305,957353.028253969
"151",964526.243319891,966707.517936508
"152",950402.165751933,951826.142698413
"153",950794.554330726,952240.380158731
"154",949749.992379808,951119.033492064
"155",942294.671588378,943123.81920635
"156",943764.773064456,944706.927460318
"157",950388.301667547,951840.271269842
"158",950463.907970472,951915.962857143
"159",947495.791787734,948738.974444445
"160",943250.749111548,944171.029047619
"161",944929.861573766,945975.061111111
"162",936837.71043394,937247.324603175
"163",936900.253550232,937308.888888889
"164",935728.325529634,936028.553174604
"165",938276.139902997,938799.29984127
"166",925637.999814627,925054.96968254
