"","V_bh","V_daily"
"1",1000039.68253968,1000039.68253968
"2",993590.228374885,993591.257142857
"3",993629.910914568,993630.677777778
"4",989295.434638638,989267.51047619
"5",997314.351940866,997374.348571429
"6",989567.070435173,989603.884126984
"7",984078.969856224,984054.13015873
"8",976620.094426285,976467.873968254
"9",968199.865410498,967835.076190476
"10",980400.670811169,980450.079206349
"11",976498.803648871,976463.572222222
"12",978797.667115298,978818.916507937
"13",979173.823410028,979201.978095238
"14",984837.424426927,984992.507619048
"15",981175.895661091,981267.787301587
"16",977466.299215963,977479.216190476
"17",979669.027323805,979734.654285714
"18",977689.867333205,977709.17968254
"19",979988.730799633,980063.137777778
"20",990362.964387191,990669.213174603
"21",992854.098570788,993188.589206349
"22",992413.104317546,992742.830476191
"23",988655.440193125,988947.495873016
"24",993165.416907005,993518.552539683
"25",994454.859108291,994819.161746032
"26",990408.788908116,990740.308571429
"27",991121.418957893,991460.638730159
"28",986402.401247623,986686.512698413
"29",987115.0312974,987409.616190476
"30",990663.654425431,991013.293492063
"31",990703.336965114,991052.523650793
"32",993867.418658805,994254.653809524
"33",999627.155034288,1000065.50301587
"34",997744.130402273,998175.882380952
"35",996630.188638937,997055.702380952
"36",998352.239953855,998788.454761905
"37",1002669.94595057,1003126.67063492
"38",1003478.71135893,1003935.9531746
"39",1002364.76959559,1002822.22746032
"40",1001587.3015873,1002043.85412698
"41",1001146.30733406,1001601.88904762
"42",1003637.44151766,1004099.19015873
"43",1008339.68894871,1008801.68650794
"44",1005783.7168066,1006257.67539683
"45",1005438.85791194,1005913.62111111
"46",1005238.20205516,1005713.39095238
"47",1000519.18434489,1001000.16285714
"48",996376.978786131,996842.854285714
"49",1000646.61710355,1001145.85904762
"50",1005493.06757248,1006009.43047619
"51",1006926.71281164,1007441.48238095
"52",1005572.43265184,1006090.74190476
"53",1002247.37764105,1002769.09587302
"54",1003632.95520092,1004157.75492064
"55",1000548.2385866,1001069.62952381
"56",997607.725010148,998116.437142857
"57",1002550.31083766,1003094.70571429
"58",999225.255826871,999761.724761905
"59",999553.344442308,1000091.30888889
"60",1003438.44132539,1003998.00888889
"61",1005641.16943323,1006204.40968254
"62",1009622.40167489,1010184.23984127
"63",1009710.15189387,1010271.99873016
"64",1004510.45739067,1005094.05761905
"65",1007722.60676366,1008309.66015873
"66",1008435.23681343,1009021.04174603
"67",1011887.72458288,1012464.60714286
"68",1007072.57151403,1007678.78746032
"69",1013745.59379606,1014343.93730159
"70",1019216.92409579,1019774.06904762
"71",1016997.42570873,1017584.15714286
"72",1021795.80849837,1022332.74793651
"73",1022941.04766177,1023461.90126984
"74",1023124.93323933,1023644.14428571
"75",1021770.65307954,1022313.11523809
"76",1021569.99722276,1022116.64063492
"77",1022234.55959324,1022772.76015873
"78",1019053.70762033,1019641.31349206
"79",1021544.84180393,1022103.50984127
"80",1021440.32130573,1022001.67142857
"81",1021431.93616612,1021994.57507936
"82",1016664.85077656,1017295.86873016
"83",1013483.99880365,1014145.43190476
"84",1013860.15509838,1014519.79809524
"85",1013515.29620372,1014177.71015873
"86",1012545.55747826,1013214.5084127
"87",1016478.72204063,1017127.85698413
"88",1016902.94601466,1017549.05634921
"89",1018721.13268816,1019351.4615873
"90",1020347.04864449,1020960.77825397
"91",1016781.65523724,1017440.00047619
"92",1018311.43583499,1018957.22984127
"93",1014553.77171057,1015238.5447619
"94",1013920.50674016,1014609.8968254
"95",1007182.6464996,1007911.46714286
"96",1009145.03621099,1009875.55761905
"97",1014712.5018693,1015437.62746032
"98",1018068.85428016,1018773.7415873
"99",1015609.01749664,1016338.13269841
"100",1019878.65581405,1020578.38857143
"101",1022658.1960734,1023328.3431746
"102",1019958.02089342,1020665.68095238
"103",1022449.15507702,1023130.39555556
"104",1020662.26580358,1021368.32539683
"105",1023826.34749728,1024497.32380952
"106",1023962.16539554,1024632.40126984
"107",1022992.42667008,1023677.94873016
"108",1022022.68794463,1022722.40650794
"109",1024754.16052469,1025420.96460317
"110",1025178.38449871,1025840.10587302
"111",1032187.88053579,1032743.30507936
"112",1030497.12662095,1031091.20412698
"113",1034093.81742827,1034617.15968254
"114",1033556.68781645,1034094.45015873
"115",1029799.02369203,1030424.4868254
"116",1031088.46589331,1031690.90269841
"117",1032137.56969814,1032720.35619048
"118",1036022.66658121,1036524.95936508
"119",1034091.57426991,1034643.62539682
"120",1032160.4819586,1032758.52206349
"121",1032873.11200837,1033457.95730159
"122",1026087.18408853,1026820.31634921
"123",1034009.96603217,1034624.42555556
"124",1030348.43726634,1031046.85428571
"125",1031830.15018479,1032502.16222222
"126",1031293.02057297,1031977.64571429
"127",1031380.77079194,1032065.30539682
"128",1028055.71578115,1028807.44507936
"129",1024922.93148753,1025728.03777778
"130",1027221.79495396,1027997.06349206
"131",1025723.31175629,1026523.19650794
"132",1019946.80510158,1020829.31603175
"133",1023110.88679527,1023967.30333333
"134",1025794.29169604,1026621.10968254
"135",1018768.02537973,1019693.61920635
"136",1023085.73137644,1023981.62095238
"137",1020577.82691363,1021502.72936508
"138",1024366.78843812,1025259.52460317
"139",1008592.20449059,1009678.84269841
"140",1013390.58728022,1014493.23968254
"141",1008671.56956995,1009780.05920635
"142",1012460.53109445,1013582.40619048
"143",1022161.81717191,1023282.23603175
"144",1012924.43760815,1014133.64888889
"145",1013156.390865,1014365.63460317
"146",1015839.79576577,1017047.62825397
"147",1018042.52387361,1019243.91714286
"148",1015438.48405221,1016653.79333333
"149",1006681.78128138,1007918.81634921
"150",1015998.5259245,1017293.75015873
"151",1014163.56897178,1015464.36904762
"152",1012376.67969835,1013679.42650794
"153",1012320.22687945,1013622.94460317
"154",995536.221666774,996820.682698412
"155",993941.603110513,995195.454126984
"156",982733.448695764,983761.442063492
"157",986041.733427332,987173.477619047
"158",990167.168706873,991414.568095237
"159",996695.987951035,998100.817301587
"160",997024.076566472,998433.388412698
"161",986873.411096157,988105.707460317
"162",994700.057681215,996150.461746031
"163",995268.484693115,996728.815555555
"164",996173.385460061,997649.855238095
"165",987897.359482151,989218.854603174
"166",976064.3252366,977058.27063492
"167",974373.571321754,975296.172539682
"168",960041.017752996,960351.473015873
"169",952678.277681642,952550.476190476
"170",977953.491849858,979536.019841269
"171",974916.842914824,976376.929047619
"172",980820.782328185,982529.791269841
"173",980187.517357773,981870.911587301
"174",983351.599051465,985149.59015873
"175",986227.274669401,988119.855714285
"176",977807.045653614,979439.482380952
"177",976885.374607447,978478.007777777
"178",979280.37343246,980968.743492063
"179",978214.499348416,979858.964444444
"180",976571.813112863,978147.997777777
"181",963873.560640048,964917.709682539
"182",976747.313550813,978511.045714285
"183",974191.341408703,975844.995555555
"184",970866.286397915,972367.762222221
"185",973741.962015852,975379.976031745
"186",967580.913926809,968934.578888888
"187",957814.789890833,958650.067777777
"188",968717.767950608,970247.451904761
"189",975438.85791194,977311.830476189
"190",965288.192441625,966709.756825396
"191",967442.852870175,968980.542539682
"192",965175.28680382,966587.695555554
"193",966849.270439445,968351.653333332
"194",955641.116024696,956530.374603173
"195",955632.730885086,956516.435555554
"196",956249.225576278,957169.648571427
"197",951145.666431669,951719.015396824
"198",954117.477408191,954903.187936507
"199",954061.024589288,954837.649523808
"200",950784.037257792,951326.273174602
"201",953900.051272191,954667.111904761
"202",947642.867824564,947964.447619046
"203",946480.858381935,946705.97142857
"204",943828.750881241,943837.099682539
"205",936177.604734132,935545.948888888
"206",927517.037321883,926076.352698411
"207",938131.609305903,937787.903492062
"208",937594.479694076,937195.474603173
"209",942104.456407956,942110.833968253
"210",945653.079535987,945957.473809522
"211",943193.242752462,943291.434444443
"212",942848.383857805,942911.203968253
"213",945003.044286355,945243.037619046
"214",944369.779315944,944551.498571427
"215",942775.160759683,942817.627777776
"216",944256.873678139,944419.805555554
"217",944825.300690038,945029.636825396
"218",950104.360272597,950741.041904761
"219",957834.871499071,959059.72126984
"220",958883.975303895,960174.636031745
"221",954116.889914333,955086.080476189
"222",947234.826635903,947701.566507935
"223",943381.027152898,943530.568888888
"224",937748.723536072,937410.114603173
