"","v_bh","v_con","v_new"
"1",1752604.25985039,1646582.3674139,1662552.9098184
"2",1350548.49305102,1353306.20907466,1337994.14429955
"3",825992.773980936,829274.029751417,825992.773980936
"4",1052323.74396672,1086358.09777887,1052323.74396672
"5",1044241.97671001,1076167.5643086,1044241.97671001
"6",901312.473521821,922697.631720085,901312.473521821
"7",1582116.59883823,1525647.32760049,1531236.41930298
"8",1771275.34239461,1652233.09963826,1673826.44633882
"9",1214852.64027302,1237530.84802079,1225435.53335606
"10",952388.98533834,979488.795550925,952388.98533834
"11",913598.981929523,936570.932743739,913598.981929523
"12",717837.905081785,671509.00468299,717837.905081785
"13",1005566.90216029,1038866.15518896,1005566.90216029
"14",730435.886159764,690874.064475329,730435.886159764
"15",1640355.08577077,1567962.64211729,1579453.98622098
"16",1055626.33793726,1089171.7903387,1055626.33793726
"17",1808117.65842975,1677820.38222655,1698860.03646614
"18",857345.78362073,869246.930571869,857345.78362073
"19",1826650.32738092,1690436.77852769,1711865.39120033
"20",687525.10290218,621209.789517618,687525.10290218
"21",682802.571585501,613165.271155138,682802.571585501
"22",1227217.01529598,1247228.77536923,1236084.47480433
"23",1018048.63892489,1051357.41991021,1018048.63892489
"24",1192914.68881523,1216632.56148667,1192914.68881523
"25",1504952.23329495,1469070.2815082,1467621.40086873
"26",702482.057744609,646283.400939398,702482.057744609
"27",897617.917509335,916622.429540268,897617.917509335
"28",830748.824513159,834172.146587811,830748.824513159
"29",1119258.41695666,1151084.22499012,1119258.41695666
"30",1435761.96414863,1417070.82659371,1409758.82549565
"31",1202497.96136224,1226691.77116557,1214597.51855434
"32",961606.516385377,991468.024581083,961606.516385377
"33",1385289.04981641,1378064.20977208,1367826.04813093
"34",988110.088871014,1020239.7302201,988110.088871014
"35",764926.135324265,743673.433813542,764926.135324265
"36",903089.283128939,924166.277053367,903089.283128939
"37",1334899.93162957,1339838.71939079,1326262.15772495
"38",1025612.66708603,1058296.0352315,1025612.66708603
"39",719855.322137852,675332.881342435,719855.322137852
"40",971987.542656286,1001550.20120796,971987.542656286
"41",817411.757863013,816944.84378291,817411.757863013
"42",920884.672877744,944394.229676354,920884.672877744
"43",1329692.72548666,1331128.29347241,1322057.99031529
"44",1237643.50372919,1255776.79617699,1244459.61684047
"45",1381562.58793866,1376547.15974643,1363834.2879707
"46",908419.319226221,930920.212109316,908419.319226221
"47",947709.572272469,974464.179688491,947709.572272469
"48",984222.70660422,1014622.85943291,1032885.70990145
"49",1104466.24487091,1135314.77737612,1133228.61765027
"50",1334200.46866798,1338400.99596619,1325508.96429868
"51",933803.58834279,960400.895038123,933803.58834279
"52",1143961.02781212,1174175.39941918,1143961.02781212
"53",856827.025579093,868116.958324735,856827.025579093
"54",1128956.63128652,1158706.05582983,1153649.41677666
"55",995757.113231555,1027490.03907097,1042343.33939914
"56",1095166.99197888,1127452.18465733,1095166.99197888
"57",1413388.03368007,1402771.80619825,1390480.24019893
"58",1136112.16724506,1167675.4894446,1159572.53385574
"59",874911.556529112,889689.024458735,874911.556529112
"60",741575.065124687,709009.807348494,741575.065124687
"61",1360501.1064603,1358742.53721102,1346568.95325766
"62",744470.933770093,713126.862852984,744470.933770093
"63",1561887.04725827,1511843.2168945,1529324.38473799
"64",985594.562765985,1015857.14841132,985594.562765985
"65",760334.501792004,736008.912620725,760334.501792004
"66",1092693.70476767,1125120.13179264,1206351.24947283
"67",921878.40323333,944156.173349067,921878.40323333
"68",1024914.55600809,1058091.568925,1066885.31452482
"69",755238.69653634,729524.72900588,755238.69653634
"70",996494.007710538,1028593.94609949,996494.007710538
"71",1211692.36129486,1235331.04423821,1286211.21351107
"72",871366.671195244,886781.979592987,871366.671195244
"73",941080.67492758,968351.181638702,941080.67492758
"74",643797.85740177,538863.358206513,643797.85740177
"75",856590.484743138,867740.624434376,856590.484743138
"76",814040.208487892,811856.273539806,814040.208487892
"77",767543.883157171,748335.166055736,767543.883157171
"78",960549.408911471,987861.384755082,960549.408911471
"79",782017.0766761,768423.509763057,782017.0766761
"80",1164584.89845921,1191265.27874587,1183493.54694655
"81",952288.739253568,980340.881825689,952288.739253568
"82",918447.785721703,941405.387652376,918447.785721703
"83",1062356.86738937,1095034.81143997,1062356.86738937
"84",695705.905188977,635762.027947923,695705.905188977
"85",997171.844062871,1031094.48350361,997171.844062871
"86",1148899.76793688,1177310.84317087,1172114.77839089
"87",915176.712543005,937675.717069302,915176.712543005
"88",1030369.51239562,1063289.0262629,1071927.94208268
"89",1372958.86395466,1369546.57180891,1358574.31254918
"90",1079043.84052449,1111843.48419689,1079043.84052449
"91",796378.056497283,788669.048459597,796378.056497283
"92",735851.36570962,699799.139903734,735851.36570962
"93",1109153.68576672,1140951.34377484,1137909.71253833
"94",846373.447193773,854569.899221334,846373.447193773
"95",1007349.52476228,1038274.98701868,1052226.8148758
"96",1090057.10965558,1122854.81135513,1090057.10965558
"97",969190.482249738,998824.875928876,1021188.65606734
"98",1326871.87817957,1332756.91204988,1318467.03844321
"99",853265.38355822,864442.910647764,853265.38355822
"100",675282.484667891,599081.722796382,675282.484667891
"101",759390.987434694,735923.337870415,759390.987434694
"102",1442329.47243643,1422004.87431295,1414754.45886388
"103",1598186.25813612,1537289.5341239,1544568.16512399
"104",1169824.43916083,1195718.71254683,1169824.43916083
"105",793832.791079106,785029.891898686,793832.791079106
"106",797283.128129971,790920.957511465,797283.128129971
"107",925055.39115222,950096.7053455,925055.39115222
"108",1235295.84220234,1255447.83378827,1242264.96390692
"109",1008961.7360286,1041028.66886122,1054809.90328554
"110",888247.798239094,906231.243920451,888247.798239094
"111",982294.627211318,1013605.00846236,982294.627211318
"112",1282896.33866632,1293662.35580556,1336307.57723984
"113",1278262.70109935,1292901.50207369,1278435.99125619
"114",1169082.63697123,1196132.82965283,1169082.63697123
"115",963741.89266686,993137.771949807,963741.89266686
"116",958933.123079562,986607.576252796,958933.123079562
"117",1026273.29182502,1058679.00081728,1026273.29182502
"118",1150476.75431135,1180500.71472621,1150476.75431135
"119",1069043.98735911,1101369.01271285,1069043.98735911
"120",1086083.6152822,1119733.15694071,1118398.32120454
"121",1368646.74170263,1367962.61025933,1400438.70727625
"122",912998.588548244,934190.51822032,912998.588548244
"123",688126.643553548,621918.000751238,688126.643553548
"124",817536.658153385,818031.894010188,817536.658153385
"125",886204.384675299,904748.994551054,886204.384675299
"126",713089.340442516,664154.549341304,713089.340442516
"127",811669.449878438,808239.158680819,811669.449878438
