"","v_bh","v_con","v_new"
"1",1366003.61907148,1364480.64856981,1351230.12766546
"2",1089848.0720684,1123053.46054795,1089848.0720684
"3",750819.826835661,723370.596725734,750819.826835661
"4",824201.23051173,826987.156357831,824201.23051173
"5",1031355.95259836,1064525.8022776,1031355.95259836
"6",820644.513846407,821946.778000741,820644.513846407
"7",1087755.82857883,1120048.93935822,1120186.91998516
"8",850161.241729095,859863.615281597,850161.241729095
"9",924254.625637321,949588.503748995,924254.625637321
"10",982326.118318385,1011908.08386292,982326.118318385
"11",1027593.84359074,1060313.94595736,1070567.36371892
"12",987650.456779303,1020112.19408505,987650.456779303
"13",1038437.13994772,1072043.74240527,1038437.13994772
"14",920027.351867477,944040.048341868,920027.351867477
"15",971954.16708655,1001158.11887403,971954.16708655
"16",1507715.33005978,1470965.61513863,1469260.95655862
"17",734034.680305174,696834.928927852,734034.680305174
"18",1759521.72793157,1646453.59543034,1666364.27623824
"19",755256.452202187,729851.880136382,755256.452202187
"20",1061303.42562586,1093982.62680138,1097652.40271438
"21",1049928.21795327,1083067.51882026,1049928.21795327
"22",1466689.32936429,1439530.22106304,1435369.64526417
"23",741372.396809926,708487.40032774,741372.396809926
"24",863614.742255541,876047.535957513,863614.742255541
"25",1025572.32967053,1058698.60315465,1025572.32967053
"26",846461.622207326,855445.136967329,846461.622207326
"27",1009136.05426822,1040989.44707138,1054434.39651984
"28",1160619.31739313,1188915.35196747,1182218.47218062
"29",1229652.54891449,1249194.9341781,1229652.54891449
"30",1243804.07449118,1263156.14463962,1249205.58302869
"31",1145858.7464937,1174950.27693969,1167438.56605915
"32",692977.153812389,629692.92588522,692977.153812389
"33",1683431.4879744,1596873.96021618,1613817.73654126
"34",869824.51362211,883675.59596475,940752.904995542
"35",719991.414592061,674450.342575821,719991.414592061
"36",1228597.38032903,1248940.8230183,1236733.16173697
"37",867877.305906097,880679.128255759,867877.305906097
"38",749245.262109583,720577.699674136,749245.262109583
"39",847765.104714497,855724.783927305,847765.104714497
"40",1558576.81298876,1509186.80118295,1525665.27855267
"41",1208431.19147425,1231384.95256153,1219562.06721071
"42",1676528.46401241,1590577.01410683,1608375.11001743
"43",704648.008453869,650151.074913605,704648.008453869
"44",916618.867953406,939460.278455156,916618.867953406
"45",1367765.64844793,1365181.69755463,1395850.39841742
"46",1351744.20698472,1353047.40848588,1339297.62350274
"47",910439.135248993,932702.805684809,910439.135248993
"48",694228.01357721,631862.351066923,694228.01357721
"49",966245.107595763,994233.829219939,966245.107595763
"50",1323141.80313353,1329525.46800287,1315285.79394678
"51",979877.929261545,1009061.25164447,979877.929261545
"52",807409.742650393,804138.54004347,807409.742650393
"53",763132.080226193,741281.393904937,763132.080226193
"54",845739.201184875,853063.180942511,845739.201184875
"55",1248021.93767138,1266820.0481465,1253342.24936398
"56",1612466.44526713,1549274.21097459,1563792.09054168
"57",898384.528825759,918155.808754251,898384.528825759
"58",1729582.83017927,1625521.42294938,1644358.5637718
"59",868600.662685685,882279.963052961,868600.662685685
"60",924199.417743784,949824.765543467,924199.417743784
"61",1456841.59802699,1435037.99006688,1427841.19018906
"62",857621.742068267,867495.615831751,857621.742068267
"63",1366018.22951623,1364865.89386103,1351651.42170115
"64",1526972.42864086,1484944.10527121,1485202.2508887
"65",1093127.14042337,1124752.13507147,1093127.14042337
"66",715330.609673257,668013.144541219,715330.609673257
"67",1540277.2179786,1494684.63342914,1496061.24643604
"68",824413.680137829,825334.508438673,824413.680137829
"69",1662331.9005844,1581059.87448582,1599589.37582895
"70",1566549.59452734,1514060.17329653,1518036.67522109
"71",2453987.1832326,2052512.788765,2124495.58757928
"72",1225986.02038586,1247641.99978493,1234876.72521965
"73",723946.205995819,680989.865970723,723946.205995819
"74",1367057.25000921,1365877.77874601,1352174.88042196
"75",899269.486196148,919122.303329865,899269.486196148
"76",1117155.26512804,1148458.31300653,1117155.26512804
"77",952619.369417712,978821.000313899,952619.369417712
"78",769807.466812307,751338.936418852,769807.466812307
"79",665925.589301983,581552.823338435,665925.589301983
"80",1117670.36087849,1148704.50617838,1117670.36087849
"81",1630714.73843885,1560648.51204435,1579444.4955006
"82",1017052.87746689,1047878.72620475,1017052.87746689
"83",738390.57315473,705558.047267799,738390.57315473
"84",890683.498086871,911381.978843363,890683.498086871
"85",1091751.87327412,1123522.77061906,1091751.87327412
"86",1706266.34037415,1613909.36853458,1628957.63817402
"87",1094980.86502841,1126261.39328791,1094980.86502841
"88",1383070.6540487,1376195.53711281,1365239.43774054
"89",1443384.15948016,1425011.143821,1415535.70133651
"90",901550.887325075,921746.570788061,901550.887325075
"91",913265.208276636,936457.523134701,913265.208276636
"92",1032242.64808704,1064266.48015629,1074234.94292199
"93",1152544.76801156,1181543.01302061,1152544.76801156
"94",1041023.04652332,1074145.17948221,1080696.04826398
"95",783398.26631462,770685.132092033,783398.26631462
"96",1010290.3719339,1042885.61466551,1010290.3719339
"97",973113.527671201,1001712.22927971,973113.527671201
"98",690480.464922445,626168.880954013,690480.464922445
"99",1148285.69950225,1178061.63071447,1171166.16882786
"100",1406947.12115786,1397270.41576295,1385645.17966218
"101",1072944.30368138,1104730.16724466,1107869.10324416
"102",1368699.00240587,1366615.41063655,1353830.90174462
"103",1350406.67265427,1349750.23334444,1338605.54416945
"104",873660.908006069,888761.1288188,873660.908006069
"105",960159.183210201,988213.828418011,960159.183210201
"106",1081932.9434283,1115327.17028971,1115675.45906935
"107",863015.165295514,876965.262367138,863015.165295514
"108",1195194.80088774,1219533.1027237,1195194.80088774
"109",1054109.90015197,1087394.3440678,1054109.90015197
"110",833465.417605207,838499.702572921,833465.417605207
"111",854993.531898614,865866.492867524,927015.116195331
"112",1432535.29220028,1414402.03485596,1406279.54440836
"113",1177673.1424261,1204935.54521142,1177673.1424261
"114",894730.382970797,914806.669802618,894730.382970797
"115",1294575.16905091,1305020.44324618,1293281.0148141
"116",886310.714861835,904618.455135467,886310.714861835
"117",1329412.95542352,1334839.44561292,1320600.3894289
"118",1056228.77927606,1088647.00495951,1056228.77927606
"119",1046071.2290016,1079653.29744877,1046071.2290016
"120",1354600.96654506,1354790.16228187,1341457.86659909
"121",792419.437953337,783849.208278092,792419.437953337
"122",815870.673928895,814295.443309242,815870.673928895
"123",1157000.06589488,1186591.54937165,1177014.81422828
"124",1009119.98888715,1040199.04186435,1009119.98888715
"125",780734.359734219,766247.011420121,780734.359734219
"126",892281.585308722,909688.34928102,892281.585308722
"127",692344.578635072,629253.227172664,692344.578635072
"128",1119429.47706127,1150177.60339706,1119429.47706127
"129",957798.345026565,985014.460168898,957798.345026565
"130",1076389.66826376,1109033.3584804,1076389.66826376
"131",1277825.26491312,1291715.0499255,1277461.50862635
"132",1584219.27023498,1527675.06890119,1544909.23294458
"133",769122.022959447,750125.377637838,769122.022959447
"134",1203654.13569705,1227027.8777743,1203654.13569705
"135",820097.525945516,821139.795685304,820097.525945516
"136",1128753.26614577,1159518.20534853,1153838.55468368
"137",786020.247611805,773360.216013503,786020.247611805
"138",770643.519197878,752125.612472371,770643.519197878
"139",1072729.87949912,1103973.64636848,1110084.79066733
"140",1062696.31650443,1096285.71888324,1098998.36749481
"141",1025324.81781212,1057922.54866394,1025324.81781212
"142",974718.19964958,1004557.27099102,974718.19964958
"143",1143246.72913681,1170998.54870355,1165457.74345053
"144",830483.846271817,833896.375555809,830483.846271817
"145",1332315.6130682,1335386.00290567,1322890.62177962
"146",1095367.43190298,1127830.81307914,1095367.43190298
"147",1644946.86901276,1569114.591936,1588631.01755587
"148",765956.366676544,744494.863224547,765956.366676544
"149",1302237.63179363,1311848.8179312,1298092.10456262
"150",768983.809501254,748589.428404179,768983.809501254
"151",1248268.20378858,1265570.4451871,1252968.67146932
"152",1013201.55331386,1045969.81653716,1013201.55331386
"153",1166953.78798156,1196513.17694103,1166953.78798156
"154",1009064.75987881,1042388.74156244,1054482.44059073
"155",1159767.10519482,1188941.42944021,1179971.3936018
"156",2273477.47166164,1955873.90469137,2021241.96024444
"157",1025887.07766169,1059049.62491987,1025887.07766169
"158",1511696.85510864,1475262.675125,1472317.80105302
"159",840588.08105333,847256.626567119,840588.08105333
"160",876777.853024583,891704.649626317,876777.853024583
"161",1482834.4038137,1454335.59955492,1448696.48673984
"162",1037943.34845713,1070358.76062944,1037943.34845713
"163",843510.411711672,851305.405025513,843510.411711672
"164",1043679.02956402,1077435.15641312,1043679.02956402
"165",747856.662778718,719362.638070547,747856.662778718
"166",685060.522517374,616586.337263672,685060.522517374
"167",816866.681763824,817015.347274928,816866.681763824
"168",712879.25766015,663229.337272782,712879.25766015
"169",823876.069577207,824402.691876634,823876.069577207
"170",1028835.33227511,1062286.80728447,1072364.60688738
