"","V_bh","V_con","V_new"
"1",997567.548342992,997567.548342992,997567.548342992
"2",998528.263519885,998530.54939504,998528.263519885
"3",1002659.64838083,1002667.70629003,1002659.64838083
"4",998853.369009434,998872.105929444,998853.369009434
"5",998967.17803582,998986.020034697,998967.17803582
"6",998178.992608608,998197.0376919,998178.992608608
"7",991469.949924847,991475.903651942,991469.949924847
"8",994529.818144253,994562.018484066,994529.818144253
"9",998561.705109593,998616.439571968,998561.705109593
"10",1007218.05618965,1007284.89763877,1007218.05618965
"11",1011154.89603388,1011194.2359533,1011154.89603388
"12",1021145.00155474,1021076.53484247,1021145.00155474
"13",1014590.59134058,1014655.99808875,1014590.59134058
"14",1016979.33595167,1017010.93601842,1016979.33595167
"15",1020477.78513641,1020452.14238256,1020477.78513641
"16",1030402.12053958,1030182.11874834,1030402.12053958
"17",1035126.12429259,1034770.3045266,1035126.12429259
"18",1032604.377131,1032332.54841839,1032604.377131
"19",1030956.26460409,1030735.44696366,1030956.26460409
"20",1021883.9911937,1021930.13569312,1021883.9911937
"21",1017787.67249465,1017919.18867698,1017787.67249465
"22",1016621.05888055,1016772.5447959,1016621.05888055
"23",1015611.77380507,1015779.3342024,1015611.77380507
"24",1011538.61134898,1011767.38981806,1011538.61134898
"25",1005910.70599171,1006201.48030862,1005910.70599171
"26",1017169.21760098,1017399.24119329,1017169.21760098
"27",1011012.38909753,1011342.28505763,1011012.38909753
"28",1013591.22032254,1013894.38135853,1013591.22032254
"29",1009305.43678321,1009663.56061042,1009305.43678321
"30",1008590.82267008,1008955.16360723,1008590.82267008
"31",999165.072704303,999604.885514192,999165.072704303
"32",1005660.25102734,1006109.14835672,1005660.25102734
"33",1009273.28355232,1009704.15857623,1009273.28355232
"34",1005818.22611353,1006278.88605997,1005818.22611353
"35",1002863.65811525,1003339.72625973,1002863.65811525
"36",1009657.26665007,1010118.40949069,1009657.26665007
"37",1008939.0005958,1009406.53798722,1008939.0005958
"38",1013504.72665688,1013934.89334858,1013504.72665688
"39",1014742.40565424,1015157.08155882,1014742.40565424
"40",1022114.17348665,1022427.2324872,1022114.17348665
"41",1018218.56380052,1018612.04140823,1018218.56380052
"42",1019623.28787058,1019993.02485164,1019623.28787058
"43",1017120.78476167,1017536.71859359,1017120.78476167
"44",1026905.35665119,1027164.86828525,1026905.35665119
"45",1034153.42277753,1034231.93831399,1034153.42277753
"46",1029040.18105941,1029280.53455797,1029040.18105941
"47",1032337.53562824,1032489.08198202,1032337.53562824
"48",1028242.99908369,1028517.62756555,1028242.99908369
"49",1020249.25014014,1020733.52992368,1020249.25014014
"50",1018407.02455639,1018926.09294281,1018407.02455639
"51",1009811.28553783,1010476.62196376,1009811.28553783
"52",1002616.90879487,1003344.19067032,1002616.90879487
"53",999314.430255696,1000047.01355712,999314.430255696
"54",992470.776513429,993191.032507957,992470.776513429
"55",995042.616645046,995785.440547018,995042.616645046
"56",1001847.92506839,1002632.89823179,1001847.92506839
"57",1000944.4114425,1001730.11852792,1000944.4114425
"58",1003588.2126754,1004374.45248931,1003588.2126754
"59",998097.788449555,998897.229884787,998097.788449555
"60",995095.028230348,995885.443130954,995095.028230348
"61",997986.240668205,998794.538228783,997986.240668205
"62",1000666.32156143,1001483.1755396,1000666.32156143
"63",994261.656493452,995074.668466229,994261.656493452
"64",999865.712851921,1000717.90321921,999865.712851921
"65",993317.716116329,994160.734526281,993317.716116329
"66",1001573.00633578,1002482.00992463,1001573.00633578
"67",1009615.94326548,1010523.34620345,1009615.94326548
"68",1009066.25413125,1009978.23594869,1009066.25413125
"69",998264.128592686,999258.27402454,998264.128592686
"70",999932.027515831,1000931.49197027,999932.027515831
"71",999234.34745906,1000232.69006985,999234.34745906
"72",1000596.624314,1001597.95361642,1000596.624314
"73",1001626.56375777,1002628.71780539,1001626.56375777
"74",1006206.23722605,1007207.48406914,1006206.23722605
"75",1013288.76661156,1014257.47826391,1013288.76661156
"76",1009528.0359335,1010540.47206172,1009528.0359335
"77",1010607.0027963,1011611.09282426,1010607.0027963
"78",1014846.48287413,1015812.49615282,1014846.48287413
"79",1013141.45740727,1014129.74712814,1013141.45740727
"80",1014604.04438736,1015575.75902936,1014604.04438736
"81",1015128.55512782,1016093.66555614,1015128.55512782
"82",1015235.23486762,1016199.05061545,1015235.23486762
"83",1014422.6901978,1015397.50832992,1014422.6901978
"84",1005007.70394222,1006101.25883766,1005007.70394222
"85",1005263.84480795,1006356.56374508,1005263.84480795
"86",1003783.52130733,1004881.605917,1003783.52130733
"87",1002234.45076216,1003335.65732245,1002234.45076216
"88",1001728.77370379,1002830.29636873,1001728.77370379
"89",1006501.39278937,1007602.92339081,1006501.39278937
"90",1005773.74830283,1006878.81762956,1005773.74830283
"91",1001945.91052292,1003066.3308833,1001945.91052292
"92",1002567.18484453,1003687.49047386,1002567.18484453
"93",1011409.91372989,1012523.15946183,1011409.91372989
"94",1008482.03168784,1009622.88284431,1008482.03168784
"95",997028.072680967,998244.581077988,997028.072680967
"96",997073.561160574,998290.258537217,997073.561160574
