,Buy-and-Hold,Continuous-Rebalance,New Rebalancing Approach
1,1011201.262,1011201.262,1011201.262
2,1016352.653,1016296.075,1016352.653
3,1013696.063,1013682.118,1013696.063
4,1012933.672,1012930.051,1012933.672
5,1019328.947,1019244.846,1019328.947
6,1011465.687,1011529.566,1011465.687
7,1005444.539,1005575.944,1005444.539
8,1001325.156,1001478.849,1001325.156
9,1008566.078,1008711.092,1008566.078
10,1014025.239,1014124.464,1014025.239
11,1014016.151,1014115.609,1014016.151
12,1003534.262,1003776.382,1003534.262
13,1002765.571,1003010.179,1002765.571
14,995545.4949,995808.8962,995545.4949
15,992941.4229,993192.2882,992941.4229
16,998614.7541,998907.5449,998614.7541
17,1000292.428,1000588.226,1000292.428
18,1001333.052,1001628.852,1001333.052
19,995423.6825,995725.4009,995423.6825
20,1002839.428,1003178.187,1002839.428
21,1004433.131,1004768.087,1004433.131
22,999846.2624,1000199.6,999846.2624
23,998494.417,998846.9406,998494.417
24,1008212.212,1008584.158,1008212.212
25,1006185.24,1006572.654,1006185.24
26,1006837.371,1007221.179,1006837.371
27,1004742.912,1005139.759,1004742.912
28,1005192.497,1005587.491,1005192.497
29,1000501.957,1000918.566,1000501.957
30,1000726.399,1001143.011,1000726.399
31,1009052.626,1009467.576,1009052.626
32,997110.6212,997625.9542,997110.6212
33,1003323.074,1003860.747,1003323.074
34,997453.6671,998006.6238,997453.6671
35,1001726.469,1002293.076,1001726.469
36,998385.5877,998955.5479,998385.5877
37,1000184.868,1000759.132,1000184.868
38,1004929.8,1005506.91,1004929.8
39,1005332.418,1005907.873,1005332.418
40,995201.3129,995823.4115,995201.3129
41,1000046.468,1000695.659,1000046.468
42,988120.9778,988760.6261,988120.9778
43,984936.706,985534.8611,984936.706
44,992954.9455,993684.4751,992954.9455
45,986051.3788,986724.2397,986051.3788
46,982225.7762,982839.6069,982225.7762
47,987835.6647,988558.1805,987835.6647
48,1000423.306,1001314.396,1000423.306
49,994503.1845,995389.5377,994503.1845
50,990954.0243,991816.1964,990954.0243
51,992740.2635,993620.9372,992740.2635
52,986124.8688,986948.5889,986124.8688
53,988200.6616,989056.2338,988200.6616
54,982000.4496,982774.0814,982000.4496
55,982555.813,983340.2918,982555.813
56,979195.1467,979914.9563,979195.1467
57,986266.0498,987146.9038,986266.0498
58,986359.7711,987241.9541,986359.7711
59,985089.1335,985951.6344,985089.1335
60,981610.1885,982414.8151,981610.1885
61,984310.4153,985169.9733,984310.4153
62,989477.6286,990426.966,989477.6286
63,992914.5291,993905.7078,992914.5291
64,995459.0929,996472.0945,995459.0929
65,1000052.681,1001093.204,1000052.681
66,1001945.777,1002988.946,1001945.777
67,1002361.66,1003404.674,1002361.66
68,1000828.051,1001872.306,1000828.051
69,998222.1154,999264.8092,998222.1154
70,999989.6459,1001037.978,999989.6459
71,997811.0611,998855.9022,997811.0611
72,991600.7201,992621.9397,991600.7201
73,985286.2557,986244.2592,985286.2557
74,980973.5684,981859.8583,980973.5684
75,979457.4359,980311.4251,979457.4359
76,985557.5604,986550.461,985557.5604
77,982903.4645,983852.7165,982903.4645
78,978961.5059,979834.9294,978961.5059
79,970924.2849,971609.4621,970924.2849
80,969935.3437,970588.4341,969935.3437
81,970666.7843,971343.9069,970666.7843
82,976996.9945,977878.9707,976996.9945
83,971599.2302,972342.8316,971599.2302
84,975408.2472,976271.9755,975408.2472
85,971300.2238,972051.1867,971300.2238
86,969915.8072,970622.5051,969915.8072
87,969601.2116,970297.1497,969601.2116
88,969911.2979,970617.4621,969911.2979
89,976370.2986,977291.941,976370.2986
90,973798.0883,974651.6268,973798.0883
91,978407.5135,979395.4273,978407.5135
92,983722.8708,984839.2354,983722.8708
93,975942.1924,976913.699,975942.1924
94,973226.1214,974124.0917,973226.1214
95,960811.6302,961336.9404,960811.6302
96,968126.1127,968971.4671,968126.1127
97,971800.7049,972776.6073,971800.7049
98,970114.6136,971036.999,970114.6136
99,977354.3379,978519.7265,977354.3379
100,975431.9086,976547.8925,975431.9086
101,975123.8008,976231.0121,975123.8008
102,982855.8634,984180.9094,982855.8634
103,998919.7637,1000562.73,998919.7637
104,997318.2267,998955.7323,997318.2267
105,1002524.751,1004188.261,1002524.751
106,997164.6343,998829.2303,997164.6343
107,996822.33,998485.1167,996822.33
108,1006724.14,1008442.345,1006724.14
109,1000643.19,1002386.981,1000643.19
110,998579.9259,1000320.002,998579.9259
111,996138.0757,997868.3656,996138.0757
112,995956.1264,997685.2137,995956.1264
113,996265.4335,997996.5226,996265.4335
114,1003375.569,1005152.126,1003375.569
115,1001389.139,1003167.305,1001389.139
116,986578.3071,988338.7037,986578.3071
117,987299.5986,989071.7093,987299.5986
118,990271.4815,992090.4377,990271.4815
119,993778.3091,995641.3656,993778.3091
120,1000975.922,1002903.7,1000975.922
121,996048.9891,997967.8984,996048.9891
122,982146.0446,983970.3751,982146.0446
123,980285.7866,982070.1552,980285.7866
124,973886.2155,975520.6659,973886.2155
125,974334.9937,975982.7758,974334.9937
126,977584.4156,979328.8129,977584.4156
127,986421.4898,988397.228,986421.4898
128,982947.192,984863.7497,982947.192
129,989677.9501,991733.0154,989677.9501
130,992053.5848,994140.8674,992053.5848
131,990365.8354,992434.143,990365.8354
132,989596.5783,991654.7998,989596.5783
133,992984.8591,995089.7469,992984.8591
134,993920.6779,996035.0468,993920.6779
135,1000103.279,1002274.47,1000103.279
136,1001151.627,1003325.957,1001151.627
137,994895.9208,997057.7397,994895.9208
138,997126.7552,999307.2631,997126.7552
139,997890.1482,1000075.206,997890.1482
140,1000696.974,1002897.162,1000696.974
141,1001440.71,1003642.828,1001440.71
142,1000234.355,1002434.303,1000234.355
143,1003306.991,1005516.151,1003306.991
144,1004395.448,1006604.624,1004395.448
145,1001909.324,1004121.51,1001909.324
146,1003266.354,1005480.445,1003266.354
147,997651.4184,999865.5261,997651.4184
148,998987.3724,1001208.934,998987.3724
149,997187.5696,999401.1943,997187.5696
150,1002607.775,1004854.973,1002607.775
151,1000589.451,1002835.046,1000589.451
152,996759.3182,998994.1837,996759.3182
153,991287.9876,993486.7066,991287.9876
154,988105.5501,990265.364,988105.5501
155,992861.2678,995095.1653,992861.2678
156,991348.9666,993566.7671,991348.9666
157,991038.8697,993252.8077,991038.8697
158,988771.5673,990956.8555,988771.5673
159,984537.3742,986659.0488,984537.3742
160,985154.4603,987287.9714,985154.4603
161,993578.5214,995870.2747,993578.5214
162,987892.0425,990126.8691,987892.0425
163,988236.2957,990476.5224,988236.2957
164,982788.9851,984944.1281,982788.9851
165,984899.2854,987099.4389,984899.2854
166,988832.299,991107.8338,988832.299
167,993705.3754,996053.9064,993705.3754
168,988062.8145,990354.8588,988062.8145
169,990760.4713,993095.0321,990760.4713
170,988285.9147,990588.2214,988285.9147
171,983639.5321,985869.2504,983639.5321
172,993255.3136,995682.9735,993255.3136
173,998392.2121,1000874.258,998392.2121
174,1006881.451,1009409.315,1006881.451
175,1010341.606,1012859.133,1010341.606
176,1018887.817,1021350.719,1018887.817
177,1026132.492,1028489.758,1026132.492
178,1022876.08,1025303.225,1022876.08
179,1022519.524,1024953.398,1022519.524
180,1024921.339,1027312.145,1024921.339
181,1028308.416,1030630.984,1028308.416
182,1032917.682,1035132.602,1032917.682
183,1042915.314,1044854.543,1042915.314
184,1043271.937,1045198.429,1043271.937
