"","v_bh","v_daily","v_mon","v_con"
"1",840779.33666919,821331.406225981,822911.700234907,821189.756759815
"2",856084.744799545,840897.204175554,842210.744932217,840869.602531124
"3",873537.460125571,861598.663645219,862387.647731423,861598.185842228
"4",897648.428406878,885647.166073792,886642.028094323,885705.79677264
"5",904602.383937677,897838.466279094,898332.881061743,897817.551798725
"6",914270.885023661,908136.28256157,908377.507849058,908131.024505119
"7",960241.641827531,958433.901486736,958853.688981445,958355.504974799
"8",973978.369115852,972688.342528424,972464.011158685,972740.92086194
"9",1000935.97619146,1002711.07798886,1002638.48959197,1002757.21194398
"10",1035304.32549763,1035045.33397559,1034897.04891641,1035097.89494127
"11",1054141.45315638,1054271.2189741,1054611.23798796,1054398.11241309
"12",1076689.13115397,1074679.12313602,1075180.5944958,1074644.57124594
"13",1092229.60991832,1091607.233091,1091868.74470433,1091587.64827371
"14",1148736.4709507,1142185.70965229,1142545.72020808,1142084.25047386
"15",1166745.49573793,1158880.98141173,1159123.10073385,1158945.69002429
"16",1197623.42221742,1185381.39253947,1185690.48675632,1185353.89301577
"17",1245124.90705958,1222658.14067803,1224526.24654039,1222600.50897576
"18",1284436.02765247,1258767.39447997,1260772.24692783,1258662.97046024
"19",1298272.64887455,1267494.5978722,1270240.37166615,1267402.93988646
"20",1340837.60923879,1304692.38724014,1307441.33415564,1304700.23081625
"21",1410180.95505421,1355217.86672435,1359158.11932343,1354991.46383949
