"","v_bh","v_daily","v_mon","v_con"
"1",985614.712250357,985018.486025243,985066.515338183,985016.382975092
"2",986609.636272629,986073.06095841,986116.373383288,986070.836310519
"3",986384.989799076,985744.514846425,985819.827410644,985745.876508145
"4",999897.506619427,999422.381587194,999512.609682566,999424.22530917
"5",996418.792551962,996118.337526227,996100.617315411,996115.534925665
"6",1000248.35474381,1000449.64792328,1000548.0213519,1000451.70510243
"7",997843.810729971,997434.017909413,997666.210644774,997391.804627693
"8",1012682.69593638,1012388.06022141,1012535.45307177,1012442.90931437
"9",1035304.32549763,1035045.33397559,1034897.04891641,1035097.89494127
"10",1024763.3146585,1025044.25702437,1025085.83194928,1025089.50678829
"11",1048223.20987073,1047874.12835023,1047603.09515029,1047819.26248525
