"","v_bh","v_daily","v_mon","v_con"
"1",1120701.37908009,1116173.5413141,1116533.75573396,1116156.96758958
"2",1119962.26172051,1115461.09916039,1115822.36329915,1115443.67324519
"3",1128164.24851339,1122915.9412922,1123347.23542375,1122892.6911936
"4",1133214.32424107,1127518.17972776,1127936.60044357,1127492.79912437
"5",1141147.1755008,1134776.10156533,1135463.32764923,1134754.59440947
"6",1137960.29778788,1132229.33870443,1132739.63594394,1132213.38301313
"7",1158088.23053274,1151287.49063311,1151834.04175197,1151265.36615918
"8",1167455.94868891,1155947.07030684,1156604.68287692,1155997.37675418
"9",1166745.49573793,1158880.98141173,1159123.10073385,1158945.69002429
"10",1155362.03782123,1150030.46030665,1150718.96576153,1149827.49948222
"11",1196545.49922824,1185961.92693347,1187798.34361533,1186049.80256915
