"","v_bh","v_daily","v_mon","v_con"
"1",1010000,1009949.70634921,1009953.66666667,1009949.50714286
"2",1010755.00464004,1010701.50922165,1010707.99545753,1010700.608543
"3",1013882.21627984,1013743.01658548,1013720.92017869,1013741.27484269
"4",1013852.78598567,1014161.82406411,1014137.68917936,1014164.10259139
"5",1021858.3677915,1022186.21537157,1022206.77441005,1022207.17067956
"6",1024249.98516253,1023975.9259907,1024124.39147388,1023996.61705764
"7",1022497.76040738,1022072.85725543,1021779.4184596,1022053.7301997
"8",1049836.20033577,1049909.42772572,1049813.39726037,1049865.47056772
"9",1054141.45315638,1054271.2189741,1054611.23798796,1054398.11241309
"10",1055384.41884776,1054558.90788875,1054726.88559882,1054634.01089699
"11",1074136.82584328,1073462.41939723,1073728.24273679,1073474.93301888
