"","v_bh","v_daily","v_mon","v_con"
"3",NA,NA,NA,NA
"31",0.206029315392834,0.138384426918003,0.145211075758991,0.137882744721605
"32",0.430868260719161,0.269595737897016,0.284132926009795,0.268804085397307
"33",0.393322608416969,0.144780283765934,0.165889474825337,0.143495178725109
"34",0.646559114773571,0.321965424046266,0.344294007835234,0.321457299733244
"35",0.755085796873865,0.407942443422235,0.431326496072008,0.406951392760047
"36",0.950023367775354,0.469594324590182,0.501617843070489,0.469614829091806
"37",1.09574512542591,0.559843452153057,0.607371935633119,0.559109813993893
"38",1.13834276731448,0.527457863944835,0.585162293329893,0.528770368573557
"39",1.30431739098992,0.552468076125238,0.61598453893575,0.547171290150237
"310",1.65759570957956,0.789024098696851,0.870266722553091,0.778983904018059
