"","v_bh","v_daily","v_mon","v_con"
"2",118910.822638426,146331.177063441,144134.438493063,146508.269163652
"21",112561.266859838,139021.833007378,136976.764360499,139114.731474241
"22",135799.454445927,154676.018775292,153034.470311736,154711.371964496
"23",135579.082279711,151706.716903231,150471.36642593,151756.514839074
"24",141148.152450562,155057.73515174,153919.084548963,155155.386069706
"25",145735.307149347,158973.106847826,158206.88272207,159024.596530808
"26",161902.069917816,171345.240030024,170246.345014922,171250.179049769
"27",174572.155199847,179273.212002778,178859.894890956,179216.399935294
"28",176134.982132449,177910.108905375,178124.711878669,177946.073648385
"29",182093.035534291,179811.272944655,179947.31456202,179940.730905285
"210",190370.410625976,182863.888459781,183268.849720528,182715.968972187
"211",177426.486397645,173032.013720053,173826.905338801,172980.765737299
"212",207391.741583163,189904.410789571,191647.27745954,189866.037572459
"213",231593.856061863,204674.112376767,207164.09040723,204597.147573571
"214",251724.309038854,216093.974976123,218940.487875498,215991.50081936
"215",234982.575538122,203624.570551384,206025.641485191,203486.754032151
"216",254408.092972646,211499.641035337,215640.305118094,211408.299519043
"217",273219.979754413,217233.552700473,221317.733717457,217074.793747821
"218",307570.210389464,239130.989466816,244274.517045424,238741.206618785
"219",288676.00436816,225078.407599454,230395.791108493,224695.078233686
"220",319527.316318584,238131.460834882,244278.833251082,237779.280092578
