"","v_bh","v_daily","v_mon","v_con"
"2",0,0,0,0
"21",19564.3097447704,22366.3570823651,22137.6662058798,22376.4725458614
"22",37921.2032014575,43394.1407431781,42957.3247233853,43415.9057736873
"23",58595.212403278,66528.9560106247,65945.9555301231,66538.4757167725
"24",75937.8695500176,85894.8506332853,85158.3604937398,85932.4261470181
"25",100901.778571922,113924.486555147,112875.578614224,113939.119107092
"26",113314.650631277,128367.145272354,127200.960464892,128457.063745582
"27",145735.307149347,158973.106847826,158206.88272207,159024.596530808
"28",171440.636232406,183374.470125521,182251.103223437,183532.181886483
"29",184385.908462998,198572.393950872,197258.553512702,198706.546807004
"210",260160.094408746,252913.324544817,253329.846426788,253195.527693134
