"","v_bh","v_daily","v_mon","v_con"
"2",0,0,0,0
"21",28640.0085436948,27465.1879294014,27562.6258940854,27460.7571662842
"22",53050.8551173198,51258.8821727293,51376.5187026443,51248.7718884789
"23",82079.6563776786,78360.6354029098,78623.9126611605,78357.3725680767
"24",113389.310335316,108181.017361053,108499.271715579,108107.048795549
"25",152446.365665021,142175.419527504,142803.796751672,142138.988438563
"26",184471.223401176,169201.783530488,170434.802796201,169157.794108487
"27",207391.741583163,189904.410789571,191647.27745954,189866.037572459
"28",230803.711415911,211629.736286004,213142.626866221,211514.103814764
"29",286125.634011195,249393.643092185,251032.781966231,249129.24385585
"210",309777.859140719,280393.705688985,282892.568280755,280120.774800061
