"","v_bh","v_daily","v_mon","v_con"
"2",0,0,0,0
"21",25577.6519869683,25745.7257240315,25733.5933567893,25746.3888935525
"22",53122.2003136364,53168.5716622916,53168.3956772874,53165.6432322996
"23",71507.3343665745,71716.593941823,71688.3523484134,71700.4922559303
"24",100306.643646588,98937.4336424991,99048.1508450311,98940.0654766927
"25",132498.04805355,130454.121518102,130722.86060507,130511.822966686
"26",159577.583391212,157282.093875938,157367.306272801,157250.086976876
"27",190370.410625976,182863.888459781,183268.849720528,182715.968972187
"28",222188.200899758,208815.209325164,210007.50892797,208988.684483889
"29",268502.474317119,241557.273802097,242539.610796508,241480.688928355
"210",298286.680684544,269987.015355646,273584.752034237,269855.605602953
