"","v_bh","v_daily","v_mon","v_con"
"1",944025.83661558,952428.629455332,954863.403962894,952991.974408899
"2",727881.961564597,683178.204320163,692909.649786007,682819.559786773
"3",975829.101356983,986877.00901327,988381.468233182,986843.64290591
"4",947727.890466449,956672.345904216,956462.54147071,957096.809184402
"5",835011.165517787,827737.59387388,825883.165137043,827823.792254249
"6",981520.437694379,992430.01413436,992161.811371727,992264.11754796
"7",822488.683195415,811707.479338092,816690.032111721,812266.159641148
"8",900714.545404497,905348.990658134,907713.505247404,905231.314845942
"9",915496.033055108,920438.134050369,914586.409943484,921738.183035732
"10",1119481.25924992,1125367.19674119,1126916.21281217,1125297.29859555
"11",1209733.96297494,1205821.28175296,1205754.83556647,1204856.63986977
"12",873958.171629106,874371.938089107,875674.077866718,874940.852651879
"13",990020.934746861,1000760.55264885,1010368.07330129,1001122.55635294
"14",868004.787180566,867412.656715098,862966.671463541,867272.739340857
"15",1284332.85890818,1266643.36006875,1264517.96418119,1266577.86222874
"16",825905.335410464,815358.887345667,814870.382966849,816520.157243688
"17",693331.461232373,628981.602052638,636456.492672269,629338.951085128
"18",854963.172686979,852213.606105772,856735.809901615,852043.39744044
"19",1206135.56913453,1202819.12407147,1209440.60809857,1200932.04571607
"20",989946.950403263,1000862.03578476,1000245.65123927,1001171.54454582
"21",883660.122320628,886072.977640386,883128.598242458,886089.216190202
"22",905199.153211165,911051.47530242,906692.732489529,910409.655567942
"23",790827.250404477,771177.445046105,772121.408038967,771316.629784346
"24",1059774.98827367,1070198.95685919,1070857.56108884,1070543.82057748
"25",1021703.37816375,1032435.08263749,1031586.37586792,1032883.65830812
"26",1152586.536347,1155141.34258552,1156109.46477908,1154824.50593991
"27",829309.267465555,820740.470932401,820808.837454855,821022.118871456
"28",933858.533909222,940217.769207103,940992.942318497,942148.980536973
"29",898122.06449381,901281.982813983,906541.552455484,902864.62870266
"30",736288.456502496,695719.557752175,697926.815195891,695469.139423605
"31",951951.022960904,960882.301253546,957474.675881379,961249.743182135
"32",1246142.87314797,1234703.48642687,1236367.36024827,1235427.19434281
"33",880554.5156286,882500.27628018,888501.433962282,882463.732861535
"34",1081933.67312515,1090964.45705098,1092436.3991825,1091476.56489858
"35",1084706.97969142,1092769.62990169,1090964.80863776,1093709.91069955
