"","v_bh","v_daily","v_mon","v_con"
"1",865208.66475515,861269.257901337,861599.580266344,861773.826562458
"2",916958.64567498,918480.829155937,917320.573250132,919369.4167377
"3",886302.95453483,886080.040689057,886203.504197445,885858.133592399
"4",826322.618730487,815632.03143046,815449.176398655,815940.017259785
"5",1017939.55804511,1022974.79751729,1023042.62503273,1022247.0467222
"6",897254.792610495,898193.380004584,896046.010775802,897918.374467521
"7",772999.273978268,748674.38188337,751128.130911991,748297.713038235
"8",759834.681561737,731571.363240428,734168.081356506,731021.943970922
"9",802859.950734234,787175.339852287,792214.135102953,787128.309240259
"10",922813.695567517,925600.168298304,925972.05049835,925612.82292777
"11",795049.838597521,777258.201453831,777197.047980106,777270.493836731
"12",839846.096468924,832386.070968623,833271.714803505,832388.289510374
"13",908780.698843329,910845.23048984,909831.838442869,910502.967589919
"14",999270.147717567,1003775.54517559,1003427.77723353,1004024.13051463
"15",1005081.02916618,1009946.33114963,1011781.40314929,1009698.70752961
"16",909996.044376956,912946.83968632,914967.264827759,911948.72706055
"17",1136108.19809393,1131052.30301643,1134668.97231421,1130778.35147546
"18",1012268.9294438,1016737.65909946,1017761.1828719,1016777.24121512
"19",893404.387829465,893875.432141039,891846.597371615,893504.126676545
"20",796661.846058269,779115.773469784,779922.349799821,779062.92903691
"21",910514.932897571,912029.451722294,915087.360633939,912375.303838262
"22",840111.259094914,832829.055110259,833245.871989349,832463.065562522
"23",1132581.37860816,1127665.2945887,1134325.39017398,1128063.48886774
"24",993023.454579017,997888.908253924,996359.789171999,997847.782722426
"25",922525.025819067,924592.51719265,925188.911624538,925226.884388827
"26",1143351.72463599,1138070.37413418,1135585.64748618,1137491.95209559
"27",896706.401839741,897284.520363824,898769.649316413,897290.698005208
"28",861941.525951839,857726.991902279,856998.12193279,858066.112819691
"29",817651.81367926,805211.522653168,805121.530571768,805416.92505381
"30",725508.856676561,683313.101833659,686968.067472452,682860.246521841
"31",841039.780687703,833596.797003222,833275.916141389,833672.147161306
"32",804632.414893968,789903.172034001,789192.292253122,789188.956688882
"33",956222.300465054,960730.372776869,961214.37596218,960724.451023115
"34",767940.585910285,742078.042149625,743050.63047882,741783.154627607
"35",948342.051970106,952221.942793688,950984.907413537,952513.80658509
"36",983916.457946662,988160.284034955,985608.317687214,988613.201033793
"37",1055020.32296996,1058157.22789476,1060859.07210884,1057717.27468175
"38",887759.273963637,887411.64998859,887388.234845965,887367.486770755
"39",967582.410277079,972917.126885879,973218.471150321,972431.044790471
"40",877198.979344656,875856.238756034,879122.785638464,875501.972074117
"41",822297.642556385,811532.58034456,813597.342525301,811145.206298333
"42",898979.010590113,899744.413196167,899151.64669563,899812.700848472
"43",792783.254940137,774807.281186056,775176.002487876,774411.476147018
"44",993549.132160555,998609.599899458,998751.983296853,998472.872698932
"45",907141.902561825,908312.871390724,907185.481760888,908864.043909467
"46",957304.700457057,961874.91381835,962446.390254758,961899.702352923
"47",815074.652603335,802538.933489803,805814.655882247,802218.131379663
"48",869362.114312261,865775.076438043,866333.798741816,866665.838352873
"49",918883.53145477,921449.16553201,921431.474298861,921337.826570744
"50",1065693.39165364,1067029.86752206,1064964.91092819,1067626.44416754
"51",859083.25149288,855334.095947824,853596.115000342,854997.720213454
"52",950091.820582888,954027.769447129,952759.408853351,954128.632034206
"53",816836.698978273,804052.971921301,804717.026977521,804244.698406279
"54",797169.61811454,779772.062626731,782703.163673922,779585.247178864
"55",1043061.57691978,1045804.52613228,1049043.61330663,1046226.44135201
"56",1135204.51971089,1130718.11453346,1128720.34831356,1130268.95700644
"57",852206.745927042,846468.693667088,846650.143564987,846778.521344939
"58",882300.100602138,880771.381803827,880264.100120577,881291.94884825
"59",938497.06333388,942036.967672072,940015.772455067,942426.343624289
"60",838355.515763665,830109.603531485,831330.648678537,830332.000749486
"61",778428.250406458,756122.988367911,758400.622197651,755791.071408933
"62",732000.49451506,691928.091864163,695609.666105794,692258.235183134
"63",858441.582334679,853375.543285108,852485.495222458,853956.757105592
"64",911943.69495177,913834.150104594,914447.972673756,914068.547538725
"65",890367.516428674,890967.665733532,888357.254516306,890254.249390498
"66",770848.694204286,745165.626612931,748900.515880313,745420.640405198
"67",907022.927323044,908556.26873325,906020.980493753,908412.284580353
"68",904447.359897973,905994.115953306,905460.568111397,905938.463095432
"69",970607.330698085,975434.143575572,974100.781623753,975579.589954122
"70",913065.524542677,915228.524154948,916762.339706088,915175.669439233
"71",974641.142453157,978699.90961304,979614.711359082,979500.798258125
"72",1108424.08080774,1106187.16949353,1107851.49633108,1106294.84364426
"73",986357.163815272,991523.831544362,993425.696172381,991100.14662993
"74",907621.668466471,910124.184013026,907993.004750734,909468.575924269
"75",948833.462830206,952885.457972,949670.405572489,952991.842912204
"76",862710.204308352,859062.127430617,858772.119124023,859017.109074719
"77",897597.079353704,898318.198898054,896368.090194106,898208.151757381
"78",900393.755366215,901994.922834573,899722.074550575,901399.149769018
"79",830537.895246443,821362.235815406,821942.851034952,821097.956762527
"80",937938.641113406,941996.525648388,943449.322305519,941760.437932966
"81",888001.554565338,887950.924403636,888749.76103634,887736.82375139
"82",1048464.7426755,1051309.4596885,1052342.17258222,1051341.64609398
"83",777673.52673617,755144.781588859,755961.255122529,754718.109207071
"84",835353.558631178,826896.79083475,826863.017025275,827016.645725429
"85",966077.793772663,971093.442542866,971830.939552683,970855.63169396
"86",966501.597748587,971108.139152896,969195.065893665,970973.185088647
"87",928750.671213441,932218.252262307,931099.8637154,931989.480887251
"88",841750.484645994,834523.714633119,833573.06256654,834569.158968901
"89",757186.195962903,727459.090155056,728187.525171412,727328.035527118
"90",1163018.25158841,1153967.95287471,1151031.69622841,1154320.93920897
"91",849533.793090818,843201.368911834,843280.20064592,843371.307970019
"92",831725.50474306,822966.65630074,822405.888454769,822470.331964951
"93",922396.258198743,925339.027756762,928841.331684491,925294.186353896
"94",882360.702351199,881589.937568834,880696.539788691,881486.308444064
"95",910275.38033102,912145.119028952,910149.464368517,912373.890369108
"96",966570.436626809,971538.670532077,969757.930040915,971511.134398278
"97",1011451.10508236,1016476.93725665,1015116.68411612,1016037.79750038
"98",834532.428254439,825697.482643027,825615.54449738,825829.948008828
"99",831610.078208926,821977.53044635,821375.260620245,822401.536930154
"100",976339.10003139,980642.954565039,985543.521503611,981246.617726141
"101",954015.737637334,957675.393809088,960658.881487688,958392.267865297
"102",847948.510708032,841852.77693381,841936.834110521,841807.901479028
"103",839964.409561196,831739.8697285,831210.21192625,832170.101046523
"104",981543.956154772,986614.351291422,984772.444709337,986453.152320143
"105",924873.258845339,927769.81678132,924968.016258914,927884.659501227
"106",840664.605804603,832916.266839001,834665.048371062,833226.930998311
"107",991359.070392846,995979.646817006,994246.87676304,996522.847095298
"108",808503.433489557,794307.288926451,796482.82770895,794048.475878436
"109",904468.602934909,905718.593392675,905134.157014171,905785.307835536
"110",991623.561539539,996855.915620747,997374.458796207,996475.444937153
"111",865520.115361675,862391.517657008,864138.578784311,862194.662750495
"112",899391.814937088,900186.058612155,900591.894816454,900245.994767993
"113",845921.87333613,839339.109492878,838329.326649655,839483.406391177
"114",945047.822300684,948839.357273289,951672.611722532,949137.924068092
"115",948947.409014907,953325.097336276,955538.831512402,953546.081523319
"116",1029958.2935644,1033779.94310191,1032675.13751224,1033744.91465031
"117",1045406.12003705,1048769.36894284,1048575.55762449,1048705.59584874
"118",941830.364729024,946004.278063241,952066.188610225,945636.063403099
"119",836320.419077592,827976.182097777,826654.539874364,828131.700755206
"120",950572.974636843,955268.222519084,952641.096502837,954823.579215517
"121",921785.589170925,924861.63796281,927973.841758939,924676.863354915
"122",868620.108117529,866093.64761732,865270.266324834,865761.304919689
"123",820116.970991604,808664.701501858,808955.868330197,808629.453001259
"124",1088859.07535956,1088358.66626647,1089175.07081555,1088831.85090514
"125",1004532.91746572,1009352.68995644,1009060.94688671,1009287.07483517
"126",954617.857137104,959107.114443782,957848.567361012,959043.010976227
"127",960272.253228769,964876.874986878,965847.003261901,965160.973024622
"128",854498.533020051,849686.892151176,850308.854358884,849527.849168145
"129",791007.650030562,772077.535095026,772528.766200295,771928.479695282
"130",820035.159158037,808885.019673135,814079.332761078,808465.503800885
"131",916295.938673221,918610.15907045,919225.521976058,918381.495895325
"132",861686.668458574,857429.672027824,857062.810745026,858005.822716032
"133",899255.575538212,900757.651884828,900376.921283421,900220.153394771
"134",925624.073046279,928601.314154238,927516.724903941,928654.926051521
"135",1017950.6794383,1022284.77718134,1021424.00237498,1022279.25369599
"136",792449.326313627,773959.487871772,777200.05066323,773886.737891281
"137",876185.460399776,875229.746009143,875130.128484043,874349.675290379
"138",880657.253527698,878633.965371995,881452.852071554,879227.539374261
"139",793869.167504144,775286.653682509,776402.196187656,775492.843077862
"140",975508.873338485,980118.759457074,980133.951946561,980444.870737302
"141",865501.052729742,861763.529441512,861295.244550572,862188.589131041
"142",879919.951637301,878511.225266451,877571.402079699,878494.20249295
"143",823419.993638458,813021.90338716,815866.112197658,812534.277794372
"144",854458.934044493,850144.490477588,850889.806358955,849663.408638815
"145",831606.01990197,822642.672808312,825485.868573989,822351.584081928
"146",833748.251414756,825119.500543802,826664.351429476,825021.026697319
"147",975405.631423924,980160.559106802,984099.365607201,980270.54452635
"148",946930.785165516,950908.880997168,949164.371684585,951059.443236273
"149",929894.603003998,932490.87656327,935469.044631563,932846.913651165
"150",899008.103047428,899896.404868008,897785.091632755,899855.984123448
"151",842451.794344395,834926.183018299,835807.645717453,835185.701549831
"152",732357.705141195,692322.271999939,695344.93636972,692700.712613677
"153",894090.863464875,894589.181194601,897151.511748836,894547.183913033
"154",834215.622863541,825425.197639228,826604.491978596,825426.880888588
"155",841429.702252119,833792.018356559,832456.867209984,834081.564380344
"156",755160.375170478,724749.840648885,728157.289690458,724608.455729812
"157",921034.254113954,923646.176082042,919873.030719136,923725.124949359
"158",971338.068731396,976442.35775125,977323.678025952,976224.213305074
"159",873724.696381496,871433.818796506,870011.836178103,871522.186013853
"160",827743.600785603,818028.044694907,819953.580774482,817768.234373534
"161",776844.668076673,754015.854422234,756003.306248484,753611.089340452
"162",944222.564120436,948166.21654013,948079.329753834,948169.733192109
"163",816827.856160063,804509.753456266,804600.093447718,804225.598525713
"164",970776.220451905,975522.709044021,974570.661881815,975499.776170721
"165",1004977.14657555,1009850.4068394,1013884.21892984,1009915.58663513
"166",862640.606252663,858589.517621772,857517.043099168,858788.697585104
"167",916596.908454155,919126.550561278,918636.538229153,919060.275233129
"168",900374.198947025,902138.693647969,904141.614144347,901709.225116091
"169",821477.398177051,810270.355651059,813208.304129244,810207.419455401
"170",959570.153744975,964098.975063756,962534.008297659,964181.132755787
"171",922635.978152363,925975.681031361,922535.434467731,925476.586811597
"172",836046.982571809,828432.458680095,827377.984563783,827746.64541181
"173",868036.422622398,864643.656859754,864933.404264462,865267.698495176
"174",834419.040342862,826153.061363636,825312.913678061,826023.915113764
"175",840985.476010691,833472.717917318,842503.642496091,833561.744280954
"176",885951.481827164,885760.231474554,886418.204540936,885414.601234421
"177",946948.880236834,950869.009003495,953685.810490159,951137.931811185
"178",922135.328994539,924406.775588768,925899.144815655,924931.756250117
"179",915721.493796934,917830.655609123,916356.595405289,918111.288139346
"180",807048.303843211,792031.416472238,793818.494746751,792332.591265008
"181",1035661.05184753,1039678.25336873,1039080.2363652,1039239.78945762
"182",967411.820471552,971916.444001719,970561.927472921,972182.18075093
"183",946963.227319529,951167.830931715,949735.152520776,950881.129341902
"184",900487.198936302,900926.875100969,899705.992534892,901356.048076171
"185",858669.514379023,854490.818383079,852251.958602466,854401.911292368
"186",845915.393547863,838756.537287654,839314.635234051,839301.172807253
"187",877748.765191418,876354.029985975,877135.911837477,876153.854143104
"188",928282.53696604,930846.314944881,931941.113741859,931281.664603053
"189",976409.072398712,980851.662424776,980181.157850895,981236.737610468
"190",946986.023457058,951217.803792904,949827.676640686,950947.26045551
"191",944528.547367785,948816.202661601,947758.549287515,948707.445036946
"192",909430.892043501,911063.227041333,914360.682313243,911171.009844561
"193",968288.96104419,973656.567832211,975089.767589305,972930.123855976
"194",883651.4680917,882472.209547672,881472.349834632,882562.729423049
"195",745645.831597258,710956.200473229,713553.249777299,711354.872977242
"196",941231.676753059,944743.253421965,943785.740596766,945114.539853677
"197",898750.471443727,899109.50773239,897280.714304154,899369.881922963
"198",890975.059319043,891323.680761217,890755.969058855,890922.73445204
"199",995681.658822082,1000453.50613689,1002826.32402723,1000394.27847518
"200",892587.523292636,892445.453777047,891772.346972861,892896.00735261
"201",877359.286076039,875572.436088715,875746.231892846,875806.527563158
"202",849011.224521099,842813.228911325,842166.321465846,842897.751834832
"203",992266.421345735,997289.081995412,995316.016391519,997302.195852033
"204",876340.266919009,874540.833099644,879232.623403761,874490.744171021
"205",989310.712436931,994690.699049633,992755.918333121,994457.541718653
"206",916995.123564528,919345.998339078,919008.136704811,919391.595635943
"207",963830.771954904,968573.744183337,967806.059182544,968500.553633921
"208",1009780.83551368,1014248.30281509,1014837.03159465,1014221.2043776
"209",949561.338505283,953749.193129135,955363.366982184,953750.682086111
"210",1093700.71296259,1093358.80929734,1094114.06646685,1093454.09756694
"211",956597.470589323,961138.524073089,961248.106894337,961016.524523671
"212",886319.46373861,885294.873708764,887315.608948584,885722.414413207
