"","v_bh","v_daily","v_mon","v_con"
"1",1002002.71249549,1003516.67944682,1004227.85941881,1003743.10364145
"2",891346.780299177,879562.251644571,879546.050601322,879685.559689826
"3",917219.82910859,910072.393932655,910910.721086614,910052.485402798
"4",873416.844082338,857653.735122003,859094.359114928,857857.805661316
"5",859055.836705076,840030.40948476,843297.469145569,839869.086009886
"6",943444.375033824,939960.456974794,939795.559478671,939969.108307653
"7",934685.306204213,930239.223064983,929390.690069006,930118.637450771
"8",924830.635398681,918858.658004234,920375.646954002,918916.72807029
"9",863075.922238256,845264.804848344,847178.209345483,845030.105051646
"10",893649.522689967,882317.971274934,882466.127547237,882356.023104182
"11",895968.875058898,885254.3566337,886566.483961956,885102.363182499
"12",899726.838477915,889727.651245083,890544.384945462,889582.081726767
"13",885404.05603892,872674.059124433,874657.222632886,872424.30327925
"14",881681.759917049,868214.962765137,867899.875631674,867861.496833932
"15",938177.603477909,933505.989525512,934310.577159587,933965.39791655
"16",896298.905322113,885342.986623657,884864.945009551,885610.091004967
"17",915856.729230465,908230.846629228,908559.268286483,908545.948027518
"18",887427.475010772,875285.077181729,876347.335385043,874864.7739292
"19",858835.501999615,840028.439154362,840390.911454984,839732.842034902
"20",944436.806803646,941179.314178461,940010.403704348,941151.756665993
"21",930471.095714321,925272.360175433,924677.630612754,925365.111681827
"22",905039.06443757,895852.394873007,897548.200065108,895744.611433397
"23",870287.544901138,854370.873765714,856480.468350729,854050.392211112
"24",813236.21161939,780304.754688653,781389.106951598,780292.328062365
"25",983098.430131385,983725.777827502,983721.847241506,983825.43526322
"26",896408.210729377,885779.454714298,885679.379492199,885703.243809226
"27",832878.006145195,806259.401568809,809036.893638937,806378.582022445
"28",914354.845705284,906856.646497846,908476.961709363,906723.545179437
"29",935792.184050218,931495.483049579,932592.730958524,931443.685723345
"30",861496.295513504,842829.275020063,843957.52311488,842905.484689865
"31",941799.044087425,937936.850525962,940027.020103463,938135.463595764
"32",907992.476897617,899668.099737176,902127.412093514,899350.455116885
"33",893733.949912898,882412.219265271,882433.362469946,882390.469873962
"34",872460.974822213,856721.050331523,856841.839704805,856608.35459647
"35",990675.906198928,992268.37203171,991723.040551058,991736.216536389
"36",903073.433091153,893431.998947421,893575.665417569,893594.32030185
"37",971456.761376212,970909.621525618,970432.267065383,970903.478737436
"38",829146.731784233,801482.728316802,802400.140814734,801384.1533919
"39",909705.080625916,901358.829882579,903367.742610358,901273.181367391
"40",842901.699131282,819533.67032557,821171.697369786,819384.23143792
"41",874881.852996497,859547.75745358,860791.602331114,859629.252671111
"42",842510.265955431,819098.530338921,821175.726269048,818815.289128445
"43",867573.714435788,850728.870110605,852497.523655056,850625.89476298
"44",876998.716139328,862132.545217316,863057.243944264,862183.083700938
"45",957689.268767722,955920.240377075,955752.223783785,955854.529045166
"46",990707.907721028,991427.803965289,991247.503065799,991618.196554737
"47",957025.123433781,955066.098164572,957444.374829876,955150.433276379
"48",885548.661839281,872376.420365961,873263.92007203,872584.131656321
"49",893846.627062583,882852.368253138,884650.732726474,882545.893077917
"50",951538.818909531,949382.518083829,949704.478378749,949076.091255637
"51",908851.661946455,900386.745858621,900987.732636008,900335.290330275
"52",912226.110440813,904597.549516618,905948.574942682,904369.732255919
"53",933763.10116911,929134.338732051,928408.676847075,929114.495951991
"54",843076.020232762,819615.081499112,821930.635851557,819585.039275108
"55",862676.750709683,844481.158379472,846563.430140098,844468.251352826
"56",913855.438470948,906065.998257082,905478.184123365,906165.738932267
"57",874153.794254947,858633.560465202,858578.766145642,858628.88024203
"58",920775.58518636,914220.424887427,914612.837815189,914112.534152172
"59",842940.225615788,819696.72267402,820366.649908555,819374.285193743
"60",984441.995567656,985012.250393791,986170.244223626,985015.754196231
"61",935070.457357637,930580.87873636,930019.722125784,930596.945166069
"62",797962.668166134,759676.004909634,761570.653571953,759433.254281241
"63",1008130.84885293,1009690.45490976,1008654.67233251,1010039.27103308
"64",794980.073661595,754952.322026172,759378.927964953,755032.922703119
"65",892038.897756974,880337.582446664,881890.595041292,880472.92221084
"66",863088.145010179,845264.664366439,845934.957661222,845050.74334697
"67",912292.224508766,904551.659907401,904122.858952236,904436.563414119
"68",859934.928917233,840706.203301278,841829.158044942,840973.597289006
"69",928601.520714442,923274.186002695,923191.449330033,923302.699792495
"70",918939.651448107,912395.012998833,914104.373254755,912256.040648773
"71",1016521.02404252,1018977.97654342,1022746.85685858,1018936.7623033
"72",824499.27513205,795542.325858798,796868.432139684,795287.477053074
"73",817800.70794445,786362.958322023,788778.088685265,786365.091108091
"74",856065.877798967,836566.371753474,837122.141290829,836231.878616109
"75",905354.245832927,896382.124578958,897287.487103697,896294.285632844
"76",901549.13162232,891518.219489001,890966.866587582,891668.629345922
"77",917292.6037411,910606.112163875,911162.777847268,910265.05698713
"78",977796.805143896,978065.358904327,977679.342242463,978009.809024154
"79",848655.081144177,826863.968819885,827116.181631813,826866.182356538
"80",943128.845099537,939517.051157949,940546.554589473,939638.598037071
"81",962620.784629274,961641.73799545,961157.996892356,961476.059463871
"82",905920.259398446,897112.886017368,897250.420069174,896977.59972379
"83",918033.443447324,911228.338509417,911328.208935025,911009.03668713
"84",922063.493391963,915554.140412722,914975.777793103,915717.164188985
"85",903557.517382335,894438.807294465,894672.772905842,894169.287586977
"86",802631.897632247,765748.463491073,768565.166931457,765669.759197063
"87",838576.882540242,813944.530611931,815975.385776339,813721.078561831
"88",856888.984443388,837317.19253238,838002.801275297,837294.532929417
"89",818599.922897485,787667.60617793,789379.831498001,787431.586119024
"90",837709.012417007,812528.146140722,814149.047223098,812735.957675389
"91",851443.426024566,830234.672815419,831681.234064321,830344.619343873
"92",880325.569633871,866282.304828814,869669.419875877,866144.347336376
"93",903367.609555495,893174.171769666,893987.205472717,893838.672981789
"94",865083.287909924,847733.456830834,849430.174403612,847392.802894453
"95",814782.447190371,782613.943918186,786238.880890898,782236.80691121
"96",1023445.42483362,1025744.71974574,1025277.91165195,1025776.37051481
"97",821581.502631058,791411.743865219,794084.969212974,791404.466081941
"98",824786.527784877,795954.132621081,798070.149746705,795667.852688227
"99",852166.232909235,831234.916886861,833714.243614444,831192.391986631
"100",883533.814509919,870336.290746702,871443.387744332,870100.303852535
"101",915755.336485237,908557.239771093,908342.030772944,908384.356164873
"102",961971.131280625,960676.948099263,960597.537843422,960656.967899635
"103",885765.790260604,872831.010112091,872990.346292011,872818.007764274
"104",843124.485570199,819434.942033717,820672.30580453,819604.839125546
"105",898424.833971042,888179.06987817,888874.520891955,888091.693251498
"106",947160.208098211,944318.814796036,942808.612203983,944301.196601653
"107",906578.233786439,897422.264815488,898146.581836579,897726.477402652
"108",834750.078292507,808781.789379624,810112.242771322,808814.558951795
"109",966752.20095776,965937.89077722,965764.302381634,965803.127846255
"110",960075.599627898,958686.327082431,957686.419227856,958642.548317639
"111",823401.858780509,793717.07651814,796678.295669569,793867.548193236
"112",886863.606914461,874369.050505358,875100.064321302,874086.645837212
"113",869010.195163853,852558.123118825,854143.293958302,852379.924496011
"114",1001988.97878757,1004102.15365532,1004682.02770693,1003652.16822386
"115",926170.858238804,920328.108863637,921754.980921456,920408.162518977
"116",875684.758374622,860685.567458524,861362.978937898,860591.427209185
"117",846580.356606963,824376.602350167,826236.553222819,824059.466063479
"118",874949.619812558,859783.029940983,862739.670831136,859743.181923168
"119",896324.472817332,885771.065953939,885980.456845268,885551.387677833
"120",888329.353041018,876344.330416179,877158.680587647,876101.176080388
"121",863446.99604645,845281.878202159,849136.570967368,845308.197858663
"122",893144.341287819,881781.671657943,882906.011220105,881604.477623914
"123",905175.730912576,896179.345338389,897773.7568936,896019.463487633
"124",916450.172351999,909287.95283933,908602.342590341,909240.491569674
"125",938196.528371029,933865.574331782,935917.883898371,934162.755408692
"126",786179.613260067,742883.288803433,746613.182140752,742723.70239429
"127",948939.815033602,946048.40435958,946498.478130579,946163.033811297
"128",855618.35490032,835483.388335415,837482.110656349,835554.731538113
"129",864384.87880966,846368.34867415,848414.319493071,846601.447162744
"130",871360.691742489,855240.068645011,856000.843475988,855309.179940787
"131",997671.300709607,999442.591344577,998224.626516237,999148.103222401
"132",868770.862288605,852269.170075906,852277.642701133,852028.030409539
"133",900871.883529753,891149.407016434,892031.027764618,891019.314516352
"134",882596.708934886,868928.362415077,869802.10789548,869130.59934362
"135",929495.260787124,924235.631996652,924085.655731229,924237.133723747
"136",929900.150840129,924843.03957252,924075.428792878,924608.686783332
"137",938494.368830198,934242.228274229,933862.84694514,934427.438177953
"138",927686.646073737,922237.318993656,923216.62601163,922253.326253426
"139",849816.155286091,828440.334638732,830561.085594565,828282.614184792
"140",866664.216747313,849682.70350211,854648.848838925,849447.291407618
"141",846937.773114603,824845.874368793,827080.155502858,824663.873203665
"142",835522.605254036,809796.059835098,812564.94130387,809886.831876812
"143",893990.579419805,882630.862557156,883195.767051836,882767.031959979
"144",998023.450322858,1000157.32626328,999525.056694203,999653.144198978
"145",890038.698229854,877941.214654427,878356.608908673,877930.248754191
"146",910031.955591842,901742.920622871,901706.791939723,901814.269084329
"147",941769.175323266,937871.427601035,936909.473557772,938069.732062484
"148",844296.238706226,821183.56037131,822777.510291047,821211.143891217
"149",883593.323712174,870133.110074589,871240.977543441,870192.075616277
"150",998730.125824997,1000394.48638943,998870.667321115,1000305.4569446
"151",893662.874348849,882449.528173589,882963.956110904,882382.727003859
"152",993827.058395745,995092.471985825,995785.527065137,994917.576246941
"153",877863.93058535,863600.942547376,864567.638690584,863215.234490059
"154",910501.685835579,902001.832511597,902614.434569505,902263.369990623
"155",806897.754780483,771838.457840632,775466.439130232,771576.879094563
"156",853476.614667806,832826.400619236,833989.678666852,832904.708942571
"157",784300.134452459,740374.595599178,745687.147374681,740033.950793796
"158",998615.889790939,999951.88199451,999617.149700419,1000080.25601307
"159",947260.746360385,944278.073640854,943337.724168328,944444.03193868
"160",911235.947177167,903171.535434951,902972.172834272,903018.732124107
"161",856309.634960923,836291.612402626,838119.774254264,836419.680256939
"162",898864.087742099,888962.57610725,889981.305955304,888565.409222491
"163",975014.222937152,974728.922380711,976120.410122674,974815.407965433
"164",846572.732119692,824499.610829528,826097.524826476,824184.048417098
"165",809168.766675301,775074.900786162,779259.708861597,774622.761512209
"166",930226.838208368,924913.482854334,926298.698125065,925089.360664574
"167",848867.427061604,827298.282541926,829230.951259283,827061.544002639
"168",945041.787478106,941842.819089397,942946.258887002,941890.924821701
"169",850431.002229546,829188.071825839,830573.693270735,829020.132977376
"170",982813.733927241,983589.94874967,982517.74298707,983333.890434495
"171",886903.328790261,874182.806949623,875777.317712112,874332.586871413
"172",918307.203772758,911464.723860154,910691.9948178,911420.897554808
"173",936289.761644426,931978.609726456,931846.008441583,931991.866339894
"174",922200.617944191,915600.220738547,916893.774621661,915752.313322519
"175",920471.212547061,914066.512634071,918412.150719671,913886.404285464
"176",889638.824118781,877414.410302365,877100.741910509,877492.900494173
"177",875020.402974496,860495.292192831,861470.425593428,859979.712060167
"178",989455.267069283,990164.942993587,989875.425678952,990238.46394758
"179",939469.735035372,935557.093160497,935978.218550917,935551.521704388
"180",937406.241038078,933092.830000266,933387.795842087,933215.120375919
"181",867226.374382802,849796.622786779,850769.533928288,850124.194392218
"182",888893.046092519,876960.981542387,878345.941567826,876572.56732349
"183",892001.82840261,879991.291721619,880624.493597757,880383.783926096
"184",980399.142373623,980985.037549222,979748.646445812,980583.69630681
"185",890104.720856009,877806.535180315,879423.267260628,878061.85292007
