"","v_bh","v_daily","v_mon","v_con"
"1",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"2",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"3",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"4",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"5",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"6",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"7",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"8",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"9",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"10",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"11",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"12",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"13",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"14",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"15",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"16",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"17",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"18",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"19",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"20",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"21",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"22",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"23",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"24",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"25",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"26",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"27",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"28",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"29",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"30",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"31",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"32",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"33",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"34",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"35",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"36",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"37",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"38",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"39",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"40",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"41",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"42",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"43",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"44",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"45",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"46",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"47",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"48",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"49",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"50",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"51",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"52",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"53",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"54",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"55",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"56",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"57",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"58",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"59",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"60",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"61",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"62",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"63",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"64",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"65",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"66",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"67",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"68",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"69",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"70",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"71",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"72",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"73",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"74",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"75",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"76",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"77",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"78",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"79",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"80",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"81",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"82",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"83",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"84",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"85",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"86",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"87",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"88",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"89",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"90",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"91",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"92",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"93",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"94",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"95",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"96",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"97",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"98",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"99",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"100",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"101",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"102",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"103",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"104",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"105",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"106",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"107",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"108",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"109",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"110",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"111",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"112",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"113",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"114",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"115",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"116",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"117",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"118",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"119",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"120",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"121",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"122",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"123",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"124",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"125",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"126",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"127",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"128",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"129",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"130",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"131",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"132",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"133",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"134",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"135",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"136",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"137",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"138",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"139",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"140",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"141",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"142",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"143",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"144",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"145",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"146",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"147",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"148",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"149",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"150",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"151",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"152",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"153",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"154",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"155",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"156",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"157",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"158",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"159",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"160",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"161",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"162",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"163",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"164",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"165",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"166",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"167",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"168",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"169",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"170",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"171",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"172",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"173",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"174",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"175",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"176",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"177",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"178",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"179",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"180",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"181",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"182",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"183",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"184",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"185",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"186",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"187",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"188",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"189",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"190",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"191",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"192",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"193",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"194",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"195",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"196",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"197",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"198",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"199",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"200",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"201",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"202",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"203",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"204",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"205",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"206",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"207",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"208",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"209",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"210",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"211",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"212",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"213",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"214",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"215",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"216",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"217",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"218",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"219",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"220",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"221",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"222",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"223",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"224",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"225",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"226",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"227",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"228",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"229",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"230",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"231",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"232",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"233",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"234",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"235",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"236",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"237",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"238",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"239",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"240",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"241",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"242",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"243",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"244",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"245",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"246",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"247",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"248",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"249",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"250",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"251",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"252",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"253",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"254",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"255",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"256",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"257",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"258",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"259",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"260",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"261",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"262",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"263",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"264",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"265",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"266",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"267",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"268",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"269",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"270",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"271",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"272",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"273",860409.110340859,852103.488207655,852762.968751053,852073.51293302
"274",860409.110340859,852103.488207655,852762.968751053,852073.51293302
