"","v_bh","v_daily","v_mon","v_con"
"1",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"2",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"3",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"4",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"5",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"6",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"7",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"8",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"9",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"10",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"11",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"12",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"13",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"14",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"15",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"16",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"17",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"18",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"19",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"20",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"21",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"22",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"23",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"24",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"25",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"26",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"27",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"28",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"29",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"30",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"31",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"32",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"33",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"34",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"35",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"36",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"37",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"38",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"39",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"40",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"41",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"42",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"43",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"44",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"45",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"46",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"47",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"48",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"49",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"50",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"51",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"52",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"53",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"54",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"55",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"56",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"57",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"58",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"59",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"60",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"61",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"62",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"63",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"64",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"65",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"66",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"67",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"68",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"69",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"70",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"71",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"72",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"73",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"74",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"75",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"76",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"77",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"78",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"79",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"80",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"81",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"82",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"83",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"84",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"85",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"86",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"87",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"88",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"89",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"90",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"91",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"92",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"93",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"94",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"95",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"96",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"97",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"98",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"99",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"100",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"101",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"102",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"103",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"104",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"105",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"106",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"107",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"108",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"109",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"110",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"111",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"112",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"113",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"114",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"115",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"116",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"117",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"118",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"119",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"120",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"121",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"122",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"123",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"124",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"125",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"126",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"127",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"128",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"129",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"130",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"131",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"132",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"133",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"134",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"135",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"136",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"137",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"138",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"139",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"140",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"141",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"142",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"143",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"144",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"145",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"146",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"147",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"148",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"149",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"150",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"151",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"152",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"153",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"154",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"155",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"156",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"157",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"158",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"159",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"160",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"161",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"162",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"163",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"164",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"165",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"166",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"167",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"168",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"169",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"170",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"171",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"172",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"173",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"174",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"175",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"176",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"177",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"178",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"179",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"180",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"181",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"182",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"183",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"184",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"185",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"186",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"187",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"188",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"189",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"190",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"191",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"192",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"193",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"194",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"195",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"196",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"197",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"198",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"199",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"200",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"201",845160.02301782,826962.690645553,828408.396037476,826898.830451978
