"","v_bh","v_daily","v_mon","v_con"
"1",873872.94807268,902419.417521761,922070.64417559,897369.705688031
"2",911803.473180532,941362.53228407,918909.549929889,939696.966841249
"3",948314.70236551,972371.937390611,962894.116387543,978439.677249187
"4",728984.333743867,719031.614013964,716367.297239108,716885.961872411
"5",746894.763080675,742919.064379615,742230.419832885,741012.298567567
"6",1342472.11249817,1322220.30999021,1303201.9903164,1323973.0777517
"7",845078.542822241,865825.909410212,864643.399337113,865095.115735585
"8",756892.467061789,755173.945389864,745820.995000563,755738.817487678
"9",741508.993896021,733485.473039066,737386.382751205,733802.008394255
"10",946784.7069393,978601.908347726,974304.598960052,977385.870786111
"11",1123496.95794436,1140341.08673847,1124209.69426255,1144445.90789996
"12",881625.133991492,905188.279720875,893448.726757716,906594.992771967
"13",1212295.74102495,1227914.18161482,1210682.36229183,1221972.08596337
"14",880673.332845068,909388.96804433,923645.656541688,905189.665586371
"15",1223557.29167741,1228356.05542841,1223648.77980426,1229013.91251505
"16",1272311.39543643,1276089.3405719,1281784.79506284,1270158.45982497
"17",1022985.08114533,1058368.45384507,1041729.28486535,1053630.26439384
"18",1398366.97212288,1369592.44311759,1356781.80403655,1366359.14056935
"19",1729641.8656964,1595011.52823019,1619716.37936283,1592809.02579507
"20",1189013.88065503,1201725.64575906,1200585.40726644,1203082.87942454
"21",905641.850057946,933478.077249008,949714.965387325,932115.589261327
"22",1191114.37591773,1201292.22878266,1195869.82701283,1204575.74793923
"23",1130553.33526415,1152142.90565335,1155280.12115623,1151158.66127148
"24",924245.480615306,954204.188554169,959431.852918023,952059.02381811
"25",1558999.2904339,1478083.53566611,1478507.89573498,1481337.42952
"26",1967101.84545443,1739903.83861523,1760696.81057983,1737724.92704482
"27",1084800.32618883,1111977.6408565,1111791.51009139,1111500.91860316
"28",835779.291582481,852802.849271213,848167.726387533,853975.716069047
"29",804371.31515525,813366.881233751,825953.597501496,816319.333363644
"30",2383034.61593972,1961207.22866728,1989929.68610379,1964284.04980327
"31",976201.646215199,1005039.79537561,988411.275218574,1007015.50688219
"32",1067747.52132417,1096206.5170918,1085230.19807494,1095611.08532149
"33",1255710.90769198,1254906.50505485,1235862.3542636,1256231.55900731
"34",690539.571675948,666913.344816387,657558.891799736,659743.796415177
"35",752352.382872726,751067.261450771,751449.565663582,749248.620646629
"36",1456696.65082947,1407514.90488698,1416160.79738158,1410038.98754996
"37",705164.152689807,681073.340587178,681685.023197445,683014.115223532
"38",743026.346786101,741353.002511304,746118.347167315,736381.52423282
"39",1189574.85803793,1203692.32071384,1194504.57549179,1200754.49452399
"40",1417058.46704814,1381374.60053381,1386830.20997588,1383646.64957541
"41",756244.84853294,751165.810562973,757859.696453683,753528.927636666
"42",690486.608429276,660316.478308197,665462.177263376,659990.473766388
"43",849552.451188755,871540.408858159,863053.554599787,871647.002386665
"44",839249.440063587,855071.030729538,847712.782110049,858910.330345152
"45",843640.227277805,862363.374504862,864874.434148121,862141.616983289
"46",1095673.58943387,1117812.36277093,1120672.62239693,1118658.28512452
"47",867001.497562805,888189.204774794,880431.575971588,890038.224103167
"48",826442.964691235,842115.046446628,846408.980669466,843467.960559143
"49",958268.913559159,997528.149746779,986645.005246015,989825.805957212
"50",953589.063877709,980695.207308139,978260.46207379,983916.398214671
"51",917340.202379045,944163.310507458,955999.204774389,947055.171985611
"52",881332.68623783,908879.921294165,902489.542610159,906417.163264627
"53",1856001.8285054,1668950.50648785,1674940.31876029,1670845.09022874
"54",1136758.9840504,1165891.17489745,1150512.88490524,1158186.71362734
"55",689013.70626265,657420.862481473,661351.98553476,658840.695462202
"56",713205.985682861,692733.946325513,688002.805053628,695314.688883139
"57",1166505.08295866,1180755.13980247,1165070.62406768,1181113.94156505
"58",926720.184300828,954665.455912412,940020.619324914,955750.137384061
"59",894934.511033774,922059.045279322,910058.51754821,921936.698575981
"60",1113947.13322041,1131463.4271668,1146291.41595558,1135221.09802609
"61",1326236.83637971,1312961.11881292,1316035.78002509,1310572.95694607
"62",976823.691955013,1013308.69356146,1022176.16891742,1008874.57427909
"63",1231620.99675745,1237055.38259192,1214600.30573861,1235661.16315398
"64",1405236.21064211,1370874.43790702,1409817.10540511,1369597.22036801
"65",1008384.95700222,1043479.37138221,1028331.3122032,1039058.83866129
"66",755152.01357523,751025.693221181,740057.484503336,751972.303172175
"67",1439782.10340286,1399961.52086169,1412651.77235795,1395856.87414448
"68",979592.263290834,1011998.86878826,995696.225306419,1010967.09687476
"69",1427856.22167557,1381284.29127102,1385225.51189894,1387006.90372484
"70",717222.396568334,702573.411930486,726806.626890274,700222.361156716
"71",988488.696390461,1019495.04066667,994757.898180128,1018338.78706711
"72",974267.590100905,998984.490270805,993662.218735926,1003984.64077768
"73",1651715.41557022,1549100.09364224,1574407.79591634,1541048.15427512
"74",865356.265724082,884331.04020592,875475.946631607,888548.038387848
"75",2166822.05126643,1856691.30913525,1841762.87050284,1850316.96250038
"76",1500501.79589629,1437119.15795049,1433203.50124701,1441051.99591985
"77",1077870.27852948,1101632.03145956,1089964.60105108,1103505.97384197
"78",1115971.4613857,1135369.66074179,1133856.77668537,1138736.28425463
"79",1998157.69645543,1765118.77140704,1769316.74431442,1756035.0575707
"80",1001399.26284667,1027591.01509729,1025861.4767661,1031059.81077805
"81",611643.371881798,525797.3322737,533369.584725028,525662.679012243
"82",1250099.96135825,1256845.64166453,1279934.80684656,1254096.32782294
"83",1522395.2238676,1453033.22214317,1465860.4745092,1453933.36961108
"84",826454.611060548,842493.962983932,829958.282679078,843212.316443027
"85",1030841.59376627,1061693.0919098,1090730.05702411,1058806.67589154
"86",811902.761728136,828170.653247261,815652.355420459,826803.305124274
"87",1712022.61273669,1583365.21866387,1571206.27496231,1582087.04480672
"88",1114226.85860915,1135466.73536435,1122733.77018039,1135328.13479634
"89",1017263.13428555,1052327.40449931,1073085.98585662,1048810.01805431
"90",897843.053846782,923349.486495853,927173.9482599,923841.726277784
"91",876988.013975799,904890.047652762,904556.13464747,902358.069114409
"92",1663337.7055731,1547949.5708893,1555990.36282875,1549921.86586994
"93",929997.863905661,961283.834067764,960451.859892408,959205.109263752
"94",1174049.99015982,1193819.75909707,1179892.96377667,1188231.47212828
"95",750138.026109562,748705.448579107,750483.674575756,744936.242772064
"96",1001952.06717674,1033010.19821779,1026313.10438746,1033701.97416374
"97",939941.251358854,975071.961740072,974073.401523044,969870.566669584
"98",760237.824027803,758351.873800918,765404.211890192,760388.263261056
"99",1136527.76294144,1153752.12821836,1138793.72899419,1155815.15149384
"100",1234724.53610286,1232649.55400209,1235302.93558583,1240166.86695495
"101",1019285.07687907,1048416.23485453,1032965.77944158,1049383.63599715
"102",947594.241637466,976662.195947346,988619.859826934,978182.591356001
"103",885083.643904104,912692.880224752,918588.200563648,910398.064777069
"104",2665784.25620449,2104866.49055242,2110851.98351959,2101201.01130788
"105",803108.389819613,817044.889616207,811548.325601895,816229.193977503
"106",1006628.45703515,1032247.06561663,1036390.58729905,1036561.3159178
"107",1146322.68470422,1167347.41984705,1141839.25438054,1163744.49571407
"108",1009329.23832728,1040297.26892996,1031826.51222614,1040209.32170099
"109",853637.112506143,874418.998475848,867781.871760195,874536.738701891
"110",1187921.61405083,1203987.72127978,1181238.85853812,1202915.74325306
"111",2167015.25815161,1846508.74206112,1895439.71622451,1846214.29046319
"112",871460.173221841,896969.10426816,901129.284479503,894017.010572016
"113",1186695.42717754,1199366.00840753,1189630.77320228,1199545.79120951
"114",940302.677369278,968170.241483609,963138.124330694,969559.97566431
"115",1336351.21791302,1321602.64479203,1326679.90143627,1321546.49206706
"116",932308.844273311,959541.850777583,945576.523364926,962183.711000342
"117",874144.779138718,895565.520776584,886896.992106536,896727.669583109
"118",1580210.74717483,1493378.19985217,1489894.66376008,1494706.80686686
"119",996086.245652975,1025154.36948891,1022985.01011293,1027047.85781929
"120",1245295.13300179,1248905.54466127,1263113.55247783,1246980.04657218
"121",2061330.74072622,1790534.2899416,1803414.82528478,1788250.25044803
"122",801413.996048355,812564.299798918,813615.37788553,813230.220848016
"123",1001172.94516332,1033332.35407509,1036450.8518611,1030582.38217101
"124",928195.872285748,960049.690578766,979780.321134942,957053.955927919
"125",785031.171239386,793365.143983244,781187.806112833,792284.311895425
"126",885548.040029894,910466.994321598,899227.471485157,911489.243431377
"127",1174541.98768165,1189544.84298066,1197090.2059022,1190180.60735744
"128",1010576.82388598,1041563.86410614,1033128.66944406,1041520.65559173
"129",767884.464973035,767830.19255011,763139.30911126,769785.599830772
"130",1566180.08150684,1479843.2326321,1477737.03150016,1486025.72275842
"131",1233353.61537109,1240202.26180081,1238492.96445573,1238675.38247026
"132",733411.289134512,724915.432619264,718176.216483254,723317.75180146
"133",981899.486585153,1014574.77534503,1003967.36366247,1014255.93486959
"134",1688474.02624085,1569456.91790521,1549877.37981946,1566373.32759582
"135",1080645.45038971,1110996.78577667,1107426.61310754,1107360.49408532
"136",1036683.26375402,1063097.69017787,1065612.23819099,1064837.46100489
"137",955692.777569339,982466.106438562,981024.603207099,984935.420122645
"138",1428747.17522932,1388008.31042219,1380804.94020966,1390388.89532768
"139",1728746.8475619,1593052.06578533,1593337.89615435,1592363.56506221
"140",917613.389759986,942124.736807411,933611.8000751,945260.453190628
"141",924702.210124885,951041.456863674,942333.152378981,953747.282195123
"142",1043363.55292466,1070525.55443499,1058585.17573519,1072295.3405812
"143",1477701.3669779,1430217.54909281,1457793.14281397,1424743.20451224
"144",1446631.70104967,1397925.78966828,1406229.01280353,1400782.27016502
"145",1346731.51572351,1326675.5876518,1339309.18769482,1327058.11283548
"146",663328.565416537,619573.365633095,615407.300398024,617753.725138421
"147",1111219.00798795,1139252.71280633,1149143.33902886,1135298.91203577
"148",943071.086450004,974264.166967858,972183.551565839,973001.454517932
"149",1501173.60686303,1436707.49770033,1426843.39875506,1436976.45556547
"150",1268392.73301511,1259390.77936501,1246244.95432612,1269726.68828091
"151",1260362.59496878,1263410.68207161,1240426.9712923,1258324.85525851
"152",1093427.76038246,1120267.90631094,1147117.15064375,1119278.60029155
"153",989656.60365714,1026609.0433103,1048389.32780692,1021385.66716678
"154",808362.769210152,823000.303587127,831224.423181494,821146.974083738
"155",1071819.56871325,1093874.76978446,1108575.73617621,1097083.30827501
"156",817053.699805659,832394.796616972,840323.544463163,832615.0813333
"157",660611.024895636,615823.059323167,614069.178573319,612815.332602858
"158",697153.607128575,666855.912991269,662671.479902762,669896.05540944
"159",701102.143117667,677720.449958809,670723.057980841,675956.886531008
"160",1359496.61805692,1339501.41475365,1400646.7221258,1337476.0171249
"161",1873372.23941916,1682564.23800819,1706030.10389414,1682953.16212385
"162",1246805.40164613,1251642.95376687,1235087.42885416,1248600.04169306
"163",1034815.49421472,1067534.53908087,1056879.63946654,1064870.56791701
"164",1006961.68643226,1034228.15914525,1040478.21697313,1038180.25019704
"165",1475401.65194147,1423706.31858654,1411779.16141487,1423292.06559961
"166",1756749.51395758,1611475.15157281,1659428.02046285,1609723.65496039
"167",1366628.72804646,1341227.53391238,1352652.32672206,1343111.43789398
"168",1332608.09447578,1318640.87490966,1322020.68107838,1318322.03471225
"169",1467799.29568275,1414263.88786901,1415208.07862571,1417251.01352576
"170",982428.960865111,1015127.15119909,1002502.80950052,1013999.855625
"171",749775.342305587,745943.654891531,737494.317173694,745314.861537595
"172",975458.581059375,1007619.97167942,993971.928458657,1008696.22727885
"173",1370769.56733134,1345601.28191639,1321564.08139424,1346563.84473561
"174",790850.118656936,798461.57409165,793766.908996695,798159.781124771
"175",1165728.64447737,1180215.36830865,1168069.61984848,1181413.02773703
"176",1280183.9508882,1276177.1907746,1271275.04724079,1275596.89742745
"177",966466.579589378,991750.137741283,993335.041550237,996301.493574589
"178",1079954.5780482,1106974.81224209,1090560.37539825,1105588.27340274
"179",1299781.82698646,1291944.28881334,1275858.38349449,1291435.77393416
"180",1213640.80035057,1221794.27354775,1202696.63615301,1221838.97893608
"181",783452.790953725,789135.455421166,805488.262333888,790029.043330242
"182",945810.828133838,971948.543681068,955287.049244119,975300.583959269
"183",1180179.93490833,1199190.23556203,1213817.64987097,1195209.07786847
"184",1037198.03292544,1064315.06313562,1080179.4018536,1065390.03606107
"185",1280616.49529247,1272361.15006058,1264488.1893733,1276238.80147984
"186",766550.288390162,771361.433809015,774458.186118998,768456.818537839
"187",1425549.67033459,1382767.92591695,1400656.96875204,1386998.14935714
"188",1013913.43800043,1040237.27038115,1044221.041464,1043746.38118108
"189",1080078.88785687,1103147.19985356,1091405.79504987,1105874.41676168
"190",1560135.49990274,1490762.08181772,1493155.31963447,1482939.87145979
"191",821316.270676137,834594.009402638,842198.900666568,837012.705259563
"192",803712.469311802,816341.569673925,825277.731660237,816062.962634323
"193",937326.078272112,965515.654573963,954130.647925917,966874.968659623
"194",841764.77917426,860172.100882182,876104.456331216,860058.268910854
"195",878642.675259777,900206.384961601,890915.54350905,903285.399260091
"196",1949569.9066812,1728181.79128308,1762409.86997408,1727929.54625487
"197",1459617.36302887,1415599.74625484,1436906.29264712,1412285.18853098
"198",1038273.48394334,1066630.732098,1045775.53626476,1068008.6268894
"199",1574050.8999392,1489539.57090814,1494518.09358997,1492514.05059498
"200",1294137.02624065,1290342.1052944,1285699.7784228,1286988.15933965
"201",1097103.73246769,1121056.59455798,1136685.39022557,1119729.86575465
"202",1370528.91107735,1354030.07572712,1351361.1860553,1347383.2213389
"203",1343557.39643399,1333143.06684807,1316856.11791572,1326108.59877848
"204",831242.211055479,851642.09872677,855186.270277402,849369.18093628
"205",861290.669577902,884246.984483644,871593.26872097,884981.635359402
"206",1408115.99572227,1374857.01304065,1356892.6857472,1374567.82510288
"207",1026727.76880004,1051087.38832088,1046332.50817255,1055064.28179972
"208",1358216.9687441,1337784.1251521,1314898.00481289,1335175.17124905
"209",1433165.85602,1389792.89334492,1388489.13208409,1390442.06704614
"210",723668.044276056,707024.108032049,697949.03459871,708248.161610933
"211",989586.177519896,1020477.24741949,1003776.024858,1019259.43005007
"212",2600430.35722271,2066696.70062089,2109956.51180249,2069220.32452292
"213",957768.596931627,987581.533126466,987335.230239036,989314.668221262
"214",934868.908332374,962328.01171772,953165.600235385,965191.025633765
"215",885451.287269883,910781.378489137,907295.95518072,910847.133419407
"216",1037655.65238851,1068501.36170523,1063607.11628476,1066884.46482856
"217",782563.149602043,786414.567394489,779990.078352673,789055.544531844
"218",957569.549191471,986255.200415689,990890.45575835,988357.502834082
"219",821358.391375316,835255.640981186,828528.453959793,837149.029595305
"220",1483036.33110035,1427630.55255878,1423391.8613322,1429508.97661991
"221",1455384.90448157,1406454.42332566,1431181.29408005,1407697.11896219
"222",1586476.4952123,1506802.7961233,1537455.50659894,1499915.53866408
"223",934264.984232267,964567.302320956,969004.016023739,963691.206006004
"224",1354177.63488714,1329369.81446053,1317039.7630946,1331191.06359578
"225",751645.16490833,747852.929532403,745368.011736975,748422.778174376
"226",1072266.51254879,1100839.77542781,1112215.22933136,1099045.2720459
"227",873678.833125033,896288.770886167,887192.848985921,896524.079366492
"228",1127332.48363888,1148070.02378632,1145402.9129398,1148218.8869699
"229",754712.923641864,749098.706972762,744460.205924879,751286.750959454
"230",963762.441654019,992599.261144351,1028818.76123822,993394.691754662
"231",1099624.03971837,1117004.09071331,1121243.01201989,1122300.05838981
"232",930298.938079174,964000.616713319,985915.161857798,959888.938606989
"233",860054.887613594,883238.549073177,869592.558611685,883255.307818552
"234",1093036.01891273,1121019.34092047,1119315.52021067,1119254.59802391
"235",843759.064286148,863118.432617214,848346.591835435,863833.845812881
"236",1385547.06839065,1354442.88094512,1378833.48081825,1355321.35850835
"237",1225855.73241395,1231022.48496849,1236902.94395039,1233406.7543197
"238",1157170.4473239,1173587.45105819,1189877.61287496,1175297.9442537
"239",819052.983513962,833271.561908674,825892.56433086,833949.411229863
"240",1234158.87537296,1242059.63931459,1242080.55460476,1239264.52076964
"241",721164.21957289,706031.421781214,708150.268995609,705785.782669921
"242",991689.19765637,1023236.4871652,1021274.00804729,1024071.56021608
"243",993705.860365239,1025034.87390025,1035276.65850309,1023624.2880053
"244",812038.687563339,823826.723671552,826014.025280471,826074.724634756
"245",1233794.49696291,1242666.29829299,1237148.70843789,1238979.27710401
"246",2217485.33479887,1876355.05851106,1928621.54102853,1875491.13934398
"247",1273811.28136915,1272226.41851736,1283794.73114484,1270936.91482115
"248",1162756.9018223,1178174.91408871,1178957.66301597,1177136.2478118
"249",1242145.00973659,1246150.00550927,1237487.84775218,1242796.27219522
"250",1518032.29429349,1457167.2730546,1463094.53069957,1454811.37078824
"251",1083358.22277199,1105303.13337677,1102056.7130718,1108629.93758998
"252",1090078.88357945,1118440.87973311,1126610.70875601,1115303.02341434
"253",1264105.83401837,1264541.97652286,1252812.44181176,1266209.25771372
"254",834497.23434213,855964.540486456,847102.531149752,853432.833530404
"255",949065.500307963,978940.041805009,986598.751759563,978412.574901624
"256",1503240.80865188,1438087.73707312,1475408.40253466,1442255.43311489
"257",711788.522781145,695584.076520537,700371.923793245,693009.921290227
"258",1031393.11732638,1064850.90445034,1052534.32703898,1061589.37930325
"259",1314573.68589229,1301882.3178566,1291778.65099781,1304410.49892421
"260",1038074.96312727,1067940.92273663,1074291.63320198,1068038.68127816
"261",1262836.36525156,1259173.22657253,1248949.57364011,1259974.10153559
"262",1026447.32096746,1055634.82724594,1045296.51188509,1055957.70450964
"263",1126281.22911053,1149576.90327495,1138321.40645626,1149439.21373458
"264",932393.472866305,965620.748640146,967358.917781578,963484.462516668
"265",770825.779791198,774558.938712558,767962.783006036,773189.347862696
"266",940550.431737417,974649.39999911,979238.133841604,969635.416017051
"267",1145450.31440239,1162841.3661365,1192673.15678318,1164748.15519919
"268",1143346.6910138,1162544.19771179,1157698.49721761,1162843.07804638
"269",1512332.66654315,1450026.45840315,1464478.46071227,1448661.31986094
"270",864913.703834228,891769.056481725,885147.935470585,889564.299316658
"271",909649.045009292,939646.533164331,923949.338059321,937703.126762235
"272",872781.028113251,896100.783237713,912026.24856871,895903.248738637
"273",759349.32885857,755995.575081529,762176.541058975,758359.549935153
"274",882474.855708772,906339.765359572,897799.359886409,907613.148742458
"275",953792.444425727,984285.382711556,1012064.4017802,985355.85187984
"276",1154820.55834163,1172357.36674657,1191953.60081267,1172713.62256379
"277",1826338.21516537,1644385.1998845,1657847.03152139,1652883.14624229
"278",1630856.26891453,1528041.82173604,1526892.39118764,1529345.66172027
"279",1158567.34540001,1175871.17026917,1161348.95560625,1177552.23217732
"280",897867.120419257,926055.549026676,947383.164797102,925962.119472422
"281",906021.779999887,936008.494295391,951256.715518919,934207.482328819
"282",762595.312000977,763950.071159944,767185.502195829,762572.751428583
"283",916571.821708726,951024.400217449,951150.01848836,944074.117379418
"284",2124635.60771062,1828001.34844559,1852772.68907045,1825301.23843961
"285",1331838.00626898,1318900.19789626,1299718.31473077,1317687.22175887
"286",882361.759999104,911905.16894109,888902.633849708,907473.472856018
"287",648487.723453309,594776.423914433,599643.191486739,592337.147317728
"288",750761.580057005,746609.127063743,737209.678154884,746640.980751753
"289",1134820.1394664,1153465.07490725,1156286.71731465,1153179.92735048
"290",772116.661553915,777160.086644528,776139.677977715,774202.192000739
"291",1175377.64994862,1187242.05299751,1186735.51858479,1192520.87181059
"292",862159.707613241,879100.878046146,887634.669217052,883036.565219747
"293",713655.875220026,697581.520120739,699526.885351585,695329.200341682
"294",1928264.84382643,1718226.80474693,1714713.54263397,1716479.0002024
"295",1647700.96289409,1539474.69462649,1559166.96492767,1540523.20998896
"296",1430426.45433664,1394427.08908383,1387499.16635267,1391378.93037897
"297",980714.650797951,1010939.82017282,995908.138904949,1012495.90441686
"298",997113.680658684,1022556.48875773,1019767.19128589,1027007.41498819
"299",947146.437137517,975657.965633773,966105.723168057,976082.38835869
"300",986145.187139246,1012301.80701757,992286.019070466,1016085.50612825
"301",1495192.2108401,1435156.03946895,1447126.47036917,1435790.36366823
"302",1038439.52610177,1070300.86971013,1051315.03466909,1067976.65267615
"303",905387.611563556,936020.904303361,926599.19674952,934140.449292059
"304",1402425.37579186,1373350.16665007,1359438.51310045,1371443.74056297
"305",754641.199287899,751297.912231818,743794.847898304,752579.108573134
"306",747698.883356621,740588.981635945,738597.533057211,742298.97383185
"307",798429.676302934,808443.234639876,798339.909525376,808619.644005962
"308",865556.345827216,886044.739700705,880021.072924053,889113.053227123
"309",827630.650777207,844884.270054634,843873.359963114,843675.230948507
"310",866947.99966793,887224.497795764,879051.240042176,890665.818644686
"311",749907.303829597,747647.386404394,752350.983153221,747023.722418657
"312",918253.040350825,943211.642226953,946158.381134326,945094.974351444
"313",1095674.453988,1121869.26465143,1125247.01378205,1120124.89313427
"314",1185486.44167973,1199367.7006093,1194671.57365175,1198981.77353641
"315",1004042.1683959,1037446.57176807,1039039.72148391,1034723.79678347
"316",1278960.61852551,1279212.7558366,1282289.28390875,1275948.61272869
"317",1517302.80325806,1446230.12416281,1442505.00059147,1450247.37371831
