"","v_bh","v_daily","v_mon","v_con"
"1",1207774.60121677,1211728.5836102,1211927.29228952,1212547.07562025
"2",1157288.89841408,1163261.96002585,1160677.84001233,1162783.23022869
"3",1048353.05714659,1048422.53407895,1046833.36827037,1048485.34632031
"4",1168028.37127422,1173537.70210843,1171694.6088039,1174019.59295779
"5",1252795.99888961,1254945.59881238,1257047.74533335,1255098.1299205
"6",1121024.97406726,1125680.04850186,1124365.92314919,1126218.38652315
"7",1275405.2512963,1275122.91736667,1279347.31238145,1275707.5542492
"8",902008.632442661,871836.407022691,875750.309933989,871602.355654959
"9",1330629.09584129,1323863.5861019,1323087.34096778,1325059.885841
"10",1071505.36655439,1074793.04719482,1076996.51790078,1074220.64459903
"11",1316611.41794494,1311677.03770695,1313079.16696562,1312147.17268057
"12",1074101.98467043,1075983.71878384,1075163.96789666,1076769.31385455
"13",1064113.75630964,1065865.3030212,1063216.44016532,1066086.86143431
"14",991046.738928906,983448.904752384,986221.814600708,983428.951584153
"15",1046502.36126402,1045865.76854798,1043531.10041788,1046538.30541194
"16",1152128.74363956,1157795.74988693,1158552.95398311,1158054.09900285
"17",1042384.01374175,1042150.97825161,1040353.17647207,1042020.29710891
"18",1448627.61989655,1425215.45397887,1422987.72365592,1424475.72130419
"19",1514187.71868608,1478125.25372909,1480027.73479228,1477531.88050986
"20",1173392.79059411,1178308.67721507,1175710.48912437,1178928.776947
"21",1165403.45184497,1170875.23947914,1171445.81247844,1171283.33029711
"22",1296368.66005614,1294272.80044733,1290556.06140179,1294160.10083483
"23",1040408.6119843,1039168.32775266,1043965.08281928,1039755.05485734
"24",1202083.79493444,1207322.97605398,1209667.73995943,1206839.58504477
"25",918692.491636027,893372.731411097,895646.038065875,893688.997341482
"26",981684.149751555,971816.010030678,976275.670976901,971897.141083957
"27",1201286.84843254,1206237.90992368,1202706.40327377,1206005.82281345
"28",1040788.80561917,1040302.99489024,1038644.52919022,1040455.25164092
"29",1229474.40565722,1234011.99145578,1230394.7108043,1233125.56415628
"30",965248.731027769,952592.380097776,953975.095454077,952239.593619568
"31",1257960.54331821,1260577.8477483,1256862.26978113,1259697.71837774
"32",1215760.67990338,1219909.1510181,1217709.04359791,1220128.95699569
"33",1110199.52332362,1116774.13543391,1118940.52252306,1115202.70575052
"34",949849.444190305,933075.286502904,933300.449724213,933131.476801674
"35",1263941.97797831,1264772.356815,1266576.70536903,1265153.13685653
"36",1247415.67268645,1250337.17454031,1246835.73425655,1249929.19262315
"37",1261890.46079754,1262940.10785636,1261278.53374185,1262999.93334274
"38",1187521.80172313,1192382.70710025,1194180.11600893,1192696.40065737
"39",1119269.99036239,1124893.63508355,1120284.91008246,1124610.9712055
"40",1173340.80890007,1178692.12440009,1176544.73763484,1178666.51930675
"41",1273797.68393214,1274619.22745215,1272104.21130295,1274149.52372447
"42",1180303.08828953,1185160.21519827,1185995.32740187,1185590.00317125
"43",1140131.71460847,1146121.44226738,1148516.40238808,1145801.12160605
"44",1118381.57271166,1122946.74169892,1122571.48328488,1123346.28015583
"45",1229335.14345458,1232195.67177884,1234058.25967539,1232779.64407007
"46",1030388.90354329,1028686.35590475,1030205.92992344,1028232.70057773
"47",1340892.1577616,1333476.31539238,1334498.0793193,1333813.7317323
"48",1249165.06542362,1251203.38184849,1249527.57755945,1251700.73144743
"49",1183031.64635961,1188082.21186702,1187475.82323829,1188526.73119799
"50",1167754.00074277,1173030.95206832,1173300.93197334,1173385.65663763
"51",1212779.56001461,1217422.89453208,1218139.84323989,1217249.89964709
"52",1197231.24669483,1201570.79005306,1203035.04149024,1202275.43721249
"53",1125288.36557533,1129576.79279203,1130834.29463867,1130429.86039599
"54",997612.338620799,991344.57655567,990564.750704217,991087.838706451
"55",1161311.91002827,1167076.72865785,1164079.87504645,1167217.9531596
"56",945335.587766063,926608.407103527,925826.250755883,927406.94169941
"57",1095506.75757877,1098593.38586322,1097392.80042499,1099584.98396385
"58",1101112.78352712,1105627.12193178,1106383.46285743,1105472.4227578
"59",1044236.24879899,1044125.155674,1044950.6370883,1044216.30012115
"60",1002991.58276794,997271.69627405,995040.050243332,997243.185719197
"61",1003629.86748832,998090.110187024,1000789.51021032,997667.751962352
"62",1099065.23100537,1103407.77172288,1099867.68277984,1103400.43910416
"63",1160549.51464387,1166181.77392388,1162992.08105526,1166320.46592724
"64",1322919.38378325,1318005.11752785,1319772.58514658,1318027.10107786
"65",1122194.69761058,1127028.46269016,1124795.14443609,1127427.22455695
"66",1211253.07495656,1215067.6590556,1212627.38778815,1215478.60348818
"67",1020673.89963164,1017475.95049054,1015572.21195485,1017507.82013925
"68",1271853.10312231,1272791.44284,1270013.76107848,1272821.64259646
"69",1130633.17692485,1135738.69453882,1135705.62641657,1136205.17533918
"70",1145501.19438808,1151318.88344959,1147751.69976347,1151184.41541028
"71",1098773.21657159,1102838.69496848,1103954.38183129,1103107.38028384
"72",1148133.15638545,1153553.18039475,1151886.21215842,1153775.61598246
"73",1257211.69157235,1258673.95106468,1261110.7391759,1258704.73968504
"74",1305936.5340792,1303568.58224262,1305906.15620458,1303199.51362088
"75",1223174.88883514,1227063.43683148,1226360.48332119,1227258.02466508
"76",1481994.62239416,1451062.9577911,1453078.34392738,1451481.3575329
"77",1268098.79614673,1268914.41682521,1272925.88310135,1268653.24803123
"78",1083717.98679972,1086773.29845058,1083989.17988908,1087112.37510384
"79",1220898.91749855,1225437.08373122,1227507.06108773,1224952.01841619
"80",998512.691105952,992194.940657015,994643.865636131,992038.733518186
"81",1139314.80678155,1145645.36482798,1149906.97409008,1145123.17115376
"82",1214357.48011938,1217996.03179912,1223549.76073347,1218567.4959426
"83",1093978.37583225,1097800.57287557,1095821.18292569,1098233.2432146
"84",998256.90489358,992306.649662008,991530.642237369,991571.678154081
"85",1098200.53331509,1103426.98931041,1102967.30224638,1102475.23223356
"86",1175539.41717358,1181213.99493905,1180778.70746284,1181594.38465291
"87",1084757.6815618,1087221.58058451,1085395.05772884,1088229.36462751
"88",1001522.99865053,995092.93944601,997072.645605776,995375.066354865
"89",986909.959804607,977695.298743514,979282.460279269,978212.411359169
"90",1282294.46943088,1282124.3496898,1279156.4975715,1281896.32944178
"91",979678.39683547,969897.162318945,973007.401665934,969599.360481517
"92",1021319.61090045,1018346.5106381,1015735.42612844,1018251.11842828
"93",1102973.06959067,1106950.63804326,1107144.55099795,1107702.8370694
"94",1451391.5616357,1426236.90449775,1427438.49331845,1426816.73670705
"95",1148718.41999266,1153619.34463045,1153036.27412396,1154254.24283917
"96",998108.984779095,991612.836608082,989440.76513594,991460.82959225
"97",1124615.91387638,1129780.68672256,1127646.06148694,1129726.61520755
"98",1124156.16051714,1130035.26483969,1127096.67675969,1129521.36847217
"99",1006942.0217567,1001686.4327733,1000179.62020192,1001901.39555205
"100",1030089.08909715,1028627.24014794,1030160.84408318,1028077.58996617
"101",1133404.78602216,1139572.13558727,1140228.45367529,1138987.69114764
"102",1084049.48774396,1087061.93377897,1088616.80831165,1087284.02373089
"103",1042805.89624877,1042682.61389589,1042255.62038069,1042636.44662886
"104",988498.553947654,979350.893288015,982099.389588737,979968.761576241
"105",1134395.4004406,1139748.93924532,1144144.11456723,1139924.25672992
"106",1081440.32311883,1084815.44179741,1084015.52585276,1084768.32533162
"107",1024806.30767899,1022533.41823966,1023388.50961509,1022193.07779569
"108",1060278.45757047,1062002.92793413,1064492.01636916,1061638.81878076
"109",1048844.97732096,1048946.7604546,1047378.4705399,1049065.49551046
"110",1051822.41160275,1051957.48551322,1051170.23512211,1052356.81156527
"111",1237981.90767205,1242034.70741339,1241182.28697188,1240760.43620412
"112",1096636.79599894,1100819.22426698,1099419.35836702,1100718.6760468
"113",1208184.18682573,1212544.56911326,1210743.52477488,1212761.17758239
"114",1072623.09618381,1074720.60661984,1074533.48029691,1075282.35852898
"115",1101013.93893093,1105441.95098839,1103451.69384705,1105390.35843318
"116",1001661.01092427,995496.049234902,999369.494946171,995566.971897432
"117",1183517.86391644,1188551.33752549,1185682.85053527,1188880.91282623
"118",1157542.23493699,1163235.48052374,1165189.31541312,1163158.40941752
"119",1128491.26576937,1134334.54614859,1132375.02793054,1134343.24133455
"120",1215322.84473888,1220745.27790824,1217164.96956861,1219887.58897104
"121",1117796.814865,1122885.92508539,1122523.45921273,1123154.52024138
"122",1402894.29010505,1386852.25405495,1387672.6885613,1386670.33604368
"123",1170293.56846337,1176431.89893565,1172066.82594367,1175706.03487499
"124",1170170.40453014,1175594.36852093,1174269.82814483,1175840.32132671
"125",1251315.39591276,1254171.4290332,1253597.80386127,1253712.81494337
"126",945271.38615382,927909.266036338,929646.645290758,927552.423853033
"127",1117648.12510978,1122489.44427259,1121008.15679002,1122920.11012513
"128",1232571.79377209,1236026.99759076,1238077.24868356,1235867.32390625
"129",1146921.37137424,1152454.19257136,1151478.94135045,1152824.66076147
"130",1408033.18984857,1391440.40432495,1388401.32896028,1391206.31453984
"131",1035167.3429473,1033887.08544257,1035072.7965732,1033998.27559319
"132",1145300.00580426,1150987.25827703,1149463.61840286,1151065.35228254
"133",1263376.33322271,1263772.27689258,1266462.53403632,1264587.08830237
"134",906251.575221188,877000.906590212,880612.005774831,877153.429289171
"135",1177746.09074952,1182757.87715943,1180926.77963262,1183250.78016671
"136",1056053.69799961,1056446.6215058,1058034.29388913,1056939.41362887
"137",962457.637811507,948670.119842703,948274.179261771,948727.310476595
"138",1071981.21293623,1073955.27198118,1073888.79426241,1074453.83484392
"139",1065112.61819151,1067697.06878363,1071412.16824784,1067108.23752635
"140",1292051.21126468,1290696.297182,1287626.15396341,1290383.24578664
"141",1196859.08215052,1201327.60636798,1204356.77886856,1202073.29164342
"142",1215038.79137377,1219855.02974174,1220198.47174274,1219469.49781007
"143",1119670.68913131,1125216.22728428,1122260.92575672,1124887.70743089
"144",1064297.3299865,1065783.20870991,1062225.97866676,1066170.69628607
"145",967794.783857311,954485.890287477,954557.796212204,955193.184648039
"146",1123124.2609415,1128164.64107241,1124998.357931,1128291.02294052
"147",1041048.91675179,1040834.83158573,1042650.06145093,1040494.7950631
"148",937364.866926171,917444.602707247,916755.911337939,917603.560508776
"149",1038774.62040114,1037280.91513292,1036643.85369256,1037819.92073135
"150",1300147.5766126,1297167.0630686,1300658.45604998,1297990.45000031
"151",1038997.77867832,1038225.59998529,1039221.29122217,1038232.82038712
"152",1197281.52924109,1201609.00929345,1202203.58764614,1202520.28872257
"153",1384995.29885345,1371807.01154576,1370877.93988916,1371956.55987261
"154",1067996.56427921,1069682.48687419,1070056.21463765,1070198.38987578
"155",972988.328335368,961622.623857424,961512.946637764,961550.571699354
"156",1103160.19982032,1108467.9443345,1106596.24200766,1107874.42280464
"157",1238513.66726453,1241032.68025838,1242858.21839289,1241279.29643632
"158",1045373.76538189,1044722.94870284,1044219.48092871,1045286.42940682
"159",1007727.66563655,1002177.28337429,1005394.20831275,1002592.79488873
"160",1267579.92608096,1268745.62019465,1272776.50121656,1268686.03535146
"161",1169254.82217503,1175965.20553518,1173388.8330116,1174914.54068199
"162",1091776.4577435,1095970.97141156,1093811.80004717,1095633.46041151
"163",1382924.06369142,1370543.63616593,1370065.69021294,1369905.23793659
"164",1214565.51970016,1219461.61932697,1216345.38072674,1218839.11206142
"165",1012581.83649256,1007968.86101239,1006658.09725141,1008382.8139745
"166",1173667.06987796,1178566.46181987,1176583.14722765,1178990.38017872
"167",1066651.44400965,1068183.40367955,1068323.95414839,1068813.57921021
"168",1143227.40307639,1148869.4068781,1145885.49281441,1148770.9055267
"169",1048204.89549471,1049129.74755367,1046297.44450852,1048321.76771823
"170",1289680.54882835,1289011.45593177,1284954.26055166,1288483.13949315
"171",1275468.76488848,1276187.80061887,1274411.16382621,1275861.29911685
"172",1163726.35001509,1169054.09192971,1172684.45878982,1169489.99040617
"173",1041811.14541641,1041500.97272015,1041937.81912801,1041331.17314545
"174",1431592.37151762,1412236.28868088,1415099.48545459,1410595.70034282
"175",1246504.6710671,1249173.27744962,1249389.58134547,1249365.63210207
"176",1236872.86496759,1240038.17079365,1238611.49704241,1239783.6873817
"177",1261759.18176803,1263780.73859031,1270322.69571114,1262931.10355104
"178",1012124.51068052,1007716.34917817,1006308.51246964,1007777.1310119
"179",1177018.66318992,1182556.75088189,1183803.02179215,1182708.14053472
"180",1010314.97938798,1005220.79735413,1005532.52472383,1005707.12671535
"181",1180200.80433499,1185101.97099633,1184711.55742522,1185767.40260341
"182",1347663.99626042,1340359.75005851,1342320.5999613,1339743.22903231
"183",1143979.13180544,1150209.01082155,1152637.50095181,1149578.19840921
"184",1129422.48047168,1135825.08499813,1138913.28476156,1135188.20557859
"185",1173548.18403203,1178986.2694928,1175108.55297487,1179535.96477457
"186",1306081.87295217,1303158.10577858,1307513.00656887,1303037.40730706
"187",1099822.79124558,1103722.5995011,1102991.88355044,1103860.12724109
"188",1282764.22370234,1281707.84302726,1280569.09648044,1282334.39819848
"189",1038680.65243096,1037624.92274988,1035775.67861447,1037902.04810172
"190",1066580.91035521,1068883.13042569,1066816.90564195,1069058.63147278
"191",1038482.74773398,1037790.45569758,1037501.37182964,1037591.48633844
"192",1136754.01674091,1142986.5433103,1143748.79402955,1142446.15657882
"193",1296785.63595301,1295263.72816581,1292096.32473407,1294732.54220995
"194",902096.775063236,871274.231791217,873146.757857577,871607.336422377
"195",1188626.63880237,1195272.03685141,1193484.20376429,1194040.326
"196",1126571.57203806,1132141.20053292,1129563.41209736,1132051.21884786
"197",1060485.91099955,1062344.23539924,1063492.73374516,1062050.70890448
"198",1018497.59021993,1015057.4892974,1020282.04096143,1014879.45858112
"199",1158816.17874725,1165015.22190615,1163805.24625435,1164854.19651365
"200",1151538.53858851,1156978.70076369,1160758.108423,1157147.48261902
"201",1176043.98695153,1181942.44711165,1179553.68627122,1181766.9904295
"202",1101540.94009707,1105908.36107548,1107267.81081201,1106125.91558562
"203",1247100.68767287,1249750.48341793,1248625.04840292,1249625.86311827
"204",1139332.29286475,1146225.43568048,1144813.64406235,1145162.21738041
"205",1084602.13641872,1088534.15844114,1093082.02092524,1087984.08646054
"206",1071247.13491943,1074883.31259023,1073591.84762435,1073748.0684787
"207",999903.073602012,994007.556291263,994307.705901164,993500.033456301
"208",1347806.94050405,1339629.34200106,1347030.33137235,1340043.75831969
"209",1086778.62862235,1089817.93815692,1091212.65753771,1090017.1034147
"210",1150070.63793087,1155591.76663714,1155846.41763314,1155811.20195342
"211",1231946.78285703,1235084.93469775,1237752.9620423,1235526.02999497
"212",1072739.87156082,1074925.29596501,1071558.66797597,1075164.18456794
"213",1298685.9639932,1296703.53608502,1299736.60409652,1296345.11119394
"214",986059.313042234,977404.785857084,976606.453122474,977349.113330391
"215",1343576.96148096,1334809.90336515,1334202.67301092,1335826.70202232
"216",1197824.03828117,1203206.09319506,1198942.39936773,1203068.90469361
"217",1106637.26327618,1111237.37573352,1109768.15860615,1111114.12444347
"218",1069898.70610587,1072851.21314814,1072902.56104221,1072499.76335614
"219",1103920.72576055,1107843.76767784,1105795.57665242,1108335.96946368
"220",1124712.35955398,1129793.51445005,1130721.23938845,1130294.24197225
"221",1102045.49730131,1106892.59606276,1108516.781256,1106264.55865188
"222",1006525.40098,1001100.03095032,1001238.76010982,1001225.37020117
