"","v_bh","v_daily","v_mon","v_con"
"1",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"2",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"3",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"4",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"5",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"6",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"7",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"8",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"9",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"10",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"11",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"12",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"13",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"14",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"15",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"16",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"17",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"18",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"19",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"20",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"21",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"22",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"23",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"24",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"25",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"26",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"27",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"28",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"29",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"30",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"31",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"32",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"33",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"34",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"35",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"36",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"37",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"38",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"39",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"40",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"41",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"42",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"43",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"44",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"45",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"46",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"47",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"48",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"49",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"50",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"51",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"52",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"53",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"54",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"55",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"56",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"57",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"58",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"59",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"60",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"61",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"62",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"63",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"64",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"65",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"66",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"67",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"68",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"69",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"70",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"71",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"72",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"73",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"74",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"75",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"76",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"77",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"78",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"79",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"80",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"81",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"82",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"83",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"84",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"85",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"86",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"87",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"88",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"89",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"90",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"91",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"92",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"93",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"94",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"95",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"96",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"97",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"98",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"99",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"100",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"101",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"102",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"103",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"104",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"105",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"106",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"107",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"108",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"109",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"110",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"111",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"112",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"113",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"114",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"115",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"116",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"117",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"118",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"119",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"120",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"121",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"122",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"123",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"124",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"125",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"126",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"127",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"128",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"129",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"130",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"131",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"132",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"133",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"134",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"135",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"136",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"137",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"138",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"139",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"140",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"141",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"142",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"143",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"144",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"145",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"146",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"147",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"148",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"149",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"150",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"151",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"152",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"153",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"154",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"155",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"156",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"157",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"158",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"159",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"160",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"161",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"162",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"163",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"164",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"165",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"166",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"167",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"168",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"169",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"170",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"171",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"172",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"173",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"174",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"175",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"176",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"177",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"178",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"179",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"180",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
"181",1160701.37908009,1159104.25194541,1159232.64905154,1159096.48511264
