"","v_bh","v_daily","v_mon","v_con"
"1",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"2",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"3",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"4",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"5",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"6",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"7",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"8",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"9",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"10",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"11",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"12",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"13",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"14",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"15",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"16",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"17",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"18",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"19",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"20",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"21",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"22",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"23",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"24",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"25",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"26",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"27",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"28",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"29",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"30",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"31",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"32",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"33",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"34",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"35",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"36",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"37",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"38",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"39",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"40",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"41",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"42",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"43",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"44",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"45",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"46",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"47",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"48",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"49",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"50",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"51",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"52",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"53",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"54",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"55",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"56",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"57",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"58",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"59",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"60",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"61",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"62",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"63",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"64",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"65",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"66",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"67",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"68",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"69",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"70",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"71",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"72",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"73",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"74",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"75",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"76",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"77",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"78",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"79",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"80",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"81",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"82",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"83",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"84",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"85",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"86",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"87",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"88",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"89",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"90",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"91",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"92",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"93",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"94",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"95",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"96",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"97",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"98",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"99",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"100",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"101",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"102",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"103",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"104",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"105",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"106",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"107",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"108",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"109",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"110",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"111",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"112",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"113",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"114",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"115",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"116",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"117",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"118",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"119",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"120",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"121",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"122",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"123",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"124",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"125",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"126",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"127",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"128",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"129",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"130",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"131",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"132",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"133",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"134",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"135",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"136",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"137",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"138",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
"139",1174929.403788,1161868.14509212,1162905.36038672,1161820.60478137
