"","v_bh","v_daily","v_mon","v_con"
"1",1388766.35684282,1372638.07525499,1390479.16918397,1368191.03994606
"2",1657291.16406185,1554944.34552966,1545982.27510967,1559596.30911883
"3",1831640.22694962,1679580.61572616,1702870.47418577,1674101.67420151
"4",750219.212567493,725874.840711474,723755.844794055,724912.430653637
"5",1421929.86990192,1390622.61258132,1384351.89234111,1395112.23815661
"6",1650998.50185763,1555800.63325324,1555103.24530287,1554885.49706837
"7",1286151.89398424,1282959.8732029,1270296.2476261,1286276.80161277
"8",917126.50540651,937464.056084541,940678.442352532,936564.205727949
"9",1211929.69640825,1222894.9775601,1227973.83756549,1225369.55769852
"10",1448041.98735107,1410694.51037027,1399855.31559752,1411007.62201
"11",1039600.78240777,1065321.38631768,1049130.84381407,1066453.28770866
"12",945889.266174166,972238.16327226,972001.063609018,969013.18468342
"13",1270688.35503203,1277227.71773499,1290081.46258179,1274084.89271057
"14",1584120.14092636,1504221.5761641,1532980.4332862,1509386.06430542
"15",1447905.33215789,1412166.393172,1431103.54372784,1412951.56900841
"16",893553.8469625,911692.761136747,899373.73676639,910603.370888702
"17",1228718.27598774,1239464.52844186,1247466.72447072,1238048.83002032
"18",1237975.8998352,1247792.00931644,1241976.78732225,1247122.08145552
"19",1056882.84853185,1077891.49213701,1074558.51383719,1080719.47867188
"20",951850.011367642,973606.212568277,970163.499572729,974813.046310047
"21",2017714.51185112,1787390.66512419,1792263.44972013,1788185.6738857
"22",1477994.5640818,1441961.59673265,1452703.00636462,1434317.33656826
"23",1078646.16654471,1101415.40575829,1107223.62721724,1103033.19473036
"24",1537996.50242029,1476761.26207399,1490961.67845179,1477817.89703744
"25",1272074.80817069,1274987.09493538,1289761.42728765,1274823.94787675
"26",1189910.55286293,1203232.51866592,1186371.87669447,1204308.8967286
"27",2549472.96511443,2077874.01367274,2113433.15877087,2076554.55671274
"28",1534612.99419232,1477561.71081322,1485602.14320483,1476448.93236963
"29",2019977.04715602,1788813.32220129,1807048.02904149,1786334.2693582
"30",1010511.20721975,1034748.50272752,1025888.94635106,1036426.43029952
"31",949849.191577959,971672.634855427,977289.313715151,972270.752842329
"32",1662728.44353498,1568342.17853117,1568965.54620741,1564751.84354292
"33",1271026.51112117,1269956.13280382,1269807.81981037,1273715.32245567
"34",1196556.46375155,1218004.18143631,1222757.33587839,1210719.93281115
"35",1098297.84079122,1120511.26400863,1112555.94157824,1120990.79589354
"36",1427967.64054031,1395355.98532786,1397221.13768331,1397097.35920772
"37",1207799.68221182,1226864.31926802,1228926.00754075,1219738.42156747
"38",830644.135753771,833928.091605635,831761.784978072,834997.607838685
"39",1620662.94727159,1544247.08474771,1543347.35801767,1537200.11191029
"40",2823700.04890526,2209188.14215099,2228819.10368816,2209367.90167673
