"","v_bh","v_daily","v_mon","v_con"
"1",893606.343363125,894623.653868082,894113.603083172,894483.785741701
"2",924672.375282467,926850.834978462,926816.192181396,926937.289102982
"3",970964.514513717,973216.556399784,973360.203899927,973461.060097437
"4",1027185.12877703,1027485.20973024,1027653.74347988,1027123.09577594
"5",935946.133427854,938464.036357111,939954.125122136,938502.025810721
"6",1027265.72135874,1027239.48407443,1026006.80003529,1027229.53168129
"7",1000028.67876849,1001340.42554378,1001792.55281873,1001679.80154646
"8",794721.93168069,781509.609447071,782092.113975324,781527.487777679
"9",961094.660159523,963373.172721204,963675.928603403,963714.473506263
"10",1006768.60253954,1007782.81836441,1009428.81657098,1007852.39568808
"11",970576.571448017,972883.933871299,973078.512480481,973134.39260887
"12",1059382.65706271,1056272.69315922,1057047.96549397,1056348.9641806
"13",1011371.66139116,1012292.72486207,1013650.96094641,1012200.23942176
"14",973079.167025079,975790.266679864,975283.072450803,975516.868640618
"15",925434.569801235,927540.766741962,927812.621307981,927801.170157837
"16",901201.952024561,902082.814848926,902704.833845863,902456.929219559
"17",1065565.2686054,1062335.33466269,1063600.8618166,1062269.64104429
"18",945653.247964843,948658.995892112,948791.088322413,948282.284556752
"19",951022.003821382,953562.98003382,954239.954327176,953809.442139975
"20",1128874.77773943,1117652.96403504,1118157.97226937,1117825.97342087
"21",954941.383117429,957746.081439988,957818.9528654,957618.732962133
"22",1082469.99607494,1077462.2075008,1076758.42047115,1077347.49716641
"23",1002419.55578734,1004021.92224135,1002837.8146979,1003820.84930252
"24",1041246.76528906,1040322.70909677,1041086.19503548,1040210.28604626
"25",1125795.59573485,1115254.40686743,1116904.66272266,1115103.30867103
"26",903438.678418145,904752.289433122,904823.023924309,904705.366414312
"27",1053137.20482369,1051221.68389703,1049965.91741799,1051075.15477202
"28",959570.983159176,962186.580671065,962084.05532448,962188.863445782
"29",1075084.42895066,1070567.496394,1070668.98102595,1070851.80735196
"30",1032705.57917714,1032395.43162281,1033249.12300047,1032264.03725578
"31",801302.649373689,789801.00267851,790270.851568349,789651.79885626
"32",894423.738024932,895164.620814716,895466.774726391,895318.766621481
"33",1098343.02431973,1091538.78998254,1093956.80507501,1091462.4727362
"34",968182.052367846,970398.941786774,971190.65000572,970760.046569684
"35",971988.805867137,974823.917306349,975017.287638278,974376.540724183
"36",1057493.69230773,1054940.06017635,1055267.45107941,1054947.41648352
"37",867332.168468552,865784.34861675,865340.094907146,865887.82739331
"38",1016873.44295665,1017876.44241644,1018200.51236993,1017564.86671044
"39",928059.960272273,930748.03323822,930205.217099643,930528.127960838
"40",1040214.7740296,1038945.59255634,1039704.4889237,1039191.05481892
"41",993265.928494456,994874.315553392,994427.293966751,995134.48482528
