"","v_bh","v_daily","v_mon","v_con"
"1",929255.356327054,929223.387873366,928622.468398649,929142.815118133
"2",993307.306456996,995999.274498377,994443.786471354,996043.738614879
"3",1051324.69628147,1052556.4828325,1051924.12777981,1053058.6007213
"4",909354.483220624,907124.8798948,906520.742520301,907385.519149148
"5",1047631.55716378,1049632.27594467,1049151.75821397,1049340.86565152
"6",1085814.37345908,1085151.31405238,1083907.19631729,1085272.80775923
"7",1020259.77820739,1023252.79705339,1023594.44299265,1022981.74997268
"8",1147366.34608952,1141107.88324496,1144580.31602141,1141090.18433929
"9",892658.010754731,888697.327138813,889212.334494986,888537.168331045
"10",879523.461403474,873579.953494649,874150.005822658,873648.507083256
"11",904750.239974605,902307.737206283,904321.829561332,902187.341610275
"12",913429.149997766,911678.834113463,912117.485920544,911966.806374368
"13",912978.127016258,911418.397906599,911479.318294611,911321.75265205
"14",922702.009870435,922419.21618847,922952.759675213,922173.049715591
"15",1013680.3625494,1016831.55474173,1016903.84248085,1016466.0873506
"16",867616.903618656,859801.358874708,861249.189137881,859836.5460268
"17",990728.593436479,993823.213629398,994264.303048026,993570.838782148
"18",1096132.46031464,1094849.59468601,1097830.43000011,1094974.89645504
"19",922592.106619002,922016.847312628,921700.55964469,921823.699327304
"20",1038642.7311345,1040685.28090582,1040916.42468915,1040714.47390411
"21",989338.194191448,991877.423185223,992990.968154632,992059.662914362
"22",844853.094505673,832945.089274316,833138.211288775,832924.01318825
"23",1007123.7907652,1009919.86230555,1011482.10451714,1009897.00753602
"24",1120640.83944667,1117171.8253419,1120504.317087,1117278.83699536
"25",1024236.86927383,1027276.30739643,1028091.23645211,1026779.11944789
"26",832594.628409366,817818.219286369,818708.362558364,817900.620068699
"27",1005121.640274,1007694.31635961,1008334.68315003,1007926.04435813
"28",1004727.99239122,1007425.68569783,1007302.72543046,1007533.64855819
"29",1042666.99484108,1045128.67497241,1046985.2367937,1044733.69040877
"30",1011993.4557681,1014628.26890382,1014776.57316735,1014747.73514119
"31",955170.960722603,956898.832997107,956409.901030562,956825.413189156
"32",885982.926064096,881336.043298801,881047.856375596,881221.128112883
"33",956612.001212612,958305.597799621,958102.901834222,958489.408893506
"34",987807.096194224,990033.994480976,990218.359318655,990420.697778901
"35",994888.782237447,997614.861700703,997645.808713521,997639.042660439
"36",984639.495177976,987111.078666886,987989.933666931,987230.190924037
"37",1006710.35246369,1009351.25545965,1008431.0419922,1009568.39558561
"38",878804.306210294,872710.331171392,872947.499367547,872662.986150795
"39",1040190.83068321,1042252.25804064,1042694.38212099,1042359.38505699
"40",924889.431198622,924440.080408265,924430.946682424,924466.796764659
"41",947843.23911186,948716.354175833,948608.261700299,948892.113659305
"42",1044006.59399224,1046280.21032236,1044094.68533951,1046052.00904511
"43",1183617.37853397,1172394.31221575,1174769.61204472,1172498.39128135
"44",1092941.51496447,1092137.63085097,1090438.58683371,1092142.76097834
"45",1056296.82425058,1057663.32131868,1057032.3471248,1057764.20858836
"46",940224.520447882,940615.663313828,940164.869324785,941037.12490821
"47",925229.310518584,924609.908296504,924897.318306079,924829.719289738
"48",984514.629328296,987161.364505559,987879.080820208,987186.820957276
"49",948851.123262546,950573.91681567,948829.288265078,950081.603500187
"50",959321.893546254,960852.5604151,961886.249293132,961090.67178199
"51",1101309.02248613,1099991.03378216,1099469.01096928,1099711.15304055
"52",1005945.06778027,1008941.19280817,1009579.49155194,1008854.74615586
"53",1027210.69591978,1029727.79259451,1029137.72488603,1029814.97999588
"54",1050968.29985691,1052625.73280289,1053148.51459213,1052875.59372108
"55",927269.725268743,926842.85152933,927240.882338283,927012.851013183
"56",1048466.79211214,1050175.871459,1050809.95510391,1050286.95766822
"57",1065048.95716107,1065560.66987159,1064855.25509741,1066063.27443222
"58",992555.827544876,995207.672188336,993648.33195893,995299.006552518
"59",998309.294689754,1000866.72840971,998741.116180005,1001116.38545117
"60",1096249.13239923,1095328.42826476,1096191.71239617,1095087.81672157
"61",1035541.21302342,1037963.34393157,1038302.56125064,1037842.98380364
"62",1149235.76549895,1142752.3064771,1143421.47286048,1142812.70423909
"63",857749.642875182,848096.626871407,848223.512716264,848227.684550666
"64",1057245.72177429,1057797.7986582,1058790.66463855,1058540.30468486
"65",1097067.69747521,1095751.03197651,1095053.37414871,1095846.44830941
"66",906794.45688626,904296.185351122,903369.347207224,904494.420867603
"67",1132550.56574062,1127570.73748775,1127547.35878682,1127930.5421339
"68",1081686.58656948,1082132.7648565,1084583.09668034,1081594.84937335
"69",1008529.68086575,1011051.61356329,1012185.23680838,1011265.24181078
"70",1070122.5311511,1070840.23515797,1070396.74745773,1070814.7556884
