"","v_bh","v_daily","v_mon","v_con"
"1",1086657.91543935,1086138.59843385,1086203.63594762,1086147.70677499
"2",1130055.37045234,1131335.15960745,1132539.58541841,1131252.53162792
"3",1084898.15057002,1084141.48122739,1083914.87020081,1084308.4997105
"4",1133367.32517842,1134836.70306376,1134253.12615739,1134677.21037355
"5",1049575.69257468,1046306.75106599,1047133.58450801,1046077.8883995
"6",999553.727608061,989606.665655307,991680.356235786,989411.397406276
"7",978760.045729992,965026.940441788,966311.905728764,964940.779150489
"8",1032805.2574412,1027407.9226166,1027553.12805283,1027457.3191933
"9",1129016.63605992,1130230.34101752,1129276.83208348,1130265.43224668
"10",1000837.71868499,991130.45622628,992642.640977319,990900.994750273
"11",1109832.37868867,1110741.80961496,1110697.104237,1110545.38934869
"12",1046802.17563422,1043173.69893623,1043143.38295192,1043000.85438201
"13",1124980.66109027,1126149.05287357,1125347.28906895,1126078.43972527
"14",1238901.5259406,1237056.69684622,1237621.74015766,1237225.94909626
"15",1051610.89540557,1048427.1911842,1048736.14806302,1048312.39578603
"16",1015583.53074128,1007987.21630159,1009420.0348277,1007850.35545265
"17",1066153.32323442,1064175.26619916,1064176.52373454,1064138.07690624
"18",1016915.27625182,1009449.32080239,1009642.83857556,1009453.38176996
"19",942737.094447327,920938.983603049,922329.385540062,920792.467597784
"20",1051902.33511681,1048534.21233548,1048459.93354952,1048604.46812584
"21",1070285.25978512,1068603.11638397,1068512.3996517,1068612.90436936
"22",1136495.65236725,1137756.22749161,1137724.73944124,1137827.18206209
"23",1042665.5722946,1038511.45798388,1038538.20885776,1038417.17969247
"24",1094329.07336997,1094383.51002183,1094115.60373792,1094221.66286034
"25",1115746.4332866,1116501.34902272,1116366.91001393,1116611.48319046
"26",1065714.04269155,1063771.69783665,1064410.1974793,1063680.22530577
"27",977590.515515583,963485.630938689,964972.303868659,963468.344337253
"28",1071546.42778591,1069991.83689695,1069578.34029998,1070063.66841037
"29",1052072.53759609,1048783.63055471,1048981.610276,1048829.5590036
"30",1012564.42824055,1004458.67887923,1005430.91075174,1004446.06475369
"31",1042233.80525774,1037843.73734123,1037963.35190993,1037916.06057121
"32",1125393.72070488,1126556.68330136,1125676.47467704,1126536.39830451
"33",1063365.57076919,1061336.86581537,1061429.85435465,1061143.89407176
"34",1058807.18688672,1056280.63813183,1058059.35562566,1056238.22135942
"35",1131071.34051847,1132317.06143402,1132539.51731619,1132321.43277117
"36",1006255.05022035,996959.730374987,998071.263934753,997177.27345115
"37",1111674.68792766,1112391.16531087,1112506.52304586,1112372.85100061
"38",1068071.76259147,1066217.3389164,1066253.92286856,1066223.09452295
"39",1070839.60252563,1069173.5758343,1068733.43258955,1069271.35748338
"40",1136612.25059267,1138052.56570905,1138358.29466644,1137980.6425004
"41",1078266.9280237,1077194.57698805,1076943.25030525,1077280.12642132
"42",1106862.37057541,1107418.07284826,1107945.24122448,1107368.45486391
"43",1051035.61347586,1047608.99239903,1047900.01667843,1047689.62910581
"44",1118146.19292234,1118869.32172794,1118846.50285537,1119098.40450892
"45",1126156.20905923,1127258.7550774,1127685.63393669,1127376.78242058
"46",1055307.72438077,1052311.94239822,1052508.59125467,1052334.45713083
"47",1051211.73210696,1047848.55720956,1047504.66753791,1047881.92178481
"48",1101180.18856878,1101410.66895951,1100784.85088226,1101479.22949352
"49",1018956.01812082,1011794.07810976,1011937.29405201,1011698.31191162
