"","v_bh","v_daily","v_mon","v_con"
"1",819279.128885196,794420.375166234,796476.609054689,794341.175217618
"2",831018.335555184,809669.600894567,811272.723742345,809617.217151748
"3",854697.003515596,838014.611538156,839311.97168802,837983.378818372
"4",868979.630920651,855537.767085228,856640.109006203,855476.686574909
"5",890885.33424811,881894.041508239,882661.325282782,881834.542268767
"6",907755.278919379,901278.767925268,901771.114852502,901232.142784063
"7",928874.047111358,924717.596495218,925133.792975466,924723.15086305
"8",943919.765931631,940620.98962496,940905.599012294,940615.290601318
"9",970813.584317863,969701.204453235,969908.847247506,969696.054933946
"10",996418.792551962,996118.337526227,996100.617315411,996115.534925665
"11",1021858.3677915,1022186.21537157,1022206.77441005,1022207.17067956
"12",1056147.29026138,1055140.39431522,1055327.68647398,1055160.02159713
"13",1075020.83653632,1073568.99822099,1073483.46572954,1073560.34750304
"14",1099697.28332593,1097033.9952476,1097266.60589692,1096996.0216626
"15",1141147.1755008,1134776.10156533,1135463.32764923,1134754.59440947
"16",1165889.28457441,1156585.97035952,1157297.31968131,1156564.89051104
"17",1210578.36094712,1195350.26037549,1196726.63106267,1195299.07158615
"18",1232607.01378218,1213963.91474091,1215283.63510955,1213909.42477516
"19",1275012.95130622,1249239.90352397,1251178.99878321,1249117.2460397
"20",1299241.67772445,1268122.53349358,1270580.98961681,1268057.12000878
"21",1357689.72842476,1316004.669344,1319312.7129375,1315842.6611056
