"","v_bh","v_daily","v_mon","v_con"
"1",813265.329856317,786672.120793863,788783.428867619,786577.292341808
"2",828814.075810887,806565.052466683,808336.842124604,806486.074186801
"3",845160.02301782,826962.690645553,828408.396037476,826898.830451978
"4",862344.044859357,847880.300218505,849028.130157633,847828.487642604
"5",880409.110340859,869327.271817194,870209.680582987,869288.010697544
"6",899400.391535703,891319.064094777,891964.301276883,891290.897783675
"7",919365.376538991,913870.842131833,914309.272549253,913850.908906999
"8",940353.988212529,936994.200029985,937261.293344563,936982.124857724
"9",962418.70901798,960704.988370725,960840.892152633,960698.946747806
"10",985614.712250357,985018.486025243,985066.515338183,985016.382975092
"11",1010000,1009949.70634921,1009953.66666667,1009949.50714286
"12",1035635.54818801,1035514.38397835,1035524.28877558,1035513.93289348
"13",1062585.45903782,1061728.7071235,1061796.76600701,1061725.64998886
"14",1090917.12136414,1088609.38700038,1088795.34118671,1088601.03935998
"15",1120701.37908009,1116173.5413141,1116533.75573396,1116156.96758958
"16",1152012.70834387,1144437.89364803,1145037.78912924,1144410.73119718
"17",1184929.403788,1173420.83315607,1174337.8668064,1173379.66529128
"18",1219533.77429663,1203141.30703224,1204451.00524118,1203082.2575599
"19",1255912.34882064,1233616.58154588,1235395.55310954,1233536.62850684
"20",1294156.09274508,1264869.73464563,1267198.46696745,1264762.88639459
"21",1334360.63535006,1296912.14918101,1299878.12282151,1296779.5296242
