"","v_bh","v_daily","v_mon","v_con"
"1",813265.329856317,786672.120793863,788783.428867619,786577.292341808
"2",813864.440713758,787449.728133719,789549.847058524,787355.266568112
"3",814632.479037422,788475.2464052,790547.473517315,788382.501702991
"4",818025.237554309,792738.796806484,794728.418794447,792637.211952122
"5",819279.128885196,794420.375166234,796476.609054689,794341.175217618
"6",822149.474525314,798289.843072087,800298.24595227,798214.648459461
"7",827840.718278209,805460.105667378,807256.518149009,805380.36797445
"8",830556.884922105,808051.459264292,809963.606671658,808013.96673319
"9",840779.33666919,821331.406225981,822911.700234907,821189.756759815
"10",849059.487524073,830460.46647507,831897.072291059,830407.583038545
"11",859074.178764014,839271.296658158,841625.507147648,839165.282020628
