"","v_bh","v_daily","v_mon","v_con"
"1",1255912.34882064,1233616.58154588,1235395.55310954,1233536.62850684
"2",1255910.92783555,1233608.77399272,1235391.79211003,1233527.805794
"3",1258899.22141168,1236113.87716006,1237919.13049522,1236035.77954738
"4",1259909.75915941,1236616.08431677,1238424.26197044,1236532.91067448
"5",1275012.95130622,1249239.90352397,1251178.99878321,1249117.2460397
"6",1287516.2906928,1260078.66865198,1262362.77980359,1259980.74666203
"7",1294200.83172315,1264193.15034033,1267087.58154647,1264067.50589167
"8",1315942.89629894,1280285.57385285,1282951.39046133,1279932.67138911
"9",1298272.64887455,1267494.5978722,1270240.37166615,1267402.93988646
"10",1328544.37953203,1289974.08051893,1294232.70463935,1289909.86909808
"11",1332696.6901386,1296383.43561176,1298751.09595025,1296298.0795047
