"","v_bh","v_daily","v_mon","v_con"
"1",Inf,Inf,Inf,Inf
"2",39.5171145949994,39.2570603779191,39.2758205760205,39.2560142209342
"3",19.0858475419659,19.0665836017643,19.0662311184186,19.0676010523054
"4",14.1783048545519,14.141243585645,14.1464778580841,14.1444510446511
"5",10.187344832231,10.3316427133651,10.3203014462065,10.3315796866979
"6",7.73030244753924,7.84931832030015,7.83431747693991,7.84600654393604
"7",6.40752754038566,6.49834213207784,6.49295868792667,6.49954317894906
"8",5.51470260994709,5.74148037958099,5.72826969155566,5.74588787435175
"9",4.74436288195143,5.0488238973647,5.02177871339676,5.04524020052566
"10",3.93063200453521,4.36566819657324,4.34867889057405,4.36736376551373
"11",3.60102175322821,3.9759779483587,3.92466405657879,3.97796047490048
