"","v_bh","v_daily","v_mon","v_con"
"3",NA,NA,NA,NA
"31",0.0465819285637214,-0.0189837121736113,-0.0131019083248547,-0.0190724334641499
"32",0.260402505719578,0.124058144942797,0.136847542164326,0.123299671876795
"33",0.488337282386008,0.279054208994913,0.296634715287633,0.276991916916425
"34",0.39728685095701,0.140169210248768,0.16379303501549,0.138306821569743
"35",0.922585159560446,0.433324039803316,0.478941170326617,0.431897346830368
"36",0.961389041410052,0.456189248521337,0.497994393687354,0.453973197943644
"37",0.983739096899508,0.536268023056087,0.579056497203017,0.535589505604413
"38",1.58803647118396,0.737610255509676,0.794980119519471,0.732680508911947
"39",1.61298885348451,0.782509476103842,0.852187814799506,0.784090753911578
"310",1.62825827442518,0.799416986430063,0.875781362185143,0.79282834560251
