"","v_bh","v_daily","v_mon","v_con"
"2",15141.4360109954,19604.2485225265,19252.7493577706,19619.9173981257
"21",15860.0191774996,19996.0347655126,19673.7949270518,20011.6167198904
"22",17300.7831396642,21344.5368861779,21023.2618492794,21359.136714568
"23",17375.6550101193,20924.8606940229,20639.8227453777,20937.4647982532
"24",18794.9202145433,21981.2836917381,21720.550082345,21991.6746481749
"25",19564.3097447704,22366.3570823651,22137.6662058798,22376.4725458614
"26",20614.7861742138,23004.9386687385,22818.2781701811,23014.093390643
"27",21626.2821831071,23519.5835657535,23367.0774489028,23526.7407870017
"28",22707.2494657231,24104.4843925484,23992.3379762592,24108.8317729147
"29",22913.8772179775,23645.1626472515,23594.4602101452,23647.7015665504
"210",25577.6519869683,25745.7257240315,25733.5933567893,25746.3888935525
"211",26039.0051551506,25595.9539004215,25626.6798301139,25594.5927317483
"212",28640.0085436948,27465.1879294014,27562.6258940854,27460.7571662842
"213",29267.8153974524,27459.5331928508,27597.7845989712,27452.8305554486
"214",32184.284906589,29399.3960749701,29632.2792438358,29388.3167559775
"215",33353.9612033629,29738.8625825443,30026.2108927598,29727.3299888352
"216",32719.6042407537,28424.6034718563,28768.4069140851,28409.3627941694
"217",34541.8244891518,29311.5839933781,29716.1045960672,29291.8884767881
"218",37797.4842640425,31207.263939254,31736.5962834824,31182.5720688038
"219",38180.7923748399,30854.1188830369,31434.4290479906,30829.2749439215
"220",40125.4903638688,31586.913907075,32267.971224773,31556.2626354161
