"","v_bh","v_daily","v_mon","v_con"
"2",0,0,0,0
"21",15860.0191774996,19996.0347655126,19673.7949270518,20011.6167198904
"22",31989.7413285799,40265.851805832,39643.8467657724,40298.7392521485
"23",49812.3112703699,62416.2010583479,61442.8543149754,62433.4415526071
"24",61769.5261993181,77537.5090174937,76349.0161177962,77590.5806344521
"25",84424.2747239774,103302.999349195,101686.597263438,103376.284064518
"26",96705.1947866651,118645.421452313,117071.47333381,118684.086339207
"27",112561.266859838,139021.833007378,136976.764360499,139114.731474241
"28",142641.950422479,166894.172908669,165427.847650392,167037.879792457
"29",150919.583928921,180174.725654903,178064.07789665,180401.532708556
"210",187476.400004148,216782.378445632,215110.090811209,216826.796258649
