"","v_bh","v_daily","v_mon","v_con"
"2",0,0,0,0
"21",34541.8244891518,29311.5839933781,29716.1045960672,29291.8884767881
"22",71741.3217960848,60427.0293475623,61310.8355220127,60391.3482135779
"23",104383.089948035,87913.9046174583,89206.6036824604,87853.107363558
"24",147901.545476852,123993.607171677,125938.060845758,123894.325220059
"25",197255.182841776,161125.850045806,163853.609104786,160997.634331125
"26",227209.210918047,182632.726247639,186440.467541977,182429.31348247
"27",273219.979754413,217233.552700473,221317.733717457,217074.793747821
"28",309130.57501206,245357.73163854,250768.606484022,245156.664718521
"29",330867.590377074,263749.860034404,268646.051590756,263399.511255217
"210",382607.172710242,303767.111138855,311043.320343886,303486.549311949
