"","V_bh","V_daily"
"1",1000039.68253968,1000039.68253968
"2",996339.478039219,996339.324342857
"3",997142.402831992,997145.027152381
"4",997563.70649822,997567.393207936
"5",997832.36171383,997836.571736508
"6",991079.188201002,991065.764301587
"7",988447.522854865,988408.186388889
"8",987266.017789602,987211.103201587
"9",985550.243147175,985470.79125873
"10",988871.867375149,988842.818487302
"11",988911.549914832,988882.024836508
"12",995209.818929862,995256.255985714
"13",995096.853018926,995142.166966667
"14",995441.832459845,995488.753811111
"15",988307.037820471,988312.296192064
"16",982317.106560733,982242.17955873
"17",984417.543183762,984382.234793651
"18",983922.956146281,983877.643030159
"19",984191.611361891,984149.736457143
"20",989573.989673211,989626.874520635
"21",987400.269678929,987425.358169841
"22",987516.276443921,987541.914380952
"23",985876.826026803,985877.307228572
"24",986756.075044886,986769.726047619
"25",986719.433359259,986731.290212699
"26",983171.877309414,983126.71484127
"27",985882.907734915,985889.199912698
"28",983938.160416561,983910.51205873
"29",983214.600703152,983171.793439683
"30",984551.79507309,984533.854674603
"31",979859.375643607,979753.538128571
"32",981043.921562926,980964.082906349
"33",983831.276213737,983811.901903174
"34",980970.638191673,980894.115411111
"35",978644.269746773,978513.478971428
"36",981813.245524129,981760.184693651
"37",988187.838764468,988272.337063492
"38",989754.005810333,989861.176301587
"39",989030.446096925,989126.644031746
"40",991741.476522426,991875.919015873
"41",990178.350330617,990293.428374603
"42",994873.810614156,995051.21954127
"43",996516.301885329,996707.411247619
"44",994266.257665739,994440.699946032
"45",993161.076825785,993324.229906349
"46",997627.564433396,997837.932947619
"47",997667.246973078,997877.385328571
"48",994882.933176324,995074.970773016
"49",992709.213182042,992880.431206349
"50",995191.270931616,995390.294838095
"51",995230.953471298,995429.636107936
"52",996110.202489381,996316.216077778
"53",992104.701087681,992276.746193651
"54",994205.137710709,994402.515242857
"55",989970.663633082,990123.008157143
"56",985430.892654217,985514.395204762
"57",987378.680826628,987499.13377619
"58",986502.472662601,986605.952912698
"59",986313.182526356,986411.644466667
"60",988795.24027593,988939.577584127
"61",990514.055772413,990685.573539682
"62",994293.625352242,994520.124787302
"63",993188.444512288,993401.900128571
"64",993762.396629134,993981.938150794
"65",996778.723955872,997032.771846032
"66",996894.730720864,997149.119888889
"67",992125.987066073,992338.233031746
"68",986441.352707572,986574.709698413
"69",990526.219188637,990738.641506349
"70",996213.894401194,996513.506344444
"71",993582.229055058,993855.38874127
"72",997209.150184268,997526.885226984
"73",999156.938356679,999491.374869841
"74",996067.327658688,996379.53114127
"75",995038.471044043,995339.331928572
"76",994314.911330634,994606.654833334
"77",995346.808799335,995650.225992064
"78",992180.873876035,992447.847633334
"79",994968.228526846,995274.754153969
"80",993405.102335037,993692.277285715
