"","v_bh","v_daily","v_mon","v_con"
"1",898648.89837322,896194.069991933,896483.567887379,896111.202782473
"2",841847.488140463,831507.088264111,832124.027491831,831536.919546156
"3",997533.72646791,998773.859390815,998125.43093525,998611.152503449
"4",899979.116699398,897581.444240015,897359.809797208,897532.978740751
"5",896223.629992525,893419.412745642,893588.946221171,893417.281973839
"6",910018.548529549,908504.498430736,908551.376258568,908537.506734762
"7",948502.427261529,949027.368215928,948974.529851643,949178.198332931
"8",895836.851771202,892887.36687164,893055.821093391,892906.892316273
"9",898118.666661479,895625.915357953,895605.060387957,895495.149683501
"10",984002.600958019,985367.063800013,985027.351044727,985259.885222261
"11",931420.46185566,931476.155957386,931614.263909448,931290.431079501
"12",924020.039995284,923523.719062035,923293.590516736,923470.108712788
"13",872550.227659189,866961.196109238,867842.454147723,866952.282734854
"14",917767.946465653,916886.855404762,916460.254885005,916810.601469785
"15",937498.661406164,937717.131069896,937164.044798272,937668.354231386
"16",889108.725751295,885523.560941455,885677.737922757,885581.182119194
"17",910575.980841957,909196.990243539,909665.341873575,909099.551676042
"18",920734.101286525,919866.487853621,919627.441855445,919982.811212501
"19",918388.600271309,917500.396140405,917354.83757781,917482.342228094
"20",874234.534203362,868837.472126996,869234.095064515,868905.887788129
"21",931273.096359118,931135.58003722,931234.850772672,931163.865007383
"22",890000.636233316,886427.045496149,886469.694973787,886513.48224499
"23",922288.168099811,921672.771366782,921728.239750223,921630.663810335
"24",862827.229632092,855824.070817985,856420.345677767,855928.137389864
"25",916589.298109224,915577.281957427,915642.645788388,915573.785554687
"26",893057.571162478,890026.753087216,889634.48513627,889954.92876868
"27",939172.555842314,939341.943138102,939041.054225662,939459.369455309
"28",883004.068202884,878682.28711026,879199.88477109,878801.135013191
"29",950366.538519564,951238.858247036,951157.971599742,951076.974244176
"30",867590.34247007,861396.386960471,861461.628850709,861370.330443055
"31",864693.738223381,858038.338417883,858791.796583439,858038.266094095
"32",877803.885821204,872982.491252589,873199.017429566,872929.569689317
"33",877859.531490668,872971.03458775,872854.680220685,872991.399102118
"34",935952.49199494,936094.664503623,936338.911462396,936072.615670654
"35",879720.47813709,875017.005532574,875083.591668874,875095.114018875
"36",913441.701167324,912088.056870173,911690.108570459,912191.736178828
"37",884225.417710083,880214.670944674,881369.811522571,880134.393722396
"38",944008.119072299,944737.317861212,944583.66848022,944559.053600259
"39",962270.380626013,963457.26303014,963217.387745716,963416.233289369
"40",937847.775998446,937796.675785779,937704.467814969,938077.406529653
"41",914626.087457236,913423.023714701,913647.101399334,913475.176576799
"42",895601.974143111,892816.04843743,894352.837877757,892713.9155481
"43",842000.316570269,831820.652746807,832816.610298031,831602.537085144
"44",929083.656902012,928946.92400174,928900.603927284,928891.197485231
"45",919982.543156362,919332.966343421,919506.83742439,919168.55684968
"46",984569.314512855,985833.136758047,985113.090152772,985819.009155872
"47",852494.765826843,844016.101201685,844631.007900522,843961.879783266
"48",960229.287922602,961254.042522794,961325.508843843,961210.123522999
"49",865989.082766864,859579.101788131,860306.565769721,859531.818109418
"50",902981.194949933,900692.977394348,901137.768167187,900796.981179569
"51",876429.369843955,871337.280524817,872765.037620504,871321.900980741
"52",849598.610806224,840643.393667209,840956.313865767,840601.370681827
"53",863839.021847195,857049.04719632,857461.186431893,857045.851600173
"54",881123.669350095,876436.095653333,877304.730735834,876613.690028956
"55",864141.44560659,857371.405305969,858512.346064569,857461.014448642
"56",873039.617627712,867595.307195323,868394.144615487,867554.778696278
"57",868955.25718271,862883.0917404,863276.510990547,862891.102863108
"58",881338.745515288,876906.119189409,877260.564442022,876866.155476631
"59",858588.497353996,850935.399312056,851162.1808219,851018.965921483
"60",933714.630312521,933719.57393953,933550.427252759,933719.884562008
"61",797259.26929778,777058.831083374,778260.987222983,777031.697593564
"62",932651.105998691,932640.541921885,932212.798252413,932657.583724705
"63",892858.517514676,889664.239077276,891094.939743599,889738.310489155
"64",822714.799372595,808700.740013,810070.485713833,808557.05851159
"65",845145.155708049,835318.305908274,835813.57917788,835372.499417885
"66",846548.004427761,837021.628400225,837963.022988678,837026.093944992
"67",949296.897090526,950025.727009094,950052.8537938,950033.453597235
"68",865433.406403211,858969.790099231,859264.063846684,858920.281192942
"69",852618.940251736,844234.978394376,844870.693005343,844183.386538456
"70",868242.026861445,862030.615829677,863172.08495571,862112.725815005
"71",891131.942343469,888082.705670466,887345.386360849,887802.584261389
"72",880344.814854888,875914.197710448,875780.802138929,875785.086350573
"73",958901.861880556,959829.255252739,959929.712570348,959891.616259925
"74",914603.19423736,913540.756819629,913877.329215351,913368.103573584
"75",987680.094463338,988817.148698764,988567.118254448,988889.718983136
"76",937835.288277917,938086.868798134,937793.352860518,938084.16636072
"77",883458.591616764,879423.7219639,879976.272544332,879321.463909745
"78",856739.921358711,848938.588688471,849053.990911003,848928.225979103
"79",935404.784600144,935617.963308863,935863.62162251,935532.843091685
"80",900698.934789001,898341.868265438,898211.736422232,898336.547704266
"81",910157.742254427,908709.054421396,908608.56179805,908647.004013794
"82",870460.511861907,864659.229738237,865185.768595099,864596.677616183
"83",922151.971549493,921443.143612902,921549.860433042,921544.648850267
"84",871499.239021346,866006.385245919,866707.238156679,865789.456955216
"85",871999.103776596,866455.034840178,866579.519015896,866463.49299349
"86",851786.001691794,843149.91247141,844049.327474569,843131.573713664
"87",991765.163856755,992943.86351407,993015.759290454,992939.273451005
"88",895934.453421185,893205.395195662,892982.406587683,893136.74141673
"89",912284.99281349,911012.515591997,912315.01467904,910924.760405883
"90",895837.548703291,892970.502364213,893071.022922268,892992.035281903
"91",938464.646995845,938791.091861018,938567.053659796,938752.478023874
"92",862825.709011215,855840.466627563,856526.817719454,855951.053843022
"93",967204.402137745,968317.315054298,968926.879697735,968322.016712571
"94",854182.560525106,846028.864332528,846060.38904195,845944.596565003
"95",946937.390478426,947505.562228839,947941.870646443,947535.60423295
"96",982108.877243941,983382.608293473,983279.887239433,983252.458390714
"97",908094.958727385,906707.014537884,905832.521886014,906404.539322805
"98",904172.200850958,902128.516494328,902597.146294635,902099.279187217
"99",893696.610460858,890788.589280542,890924.794124042,890655.487878189
"100",863080.757404901,856291.665942806,857068.128934566,856249.634525601
"101",914928.067677221,913847.396642149,914408.393063438,913767.631170979
"102",882595.470431397,878408.357133218,879166.718755632,878310.16824682
"103",934575.723040556,934598.823816855,934175.537195345,934621.486808351
"104",957657.155644944,958727.171818109,958320.132125325,958610.028406054
"105",914503.30289098,913229.76535225,913106.316514149,913294.169401976
"106",801941.529680033,782903.827772624,784026.724320004,782947.938102204
"107",865470.489265974,858784.032055971,859344.144728648,858900.167631325
"108",955951.252757872,957022.618849837,956871.742435563,956885.873284918
"109",871971.902937919,866419.990592887,867101.970478393,866365.625203835
"110",818614.811929655,803581.459672593,804492.698349967,803570.611460877
"111",898186.051561919,895467.933908059,895538.030936185,895585.68231726
"112",951278.459337541,952051.613048889,952724.794756825,952014.376911719
"113",912842.843171377,911335.827038082,911696.631393976,911481.473373771
"114",878121.96053932,873420.548731917,873668.654649399,873293.009538886
"115",899660.124652803,897334.164105609,897124.163714321,897201.539545466
"116",874657.110194479,869403.181410836,869358.756638002,869316.29479316
"117",937534.445995837,937685.918036812,937160.829138373,937695.589537353
"118",892978.671470373,889785.51904519,890437.208776384,889842.647737482
"119",936470.869342596,936659.812232203,935906.585499623,936611.504745099
"120",926731.362791089,926476.078678967,926034.137004572,926410.454171596
"121",939567.965902599,939902.711805921,940796.575090841,939883.78210027
"122",937187.532086657,937331.920724297,937133.570589841,937366.485308065
"123",884471.934625273,880381.99724516,880586.056428405,880447.086478099
"124",844492.176352281,834612.280068537,835327.353084755,834596.215517602
"125",940486.507402824,941066.631437065,941437.484829664,940884.954946483
"126",925095.755648887,924740.380553582,924678.627801477,924661.725806926
"127",922030.902216964,921425.014138372,921200.419237585,921386.113615756
"128",898236.258382157,895615.302131216,895418.268912669,895633.02333013
"129",851373.617643422,842609.192533237,843647.031541079,842681.001775505
"130",885185.177621283,881104.642788395,881242.603481651,881200.255325925
"131",864534.853080751,858013.352114143,857899.047218553,857840.298956541
"132",1007153.14778641,1008022.98084371,1007603.96691231,1008051.44874541
"133",971822.760682468,972866.985691561,972195.410797664,973031.31756846
"134",861206.908804674,854105.920748357,854260.48622175,854059.685766913
"135",959680.326737333,960782.739240117,960665.036996415,960676.595151435
"136",897183.525963141,894559.205513589,895751.24727651,894475.463888927
"137",843163.645975373,833178.822852907,833433.848355726,833025.420853114
"138",857805.577084232,850153.679381528,849996.493502035,850151.132665341
"139",845423.585631527,835660.733196802,836759.327642718,835694.151865002
"140",930629.510076407,930600.821297713,930202.725006327,930538.098857127
"141",831871.650624989,819562.822772787,820397.087210958,819538.698585675
"142",904909.612598447,902977.437395793,904050.894591826,902951.087177111
"143",889473.626842109,886025.418216502,888538.601786299,885955.056888559
"144",937703.620335347,937888.019227877,937785.256551478,937940.991054347
"145",898618.516010066,895969.924438142,896772.370940155,896013.43195839
"146",875541.402135929,870482.393757137,870422.111778251,870350.430687756
"147",938325.441234218,938454.814082269,939266.44706311,938566.57689715
"148",869537.529646345,863536.571576408,864352.887968476,863613.807505307
"149",818642.136157176,803759.364741802,805573.322237754,803601.919735794
"150",856373.440500648,848620.113287183,849306.922385752,848504.977017564
"151",914235.997133931,913026.130064657,912386.682907489,913002.881950961
"152",967685.071553876,969119.008056308,969768.150816661,968853.269860325
"153",840930.198540429,830314.514690224,831339.522710727,830376.364994418
"154",874482.085093999,869319.180728873,869318.181011667,869285.406875152
"155",942955.968080778,943495.540583084,942775.288920705,943387.760743202
"156",882890.451166887,878517.769030208,878633.731254989,878645.814656422
"157",869192.989911054,863117.155262464,863260.234464569,863180.914060302
"158",877815.381616695,872933.636993702,873256.51569517,872914.577112867
"159",866919.108430774,860533.344052064,861264.858154707,860606.445977777
"160",913660.589002982,912283.790836679,912500.367937388,912397.508725672
"161",856884.492111666,849012.70521569,849510.540458095,849062.167096779
"162",873985.405269698,868711.461873721,868833.418574755,868638.64722011
"163",963341.486910025,964432.549654891,963919.865345437,964337.304329192
"164",853614.449986567,845257.941412458,845813.920776722,845259.718997834
"165",867048.296278598,860834.499232025,861315.387149633,860729.026217504
"166",872152.195393612,866390.618339215,867781.179460464,866562.673906055
"167",878676.173810501,874005.797007576,874493.775795473,873972.809970423
"168",871613.844111825,865939.018844563,866538.522072915,865939.974240575
