"","v_bh","v_daily","v_mon","v_con"
"1",1517232.94178419,1423347.49692167,1429074.39148747,1422992.78751852
"2",1447070.04742751,1373501.76414825,1378264.95282019,1373352.1416248
"3",1308786.45504267,1270342.62480777,1273819.5019617,1270318.98920847
"4",1286984.66917053,1253960.23117154,1256267.23270872,1253320.06212903
"5",1391661.75899786,1333631.03871079,1340703.8022694,1333061.18833446
"6",1096789.60793856,1093466.734065,1094087.05628062,1093572.85057124
"7",1108861.93604398,1104416.33958614,1104042.96034344,1104511.58776716
"8",1228775.32933644,1206902.97953455,1208469.15624869,1206718.58762468
"9",1336781.69790542,1291635.98488325,1294124.12152918,1291976.45793961
"10",1246826.46188454,1221362.52083808,1221591.73619549,1221388.53875016
"11",1171191.77700557,1158545.0570527,1159957.896541,1158612.67995265
"12",1227658.20022513,1206169.94339537,1207871.89223336,1205841.43596871
"13",1080498.86249336,1078634.30626806,1077611.27634572,1078822.22049498
"14",1175138.60580037,1161938.50050113,1162071.98877725,1162086.57477899
"15",1254514.21296014,1227574.26557522,1229210.79964397,1227663.58352084
"16",1624698.81550789,1496133.07965383,1507008.21007411,1495560.93294284
"17",1325672.16272934,1283649.16079353,1286337.19056821,1283526.04748602
"18",1387114.29420847,1329545.17602891,1333726.41783441,1329629.24537226
"19",1176206.28127908,1162665.11202608,1164510.81792565,1162858.0729055
"20",1066450.80231038,1066004.61075394,1066636.83953924,1066037.14458725
"21",1216163.43050147,1196072.26350381,1196725.76668281,1196410.00079981
"22",1048370.62560496,1049279.51142532,1049921.71230106,1049118.23945764
"23",1268008.70866795,1238414.93962998,1239523.20801661,1238291.1591081
"24",1377703.30318875,1322498.71798876,1326135.3061909,1322773.95416771
"25",1391149.88284419,1333027.31154577,1338824.22746989,1332784.54692968
"26",1266485.72450943,1237215.96146668,1238970.91306947,1237020.54715707
"27",1384270.32260333,1327795.92374024,1330607.00146502,1327607.78400566
"28",1503963.56053725,1414261.29743781,1422633.89854105,1413624.77168096
"29",1219829.30585583,1199445.9939924,1200716.58061172,1199446.86230532
"30",1309513.56540844,1270129.06641015,1273458.27509357,1270914.22531639
"31",1206256.13663685,1188332.52834014,1189909.65316946,1188138.19720012
"32",1193701.12933375,1178074.94892472,1178795.7809913,1177629.26972885
"33",1427488.78981361,1359620.41157691,1366024.92165992,1359442.15275727
"34",1361363.46426575,1310457.46577122,1314402.80174957,1310512.65702065
"35",1281794.85212858,1249559.31989312,1250572.05243547,1249393.66935122
"36",1119239.247852,1113212.68472733,1115629.18731603,1113654.41650851
