"","v_bh","v_daily","v_mon","v_con"
"1",861228.902749702,882796.858885068,884309.722432034,879328.330946024
"2",1169779.24692847,1189348.28773461,1197786.32683723,1190373.00438054
"3",1092771.21734957,1120441.67898953,1103278.99350187,1120261.14987531
"4",1268174.35363684,1272239.33649637,1259941.15297835,1272068.03809583
"5",1163085.64504864,1190853.96904788,1173620.00703591,1184931.06684399
"6",817057.592720687,826084.541794797,815068.262638308,825119.780831258
"7",2091328.7061786,1824129.22418593,1862451.6433115,1826496.3466949
"8",877923.568465211,897980.102435435,891796.085605473,901343.992074096
"9",2053491.05268624,1803674.20581684,1806457.16645504,1808548.4520296
"10",1279294.85657921,1281906.97566562,1287924.19214678,1284246.28564258
"11",779384.652117821,777763.704371835,761481.958559829,778156.930134299
"12",1132013.7983925,1154332.33597071,1139432.09520299,1156208.39921438
"13",651427.807880618,578726.314187514,587912.859664275,580274.409326717
"14",1199242.64751589,1212974.0393732,1238790.61153139,1218322.02154054
"15",1073053.616571,1101946.76700509,1109701.1589754,1103497.62903812
"16",877802.299528959,897718.867954586,891852.24981048,899019.045785663
"17",1061821.18128389,1092190.66703481,1075205.66031287,1092345.05469022
"18",1088633.38991865,1113860.03385729,1104455.26569705,1116794.26856269
"19",1307679.43861142,1310041.70434172,1317747.93543843,1305333.04403675
"20",1105081.29793573,1129712.11036006,1115160.36088256,1131525.16987371
"21",759108.225919123,747354.474545523,745192.507587675,750019.799483669
"22",1607044.02739343,1530369.98087601,1575911.58593919,1528764.03971759
"23",762779.524043547,754411.116700561,745829.822638184,754492.537537671
"24",877319.322074858,897644.964665597,894385.711905767,898058.262441635
"25",869828.861603253,892701.066317321,893466.063213739,890920.604521033
"26",1128199.88755115,1157260.86001238,1182501.42825407,1155232.01462456
"27",980986.351158113,1013734.50382467,1015744.96055257,1011827.23656491
"28",962002.512916349,993220.622111166,1020691.72003639,992705.347328491
"29",1753678.17175963,1618439.23468974,1633864.44889949,1623712.09617974
"30",895813.200677657,917124.92875194,911561.23095977,919442.697585008
"31",733815.979394769,716001.878149064,713641.322076228,713188.765326799
"32",1000543.38855614,1032008.52359951,1020936.23561892,1033099.89531371
"33",924755.014238746,949479.855854736,939278.661526565,951983.237866904
"34",1789320.73344844,1650740.8481384,1659746.71708788,1647266.28635568
"35",1185091.00540893,1200510.03898946,1192345.81771439,1204543.91857807
"36",1056963.07585286,1081807.25322524,1058757.99703022,1088221.53941255
"37",794896.540913104,802085.426815243,812963.033628414,798641.704988222
"38",836299.734539964,850908.760906449,863518.850928764,849583.876257057
"39",948877.095935029,973599.239418624,964285.239422671,977460.972006522
"40",1282440.59640994,1287776.20860259,1265532.37538458,1287137.73513145
"41",1185539.28418044,1204833.07819297,1193876.18770282,1205456.80589683
"42",1188437.85587302,1206347.61267051,1204875.59633715,1208524.35094876
"43",834913.838577626,849235.504357464,860349.150817789,848695.694014897
"44",859640.734108564,877994.693827142,883529.173186749,877374.799927906
"45",921195.650576576,947127.104165686,938988.416928051,949796.81031771
"46",1240681.72712963,1248457.17520748,1237736.7367698,1251289.71883715
"47",925792.09011215,953600.829143558,942368.57867911,954783.239525188
"48",861586.523485795,879719.927034145,890142.183774055,880672.482154862
"49",1101641.53633057,1136161.47237942,1118913.23513471,1130483.91706959
"50",1371202.43473901,1358530.97221496,1339152.649945,1354636.10293782
"51",678149.524264384,629577.914189185,627351.944835689,626566.964040579
"52",1289814.63961426,1292912.24241124,1280488.55263719,1291905.55450428
"53",665668.270530366,606465.407218007,607479.482819807,605777.658159536
"54",1024996.98121019,1056865.84382998,1042554.88373148,1056606.48104568
"55",1058167.69164299,1082839.85397019,1067116.66903691,1089295.54366582
"56",732024.915717308,711294.401045702,706471.616717136,709655.196552196
"57",1004833.11673049,1034540.57186676,1038723.92743415,1036105.358297
"58",1170227.8884781,1193019.30188034,1233601.947092,1192095.39478233
"59",1141804.26458118,1163951.36121986,1194984.73526267,1167038.36620848
"60",966318.811022355,1000888.20814228,1012006.73509113,997666.565724809
"61",997211.018722322,1027887.03987601,1031486.54131842,1028688.09102671
"62",1007282.58517025,1038395.60667057,1031510.57330483,1037744.89507462
"63",726203.517420228,704061.176914922,704844.08714848,702260.721976905
"64",993702.60220011,1023816.377986,1012134.94012222,1024490.56423733
"65",781638.708556581,777275.054477904,780699.143496256,780012.324725432
"66",1229829.14734537,1246983.733343,1242339.18213253,1243796.66016344
"67",1708650.95417332,1604386.95162933,1579665.14984185,1594049.81450612
"68",768689.702377593,762467.372740917,758494.716928402,763052.450270069
"69",1212877.43222013,1226560.30054309,1247721.6316821,1227231.84158589
"70",1849116.72406363,1688616.08118236,1710417.55108214,1683873.57384412
"71",1419160.56250704,1399678.94987986,1376979.94553108,1395394.34716229
"72",885725.931132042,910053.457692862,903397.464231811,908512.718031274
"73",1016241.72876022,1044332.0580213,1052945.5637657,1048163.94601929
"74",1538403.11037221,1473274.11655253,1469133.86258685,1478696.7650072
"75",1033957.18330685,1072006.86332006,1077698.14800324,1067061.20697915
"76",912216.207519901,942566.389317547,953844.765634352,939139.382476365
"77",1119429.14898211,1145702.75593376,1134309.69148732,1147525.53185275
"78",993832.70505001,1022773.50532247,1021552.65797028,1024687.47204589
"79",602420.039501778,486492.025780873,497481.294011329,484667.909502803
"80",1668626.60493477,1572180.4254421,1581297.33229586,1568564.92921933
"81",1387499.08468703,1372127.42777366,1402659.24178497,1368252.04383265
"82",928245.702315049,958908.426417379,977487.910014328,956652.945403207
"83",1160913.80334135,1188077.41358655,1173040.92452801,1185386.983564
"84",1151512.38252748,1172987.48109141,1163840.97884739,1172864.00596644
"85",1284031.14051221,1291668.91860935,1308256.55919868,1288613.07076624
"86",1043382.26262101,1081444.29786396,1087882.99822293,1075621.26921446
"87",801979.304241988,807578.079155544,798600.896193275,806745.91619794
"88",756011.331298195,746835.023573594,755370.921619006,744424.323161462
"89",838699.414780064,854122.883189439,838967.046751912,853381.217952977
"90",740244.921717312,726580.727215393,775078.363345108,722453.470966416
"91",836932.589310265,849822.74338107,841485.417899268,850332.260095637
"92",932282.140596043,960024.858606911,949169.228896308,960199.261303789
"93",886671.116006289,913435.133386741,904724.893266258,912285.532168742
"94",796493.155834252,804036.536370978,807607.792103865,800841.126693723
"95",987143.630413951,1017264.73748269,1025352.69012332,1018739.04931758
"96",988277.922208557,1015553.86985242,1025512.59012482,1019793.25148695
"97",1196620.40424229,1213193.53614937,1199955.20116468,1211121.12143439
"98",905389.011019117,933446.898027508,923999.050122932,929413.701381789
"99",1174787.58749938,1193559.81617553,1182773.90438144,1197283.34836507
"100",1399025.92889362,1386272.37302739,1376025.10985006,1377065.20111152
"101",898453.798979442,922101.092986561,914605.504756741,923132.365488335
"102",1167855.77634979,1187493.10200328,1183855.75209599,1189494.85126429
"103",1416761.74887787,1388128.10483226,1380301.63903092,1390751.84316008
"104",927914.282044277,952671.372962196,950748.960861752,955315.254656706
