"","v_bh","v_daily","v_mon","v_con"
"1",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"2",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"3",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"4",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"5",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"6",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"7",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"8",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"9",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"10",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"11",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"12",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"13",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"14",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"15",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"16",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"17",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"18",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"19",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"20",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"21",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"22",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"23",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"24",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"25",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"26",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"27",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"28",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"29",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"30",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"31",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"32",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"33",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"34",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"35",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"36",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"37",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"38",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"39",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"40",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"41",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"42",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"43",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"44",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"45",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"46",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"47",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"48",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"49",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"50",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"51",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"52",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"53",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"54",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"55",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"56",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"57",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"58",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"59",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"60",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"61",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"62",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"63",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"64",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"65",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"66",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"67",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"68",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"69",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"70",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"71",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"72",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"73",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"74",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"75",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"76",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"77",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"78",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"79",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"80",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"81",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"82",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"83",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"84",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"85",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"86",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"87",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"88",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"89",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"90",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"91",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"92",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"93",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"94",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"95",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"96",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"97",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"98",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"99",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"100",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"101",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"102",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"103",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"104",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"105",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"106",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"107",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"108",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"109",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"110",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"111",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"112",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"113",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"114",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"115",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"116",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"117",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"118",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"119",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"120",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"121",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"122",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"123",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"124",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"125",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"126",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"127",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"128",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"129",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"130",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"131",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"132",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"133",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"134",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"135",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"136",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"137",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"138",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"139",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"140",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"141",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"142",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"143",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"144",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"145",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"146",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"147",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"148",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"149",965614.712250357,965511.362488538,965519.399376452,965510.971096799
"150",965614.712250357,965511.362488538,965519.399376452,965510.971096799
