"","v_bh","v_daily","v_mon","v_con"
"1",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"2",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"3",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"4",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"5",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"6",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"7",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"8",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"9",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"10",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"11",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"12",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"13",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"14",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"15",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"16",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"17",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"18",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"19",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"20",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"21",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"22",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"23",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"24",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"25",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"26",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"27",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"28",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"29",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"30",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"31",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"32",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"33",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"34",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"35",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"36",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"37",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"38",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"39",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"40",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"41",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"42",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"43",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"44",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"45",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"46",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"47",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"48",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"49",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"50",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"51",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"52",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"53",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"54",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"55",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"56",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"57",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"58",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"59",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"60",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"61",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"62",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"63",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"64",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"65",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"66",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"67",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"68",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"69",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"70",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"71",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
"72",1220912.34882064,1190571.33405702,1192977.17706883,1190464.08464239
