"","v_bh","v_daily","v_mon","v_con"
"1",1102886.13849819,1102967.43288475,1105352.88222845,1102839.85063425
"2",1239047.82965422,1223409.03045791,1223887.80027417,1222979.44487343
"3",1207051.28252811,1195886.15274191,1196447.77509934,1195595.46366962
"4",1127043.72313398,1124847.13340114,1126570.742584,1125003.73323893
"5",1278039.70598848,1255418.89651299,1256497.69765644,1255301.14019365
"6",1559558.89842578,1467689.42800805,1475804.01657612,1467468.74071836
"7",1088382.08440595,1089541.18966337,1087745.32960959,1089438.50450621
"8",1349706.32478194,1312780.16767142,1317134.09841207,1312538.85526941
"9",1558398.54332087,1466988.32432653,1472222.81458797,1466415.446535
"10",1217813.253242,1204402.22309547,1204564.88870418,1204910.19486261
"11",1469081.11370378,1402806.03810166,1405868.49998447,1402415.28592863
"12",1365934.59738562,1324910.60787532,1327944.76725631,1325033.02618618
"13",1244637.35147606,1228069.93979738,1229384.60244352,1227693.86265624
"14",1249655.54286262,1231590.75537391,1234556.20905382,1231732.30206003
"15",1541439.51529746,1455238.09376939,1461292.70381255,1454526.4374741
"16",1490451.08293447,1419284.07848433,1426491.67830683,1418381.9347536
"17",1375605.2688319,1333293.00778349,1334808.4670825,1332624.40604353
"18",1226881.61345003,1212777.07711045,1214145.82291149,1212817.56466987
"19",1317013.95993054,1286966.98705004,1289365.93756318,1286762.53854736
"20",1184589.86772119,1176518.98613099,1177894.18522247,1176479.85705074
"21",1376556.91830803,1333649.67413216,1335473.04552951,1333302.42930597
"22",1319002.79318087,1288227.7333488,1289610.08270006,1288177.73345979
"23",1219042.95577355,1205973.97294809,1205304.84417351,1206138.33067542
"24",1342316.86527908,1307400.159997,1310392.53613916,1306880.23076635
"25",1202984.17163506,1192585.94530198,1192377.99572148,1192338.55807716
"26",1179512.3127983,1172414.52766139,1171063.83425053,1171805.2773373
"27",1162823.74006868,1156882.96193468,1156621.5908881,1157367.73154687
"28",1367067.83943104,1326338.45898539,1329556.147903,1326069.99344939
"29",1650104.01670849,1529945.02000407,1538775.55213733,1529204.21726162
"30",1303238.00616995,1275113.65351243,1276352.99085741,1275646.65884464
"31",1429262.8685687,1373120.57668891,1378351.71805639,1373321.52306254
"32",1396571.79433462,1348402.99587411,1351314.02959512,1348778.16330339
"33",1378615.95662074,1336021.34159887,1339299.24702425,1335045.48184722
"34",1297526.07250743,1271051.85545876,1274100.06849328,1270985.20638951
"35",1230428.72143281,1215992.34359723,1218566.40564906,1215822.62365066
"36",1259966.64546961,1240309.43532741,1242725.15071581,1240300.43540077
"37",1273197.77482532,1251776.91962187,1252341.08748519,1251226.52321682
"38",1166861.88445594,1160538.50899084,1160568.84692137,1160787.30076155
"39",1306962.9222724,1279003.76918243,1280322.03403392,1278640.90016363
"40",1290794.09045919,1265664.80940366,1270476.19425952,1265686.70039368
"41",1441283.63096411,1382339.14153131,1386716.06319328,1382085.49425891
"42",1389687.89651544,1343869.80431556,1345694.29101015,1343420.99148263
"43",1104292.12694346,1104427.67522627,1105508.96138002,1104180.63031786
"44",1407017.12831504,1356083.72984577,1359617.125842,1356579.46405155
"45",1468861.30280351,1402015.93700635,1407029.4152166,1402554.8014511
"46",1282197.27020547,1258479.49852744,1260953.75609281,1258543.90743172
"47",1408125.28456071,1357887.4341429,1359391.95075661,1357386.95634244
"48",1223484.97308987,1209919.33252184,1210074.49767916,1209698.79647424
"49",1450677.17995368,1388889.48121821,1393869.15628026,1389285.42747213
"50",1159134.84930914,1154278.01555242,1156101.37053166,1153996.98890487
"51",1304451.80525992,1277028.19869021,1279378.92348772,1276611.08235348
"52",1216828.58782229,1204132.15151682,1205263.09932519,1204138.49231903
"53",1326218.61062717,1294005.16083527,1296155.90720058,1294115.07047607
"54",1275490.23816228,1252734.21999734,1252444.77777418,1253159.1884158
"55",1207786.25684776,1196428.41938995,1196062.05847994,1196502.71794093
"56",1377099.27545844,1333671.85145195,1337822.34808544,1333620.7048716
"57",1243849.4502858,1227264.94452486,1230742.68598928,1227087.87314596
"58",1523757.46636801,1442430.58545918,1448447.75288408,1442293.68241954
"59",1420692.80320964,1367294.19741491,1371830.05119417,1366887.96986892
"60",1254994.49567747,1235501.09939351,1237260.91305066,1236239.37710034
"61",1286827.99595531,1262882.16510923,1264284.92803066,1262456.16444907
"62",1287790.90950183,1263231.2184728,1266778.59859921,1263053.05701966
"63",1242252.08004045,1225145.62276502,1227190.4680989,1225623.04108163
"64",1123811.18490957,1121993.76737111,1123330.02654635,1122211.48890452
"65",1370976.66131676,1329553.20121405,1332012.7384064,1328932.10200848
"66",1158517.74172206,1153224.666073,1152928.20294239,1153296.58703496
"67",1220888.50926933,1207519.15738441,1207542.70439787,1207545.40474144
"68",1406791.52336322,1357101.37679161,1358656.89036612,1356384.3899806
"69",1323730.96243447,1292614.23315862,1295135.69454706,1292114.62992843
"70",1484525.17093459,1414327.01873786,1420715.5872987,1414034.74584453
"71",1071607.79261762,1073487.11761829,1074112.96694853,1073421.07185708
"72",1396390.90217804,1347985.20064892,1349809.16519171,1348495.29854074
"73",1228141.67042962,1213622.18138902,1215093.96538415,1213834.7960175
"74",1166222.34943873,1160694.89359876,1161754.556212,1160242.78644777
"75",1350720.5631164,1313036.46122485,1313480.81720487,1313208.24368327
"76",1213464.35159826,1201085.10966137,1200454.16946129,1201524.2689679
"77",1166535.65940661,1160672.57995053,1161408.64848539,1160596.93472692
"78",1256932.11775375,1237828.07256266,1237532.02871876,1237895.99258509
"79",1311626.06620798,1282617.22790723,1286059.77091419,1282413.26053187
"80",1108215.65890663,1107857.15573774,1107843.85355514,1107706.51945988
"81",1291852.09826965,1266579.29376197,1268818.08372517,1266411.11126957
"82",1556051.20874942,1464998.87630665,1473403.78549117,1464750.8350959
"83",1105802.97482278,1105351.69306875,1105699.24111725,1105632.60520675
"84",1426573.28817941,1371146.27831629,1376073.71992995,1371120.24915905
"85",1318582.28719235,1287654.54888973,1291723.40753431,1287912.55462343
"86",1254253.35485361,1235256.58852657,1235607.30735104,1235609.77258354
"87",922935.717309736,920442.362994252,920722.755516871,920376.212216666
"88",1254932.89016295,1236338.00328256,1236755.50964689,1236248.78527185
"89",1216992.34107828,1204387.97478487,1205768.94203123,1204315.48797985
"90",1334096.15876264,1300509.09276513,1308061.7900565,1300133.18858461
"91",1304629.59025278,1276759.27107993,1280491.00491775,1276838.72006562
"92",1303218.54501725,1275885.13299775,1278544.91466207,1275567.52752206
"93",1090439.27594121,1091731.33615046,1090583.249784,1091247.35669817
"94",1491811.01407415,1419506.62045913,1427737.76647944,1419236.0920472
"95",1250686.07044949,1233012.53355951,1233491.35026303,1232650.05393143
"96",1138275.51510014,1135123.73982852,1133754.11510265,1135253.59744837
"97",1338716.31081905,1303983.04783494,1310478.20044423,1303764.9897789
"98",1241990.20851053,1224986.53852165,1227398.28555828,1225363.9094778
"99",1465212.19333348,1400304.43353313,1406217.24891201,1399814.74110801
"100",1281222.08797118,1258334.89229366,1260550.44862386,1257722.98778964
"101",1207102.20823037,1196072.8484474,1195578.35278739,1195871.74313862
"102",1129346.13376671,1126985.89635218,1127008.40917059,1127024.63915306
"103",1348233.63181948,1311035.37418981,1315027.45147358,1311469.52237516
"104",1400095.9587452,1351664.6201608,1354017.4732835,1351239.95060045
"105",1128107.28809902,1125801.35425835,1125994.88313944,1126163.35643195
"106",1407741.39252985,1357118.02714682,1360070.63860704,1357023.98324565
"107",1305134.89807732,1277616.81356857,1281146.47787228,1277049.11563332
"108",1344738.41140745,1308519.58805978,1311572.83555651,1308558.1916445
"109",1361875.18789328,1322562.91239995,1326096.02228338,1321967.18915015
"110",1158845.89218656,1153664.20442349,1153770.21065953,1153941.88249783
"111",1406961.34585839,1356612.70589837,1361778.52554641,1356459.89768988
"112",1367219.29099894,1325721.3548773,1328246.0374047,1326186.91910662
"113",1183755.49575341,1175369.96284381,1173904.62424999,1175598.08996053
"114",1183342.71999254,1175721.3179219,1178967.81255164,1175343.38497656
"115",1188980.48085701,1180673.44879785,1179795.25495222,1180213.11038598
"116",1269293.6091422,1248255.37077962,1250896.41221762,1247979.68814206
"117",1294690.37453328,1269206.14516087,1276255.80765847,1268798.86495065
"118",1170372.07535395,1164339.63311571,1164791.51525399,1164018.16438473
"119",1486237.263014,1415498.67397953,1420418.88828371,1415455.14605734
"120",1191677.94826253,1182294.81031789,1182651.61223595,1182465.9576557
"121",1250222.71919046,1232692.39089659,1234571.89519484,1232251.91561843
"122",1215059.22846354,1202615.73724117,1204201.17195623,1202581.4299349
"123",1241052.50506891,1224739.78153151,1225598.03702626,1224566.55771157
"124",1155162.72009454,1150665.16806342,1151317.42957644,1150569.28292217
"125",1292853.56972938,1267404.94407268,1270122.54027019,1267254.93554357
"126",1217051.16756176,1204679.66423693,1206388.01121213,1204435.70369724
"127",1269852.97596822,1248058.37055371,1249541.8647565,1248324.13739916
"128",1290626.82389759,1265777.53796888,1268099.42247803,1265525.04274664
"129",1255940.01364552,1237607.61186929,1242957.55934352,1236989.49605066
"130",1278689.44150363,1256311.10996813,1259430.20019102,1255878.75723749
"131",1331206.8020216,1298202.43547848,1301823.55732166,1297843.62668242
"132",1184205.82388334,1175981.05891015,1176063.40419989,1176194.7256504
"133",1534545.42196389,1450144.24203027,1455883.31817002,1450137.26232502
"134",1242679.85206833,1226073.90421739,1226184.89899805,1225882.62229256
"135",1369424.09517408,1327967.56421198,1330251.05497168,1327887.50757556
"136",1624546.4791138,1512245.85246997,1521829.98429201,1512171.88144581
"137",1345549.06255363,1309127.20883994,1312410.73682109,1309082.26721264
"138",1251898.70459114,1234082.99643142,1234756.20072143,1233808.20352927
"139",1390130.80552228,1343585.29150413,1345350.80627965,1343685.26305962
"140",1273486.14937823,1250881.77609188,1254725.76878184,1251435.43719986
"141",1356201.88846638,1317445.9798958,1321530.38372732,1317533.748649
"142",1096002.17451147,1096232.31969812,1095283.11595443,1096389.93414231
"143",1240147.12897552,1224090.63136693,1225402.79074739,1223845.96492862
"144",1276867.99220912,1254214.99423943,1256255.65836825,1254271.84145573
"145",1159987.10825635,1154219.89797855,1154703.75425658,1154536.02295076
"146",1364293.59596068,1324013.77383083,1327775.8749615,1324022.61737908
"147",1325237.83621951,1293133.73791583,1294167.99074286,1293214.33101874
"148",1240829.79191047,1224685.62141668,1225304.94398959,1224655.29416574
"149",1323550.76221927,1292331.04605471,1296394.90316246,1291866.45355823
"150",1213230.44553,1200920.99341092,1200340.68561447,1201006.86829758
"151",1324882.66460745,1293553.67480447,1297057.69614113,1293072.00946009
"152",1326318.31387541,1294576.06939395,1298851.56309173,1294086.64610219
"153",1237480.37327064,1221295.58416089,1224165.2353004,1221605.01696582
"154",1190926.70835469,1181418.14029554,1181951.68736483,1181744.52662203
"155",1390721.77408705,1344051.1775409,1348344.48198578,1343978.57917154
"156",1209933.1344235,1198254.65296216,1198574.52712008,1198376.2621157
