"","v_bh","v_daily","v_mon","v_con"
"1",995909.85167195,994764.065454482,994810.420722458,994755.797991203
"2",1011195.81038777,1010736.78445445,1010769.757423,1010759.50288526
"3",1002001.20262478,1001205.24871397,1001118.99642928,1001169.6486157
"4",986235.927063459,984458.462893166,984620.043703022,984485.629925112
"5",1047946.27842521,1048257.42871244,1048236.45114117,1048265.81213075
"6",1053613.59202755,1053935.33190498,1054122.04607116,1053922.66431724
"7",1030300.04508298,1030487.69345765,1030204.35709899,1030436.26937826
"8",1025247.72571335,1025269.4161995,1025162.2889054,1025247.40250838
"9",1005012.78153773,1004314.64353258,1004490.76792637,1004313.16314149
"10",1041914.83732693,1042210.25284597,1042300.71501747,1042214.92201356
"11",1015999.78738081,1015757.99721702,1015760.10751087,1015747.37707006
"12",1017122.03153289,1016861.60876503,1016813.47512996,1016895.96761655
"13",1029465.6757497,1029548.57847175,1029588.99600066,1029567.10394208
"14",1034423.75470754,1034576.30664952,1034763.14579901,1034602.19797391
"15",1025864.24530857,1025902.38868141,1025851.34679718,1025895.32412894
"16",1004556.30379292,1003877.02913294,1004187.94035008,1003832.94927072
"17",1046904.20931958,1047244.61363416,1047150.33495059,1047220.64677226
"18",1092235.92893504,1091718.60988928,1091737.32606012,1091744.53662729
"19",992785.418141679,991460.95816418,991527.085606486,991446.868391466
"20",966796.087769759,963510.732798476,963889.265864298,963529.200965214
"21",1014275.69308076,1013947.35021801,1013827.69009342,1013952.15962381
"22",976096.462871213,973611.650023556,974027.99777535,973613.375789828
"23",996286.953156702,995158.974314403,995194.579432801,995148.019892359
"24",1051432.30211544,1051743.33377938,1051611.33058375,1051756.06956149
"25",1047644.15462747,1047952.82646038,1047958.58138904,1047960.58662709
"26",1013458.2868722,1013057.99555529,1013063.31049533,1013120.38425394
"27",1005125.39860275,1004443.51588806,1004394.62296769,1004427.66559752
"28",1009488.96440409,1008969.14560775,1008879.10704199,1008995.25354305
"29",1019725.88449794,1019578.64238868,1019616.48117755,1019591.4162204
"30",1047832.74036262,1048104.35014498,1048031.5418717,1048156.42629193
"31",1028482.87140977,1028555.82982858,1028644.66913261,1028573.01135597
"32",995763.764699986,994583.499911234,994826.715619704,994591.30474904
"33",991387.862107352,990012.004851129,989995.518121106,989972.262263731
"34",1016830.9813666,1016577.51126713,1016598.65962146,1016600.01206822
"35",1017574.225174,1017332.19473181,1017397.24968405,1017376.56397912
"36",1044250.27749536,1044505.49753762,1044368.55687681,1044547.15860305
"37",1036458.26470884,1036644.66268626,1036526.46443682,1036693.35291012
"38",1041248.86611395,1041509.57206317,1041528.87434643,1041548.50437232
"39",1030893.46803583,1031001.67251585,1030839.11252459,1031032.10156638
"40",1044223.00827986,1044506.37771266,1044492.01398956,1044519.66337364
"41",1061231.30959184,1061550.51062157,1061515.23613096,1061510.60156457
"42",1053038.59975931,1053328.32827021,1053336.29603223,1053357.05869244
"43",989166.190217564,987615.01043299,987919.147510459,987593.207493623
"44",1029180.46455051,1029284.75730839,1029274.31877008,1029299.24118357
"45",1035305.99650452,1035526.12825911,1035523.89425468,1035515.25087054
"46",997650.997231449,996587.576555519,996693.461929926,996583.753923124
"47",1027859.75509799,1027925.34786563,1028148.0350685,1027935.58696179
"48",1018303.32718888,1018135.42603752,1018310.53539891,1018136.62789205
"49",1034396.64237817,1034574.47870798,1034355.69717151,1034590.5650461
"50",1015589.33330442,1015287.96696697,1015260.06219541,1015307.14849456
"51",1011327.98099039,1010874.0637796,1010758.00054177,1010892.95572238
"52",1010851.77928456,1010484.5764063,1010716.11590796,1010403.08960743
"53",1061368.09187491,1061640.77968768,1061770.88074053,1061628.54822249
"54",1069896.95891098,1069990.73966956,1070020.97701392,1070048.38624319
"55",983059.055443873,981101.046762353,981367.01328133,981105.564643858
"56",1017817.75056498,1017621.31399725,1017521.42717005,1017630.88333746
"57",953893.802286117,949368.507689512,949670.861506275,949339.270106502
"58",979099.089023156,976870.71081682,977020.042663827,976839.240117222
"59",1074001.89042789,1074075.53096281,1074170.46620716,1074057.31554212
"60",1004592.26720354,1003863.09036589,1003943.60809676,1003886.11693757
"61",1016341.98937323,1016151.7644799,1016146.06136919,1016119.26724934
"62",1021878.98650783,1021814.77889604,1021875.4252715,1021810.02263648
"63",1042333.55550122,1042637.7690338,1042806.45318117,1042616.64541877
"64",1029984.86105764,1030147.98393318,1030079.07286849,1030115.40929135
"65",1063559.28656269,1063810.98486269,1063808.65541134,1063807.13906413
"66",1060928.52147587,1061204.63677002,1061372.13283714,1061202.60523416
"67",1022115.29416208,1022052.08710883,1021917.10638334,1022057.229187
"68",1005441.80437652,1004767.68267946,1005006.92287454,1004764.18351568
"69",1041728.72425259,1042052.94732723,1041865.60918054,1042024.87935378
"70",979937.628775825,977728.786389426,977916.803594079,977733.946702972
"71",1036810.86243525,1037035.25371865,1036943.90034176,1037031.19732203
"72",1000765.55512439,999919.940920218,999929.97551058,999853.777914249
"73",1006922.5168816,1006311.2689178,1006267.51041175,1006297.2676392
"74",1068192.37440442,1068382.51635078,1068281.88082436,1068371.65047047
"75",1049942.5890256,1050269.16009968,1050236.99699742,1050258.09071466
"76",1046708.93046607,1047041.98996288,1047055.82464105,1047024.40134282
"77",980050.125289456,977873.70818756,977998.192123383,977865.748048392
"78",1002257.25242573,1001482.91880422,1001544.66054248,1001441.20605416
"79",1002846.94463911,1002041.35564247,1001896.06494455,1002041.07767887
"80",1008620.83988438,1008040.4537798,1008104.56007495,1008084.02841527
"81",1011645.63011414,1011247.62051559,1011268.40305188,1011246.21301308
"82",1024719.27154056,1024737.57561611,1024750.42269118,1024724.96840678
"83",1008891.48021689,1008354.45013766,1008369.47308121,1008368.30898481
"84",1019119.34884541,1018985.44625469,1018915.76358845,1018964.48810359
"85",1000806.1854299,999936.278194107,999777.972013423,999912.339080717
"86",997032.471843575,995914.989434301,996041.436885058,995928.458942642
"87",1041945.43198408,1042264.4955624,1042372.59574028,1042229.14855752
"88",1015711.14403405,1015479.39224061,1015348.31238552,1015469.18926335
"89",1043607.13768616,1043929.42105131,1043827.75854636,1043905.92571786
"90",1025966.49800162,1025982.37148969,1026015.33362466,1025998.22524383
"91",1011882.9041255,1011508.87776925,1011640.19679544,1011492.69761953
"92",1007873.9992342,1007335.01087299,1007285.19007461,1007308.80664479
"93",1140299.93154123,1137102.65793737,1137299.20719939,1137055.72140597
"94",1048316.70860703,1048668.49801329,1048940.56191533,1048635.77447831
"95",1034029.31559893,1034274.2449484,1034215.74056964,1034233.62575052
"96",1027670.6550126,1027776.17402857,1028117.48469684,1027762.49784588
"97",1032902.41717156,1033098.13616131,1033018.68753243,1033090.07041694
"98",1006261.82160518,1005596.65220758,1005633.83742466,1005618.75051116
"99",1041528.21450877,1041834.22025702,1041793.31022835,1041820.32318165
"100",1002350.54149902,1001518.322427,1001559.88899028,1001537.35211865
"101",985592.86208247,983768.752633254,984058.805182579,983794.004599011
"102",982108.893058456,980097.602790115,980355.08174485,980080.69058838
"103",974994.289102056,972435.596251218,972654.271282988,972414.700391201
"104",1030917.02684127,1031076.96964345,1031031.03300264,1031063.00615592
"105",1018108.61815679,1017910.79710912,1017838.13428859,1017922.46389125
"106",1034064.62252297,1034259.87195445,1034262.2700622,1034255.98527992
"107",1006523.23969545,1005900.62631306,1005850.90413758,1005890.50607328
"108",1088297.72447387,1087932.93479216,1088031.22603326,1087967.07502136
"109",1042583.35531058,1042899.86084608,1042729.90743934,1042888.74217022
"110",1068121.43043175,1068304.10529773,1068276.43774476,1068295.85683272
"111",1002299.88936299,1001473.3293556,1001385.73406015,1001479.47178337
