"","v_bh","v_daily","v_mon","v_con"
"1",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"2",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"3",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"4",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"5",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"6",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"7",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"8",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"9",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"10",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"11",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"12",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"13",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"14",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"15",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"16",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"17",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"18",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"19",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"20",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"21",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"22",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"23",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"24",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"25",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"26",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"27",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"28",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"29",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"30",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"31",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"32",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"33",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"34",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"35",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"36",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"37",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"38",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"39",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"40",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"41",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"42",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"43",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"44",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"45",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"46",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"47",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"48",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"49",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"50",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"51",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"52",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"53",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"54",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"55",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"56",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"57",895409.110340859,882026.45954254,883092.799484778,881978.314163162
"58",895409.110340859,882026.45954254,883092.799484778,881978.314163162
