"","v_bh","v_daily","v_mon","v_con"
"1",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"2",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"3",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"4",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"5",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"6",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"7",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"8",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"9",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"10",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"11",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"12",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"13",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"14",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"15",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"16",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"17",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"18",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"19",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"20",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"21",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"22",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"23",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"24",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"25",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"26",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"27",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"28",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
"29",1199929.403788,1190542.16213571,1191289.62780193,1190507.83167903
