"","v_bh","v_daily","v_mon","v_con"
"1",909534.318462005,882222.14667211,885940.594086271,881704.537817104
"2",985030.378526602,976374.551242603,978565.231494914,976115.283777242
"3",1194038.99539093,1199788.65357127,1199748.59049923,1199329.47009244
"4",858386.240176345,811584.326705467,813808.836861563,811334.039202814
"5",959080.995156434,945287.252624003,948982.063215627,944634.89877907
"6",1008582.91028071,1004078.51320876,1005626.00859497,1003652.22644814
"7",905402.144948587,876023.294479031,876990.021781665,876148.896674243
"8",945727.323104995,927924.134334039,930276.723481318,928152.17713826
"9",881567.112636719,843648.867935975,845567.835466714,843944.617127279
"10",1064500.08192778,1066146.58716903,1065254.06032558,1066153.20794031
"11",1061999.00690824,1063479.63773163,1060775.2309052,1063904.10484377
"12",1087960.8649109,1091515.22245589,1088623.27180123,1091452.90845957
"13",893996.080697668,861427.675769483,864267.102400242,860846.965621276
"14",927322.156961169,904841.200800008,906670.561999751,904807.900428721
"15",1016000.31603712,1012367.17642095,1013363.59311568,1012141.33889283
"16",966481.642164279,954081.136755971,959177.864204569,953780.558727555
"17",1015838.21430971,1011415.18139256,1014399.76210281,1011843.07945621
"18",855356.458810297,807207.138047742,811538.515994463,806846.099549806
"19",1120056.01028038,1125384.4908818,1124265.39041006,1125520.50483268
"20",981431.283911458,972374.810924882,973351.201879282,971946.102839374
"21",911134.727404977,884128.494549583,886204.467751244,883905.680415087
"22",963882.487242031,950021.77223196,953614.677793377,950532.514840617
"23",1082198.23413027,1085456.58561497,1084136.64139411,1085398.98399644
"24",1016686.92083631,1013388.1310718,1016291.76931174,1013245.82302683
"25",900690.027950221,869919.81864152,869916.115885579,869947.719672449
"26",1076116.02238086,1079486.64256371,1084233.66668615,1079087.98864235
"27",931131.927033013,909535.355778672,910341.030676138,909719.593516996
"28",1137083.92775374,1142153.94118661,1142052.65616713,1142652.81112486
"29",924826.910082245,901894.21137687,902076.667184796,901642.801910192
"30",915470.480036071,888303.072000557,889980.009953337,889175.877858208
"31",919869.396276812,895137.2428447,896488.931150985,895104.745493473
"32",925878.757904981,902791.834660236,902099.727001607,902863.740857547
"33",1002310.50312353,996139.233669797,998961.781540239,996436.08374805
"34",1072248.14158641,1074526.38809449,1076117.14016383,1074966.56669
"35",971210.874192117,959580.483723761,961495.680050658,959487.486315296
"36",971719.789443906,960652.672139725,959894.432619028,960062.336703222
"37",893413.388126306,859552.847377952,861913.428450789,860000.544784893
"38",938684.336344389,919583.40804053,921583.48204384,919227.903526824
"39",831958.473579392,773118.617359427,777035.382768498,772653.380085086
"40",1058658.1997333,1059917.82057937,1060003.69785497,1059705.45484139
"41",938218.583963869,917985.650227762,918363.634701862,918572.908280966
"42",910176.5565802,882425.283741276,884553.107952135,882492.55300182
"43",1027885.9593599,1025579.37845522,1024629.85429999,1025725.75702605
"44",827571.254952207,766469.359965324,771127.583739745,765780.509148505
"45",1145633.41133215,1151036.65160006,1154210.96043378,1151342.25371165
"46",994318.411635524,986303.881772002,987874.652642592,987113.784892527
"47",905278.104533891,876598.242310585,877105.270971238,876016.530155043
"48",998564.984993428,993035.671128791,992358.586004729,992109.722021021
"49",815539.243396446,747356.755780404,750526.866215966,747549.068094737
"50",1182671.51977685,1188525.46799383,1186804.60591784,1188249.08129589
"51",1015069.9487376,1010954.11627484,1011185.273825,1011257.9099463
"52",949689.626682982,934033.023725307,934827.637139111,933417.188771474
"53",968873.734181708,956466.238174184,957868.574181729,956379.140485345
"54",891215.144500677,856994.1894206,857952.955324566,856953.011053433
"55",1046824.94097407,1046487.23041393,1045826.2290251,1046901.36038307
"56",1066560.14339539,1068898.00742303,1073103.58678591,1068603.94105779
"57",1021189.89591297,1017769.36105944,1023572.15226963,1018029.77907006
"58",888404.002698202,853503.501687631,858780.159171964,853527.566369173
"59",1012073.37802541,1007760.32493899,1005134.6755069,1007601.20669427
"60",951490.357979545,934955.323985543,937152.719338847,935271.656211279
"61",900297.630205365,869652.003625979,872646.238963855,869307.353093714
"62",956485.868225133,941826.27707511,940660.602178082,941375.284839164
"63",1089317.01110285,1092271.12769307,1096388.89783715,1092979.94221813
