"","v_bh","v_daily","v_mon","v_con"
"1",806555.344502407,783363.655283182,785318.687047427,783276.681287807
"2",813920.105412005,792693.890475347,794477.870225262,792629.645243683
"3",814981.614234142,794038.014137335,795634.679684607,793973.61861594
"4",839659.394923626,824555.578491796,825812.477694293,824478.659320064
"5",829912.710261028,812634.61183428,814043.499837458,812572.309539486
"6",816494.517638085,795940.61412086,797598.648355899,795881.211105077
"7",820659.344747405,801172.549701743,802671.860004142,801103.975545158
"8",805725.394638674,782332.787694099,784019.49013026,782230.888641059
"9",828208.011469299,810519.883338002,811946.536364,810471.583816986
"10",823557.920787305,804798.088953507,806157.626335429,804711.259296328
"11",811885.799601195,790116.773187692,791855.130168405,790063.853475395
"12",816264.048245299,795693.633994102,797313.957583304,795589.918206343
"13",822039.211706251,802870.729610117,804237.678760302,802818.492969387
"14",819571.992044094,799822.298330266,801229.84638451,799734.325810532
"15",832999.048543394,816459.036939057,818056.277267028,816363.614910622
"16",834256.236941378,817969.883325167,819169.959783972,817904.944495207
"17",830869.305987703,813814.36250617,815202.99713139,813738.455567184
"18",828806.360410897,811248.069713716,812708.708526659,811202.181955389
"19",818028.226015332,797854.774607103,799484.491356079,797799.397695795
"20",837977.111302136,822456.725523714,823656.609307343,822430.979470461
"21",824566.349365225,806049.657448926,807639.005795855,805980.29716057
"22",831098.674625997,814082.40221733,815439.524451371,814027.280520548
"23",800959.559995722,776177.438001021,778104.788447928,776110.708725888
"24",821525.660598446,802255.326090112,803662.266677081,802175.777501926
"25",834662.895812051,818437.03016475,819723.210701522,818406.427396533
"26",814384.765379098,793339.115723868,794994.359429142,793215.728091122
"27",835778.184361346,819839.774737158,820970.62074228,819757.20843793
"28",795641.042988711,769296.127285947,771285.238416311,769225.397077073
"29",832913.743281532,816317.916204245,817687.868361076,816261.599868657
"30",810135.344493389,787922.926363604,789556.997511014,787840.813145097
"31",831373.001991351,814440.714360279,815882.186734772,814378.858078795
"32",830683.000217728,813589.774637513,815008.964465098,813528.970277802
"33",825691.912998995,807418.34636756,809064.668801703,807357.78388605
"34",823251.541169515,804418.886505602,805822.562643475,804338.329030422
"35",827203.949134953,809293.538941787,810618.393650293,809237.935927717
"36",818743.014835941,798748.819146439,800315.143550367,798695.455077722
"37",823665.317362071,804917.279091364,806346.784827891,804840.686360343
"38",837899.037473552,822381.77913823,823682.370015726,822342.373654522
"39",822981.807674677,804045.618130242,805462.472675788,803978.276097936
"40",841309.112331376,826542.28471675,827722.36184744,826485.771956348
"41",798357.080482088,772807.441863617,774817.102817918,772743.063442485
"42",815517.210559142,794741.632707587,796514.377682523,794653.434654078
"43",837644.11513875,822114.085213538,823193.106176533,822033.224479595
"44",823259.65368334,804418.515164031,805809.557798842,804330.518764439
"45",826843.158035427,808846.185243235,810309.8137954,808777.961348107
"46",803697.853714531,779711.674741175,781678.776687304,779621.365844622
"47",829745.869565133,812452.537474023,813824.173297798,812368.220789627
"48",820930.721948003,801521.634294494,802932.39723207,801426.790597424
"49",805267.78528069,781727.927017873,783848.132502319,781646.458752662
"50",811183.728759424,789266.565083882,791012.590262433,789172.411777472
"51",795594.014022356,769242.73883213,771352.842819314,769157.016791036
"52",837489.716472305,821869.376783885,822991.507586518,821841.169233379
"53",820102.52347575,800491.349764795,802205.674994156,800397.293042979
"54",834531.355386429,818312.752628325,819549.659845869,818237.397852594
"55",842630.202743088,828165.672214078,829412.809955725,828102.050867304
"56",805028.739290257,781399.557835861,783262.071358717,781334.204930401
"57",803440.275016081,779382.433068027,781295.75576328,779299.908715238
"58",832229.452849266,815482.30283166,816677.847706057,815422.533948424
"59",824233.356656521,805654.055431541,807070.80832281,805548.538808302
"60",835658.553834786,819653.108038237,820985.478436606,819611.2448026
"61",809099.031006505,786610.412294997,788540.924879391,786529.998140224
"62",793079.923790513,765978.846293762,768021.682933868,765877.979199946
"63",825368.127502777,807034.474971583,808630.918681902,806949.461731477
"64",825684.224274044,807416.98813832,808747.527470175,807357.797911549
"65",804971.231083468,781321.016412686,783239.475595385,781255.783631214
"66",811409.631462128,789525.311840105,791293.198925853,789452.46605863
"67",833324.118715347,816826.380582742,818072.421344973,816773.736892379
"68",843919.074989435,829658.598150824,830714.947928253,829626.972229062
"69",801133.55799586,776421.977956939,778244.808460718,776315.606135421
"70",826820.111944838,808820.698226972,810285.56133201,808763.358807554
"71",803181.824786183,779039.548598049,780925.534567696,778957.247716375
"72",809849.059052961,787564.523667627,789475.157412867,787477.160877229
"73",832253.36890569,815557.38387148,816896.61481113,815452.394291164
"74",815176.525153268,794290.470256117,796083.85418649,794222.360810613
"75",826654.247384023,808643.790489947,810002.842968195,808549.005162302
"76",820883.381133967,801461.001301133,802897.896176592,801379.316875477
"77",799909.773747341,774826.632136313,776777.675494136,774747.536618075
"78",784470.938791686,754674.582315826,757006.620687448,754545.440543281
"79",790107.51872773,762125.16347222,764267.225763866,762000.888922962
"80",829491.597125458,812132.944641243,813550.336846879,812054.330637876
"81",793589.365202238,766638.06173863,768744.660616645,766542.456354791
"82",851609.103272638,838850.994907604,839760.072725761,838857.5309032
"83",827329.522893326,809478.346766627,810851.31241823,809392.414570805
"84",834214.198559382,817884.597830557,819090.245656609,817863.014158754
"85",860426.439431989,849340.418098235,850330.602134156,849314.453395515
"86",810704.106650929,788632.737967299,790374.882088617,788560.573075704
"87",841704.050776318,827027.587069142,828103.76053871,826970.957069116
"88",810962.754753372,788988.769546043,790810.551341451,788898.567898451
"89",826021.95776162,807809.593319116,809382.321386686,807775.218293605
"90",816755.380418341,796241.797552827,798039.022708541,796217.244964964
"91",806244.916882317,782981.771623969,784895.401231889,782881.126197262
"92",808943.760684703,786398.837771283,788083.880733422,786330.872174645
"93",800983.774205989,776198.766118623,778302.107238158,776117.861020018
"94",811181.195823916,789262.607266387,790959.685696917,789173.326755132
"95",824152.982053356,805521.260651161,806914.49555578,805443.826823945
"96",804885.779461686,781253.990863867,783124.691854771,781156.164786919
"97",830331.011363106,813147.222882798,814406.338943224,813086.165073892
"98",829756.67679968,812447.643432128,813713.771969698,812395.166949389
"99",839224.4556452,823979.195497104,825136.78795869,823958.457203751
"100",815821.445483963,795102.686234039,796646.747293984,795035.678887094
"101",821469.322799451,802238.251696033,803680.812034284,802114.770651771
"102",786614.190108718,757481.260015529,759696.071607666,757384.562047495
"103",807956.834170145,785147.355354318,786900.860769817,785072.992349062
"104",822399.915114924,803337.18983738,804768.488239149,803265.44458918
"105",828325.754773613,810685.103941132,812102.662369186,810623.47938244
"106",814673.742471616,793705.188259232,795252.062316234,793595.076262118
"107",802398.760509627,778064.127727462,779974.852163621,777943.742406341
"108",822298.504478558,803222.044040433,804750.628757145,803132.879419945
"109",816638.757293454,796154.674001731,797811.530790735,796059.463305751
"110",826365.11649481,808288.788762709,809658.663772821,808198.616280932
"111",803889.573768905,779941.567912436,781750.435971169,779876.195013299
"112",814007.731739995,792816.256432217,794655.818133577,792737.225568164
"113",835593.882433306,819561.833834816,821078.779118707,819542.21773236
"114",794978.271366919,768497.185050414,771010.945359326,768347.764045092
"115",821594.423184075,802409.1254366,803871.020743405,802261.498415346
"116",839934.434072927,824894.346638583,826088.789557849,824811.182866846
"117",812438.244395782,790828.774499608,792437.894450715,790769.422993444
"118",817329.307028995,796979.111851609,798563.780568905,796926.328721084
"119",807893.838268426,785051.225595271,786907.823817867,784979.467595404
"120",818155.643335674,798016.144789473,799567.687898879,797955.285893291
"121",827598.377549162,809744.773716504,811122.399064521,809716.901463607
"122",788102.867588375,759436.521968081,761717.435090738,759350.275072466
"123",831944.0105582,815147.470831742,816434.13511743,815088.381455519
"124",821452.54196496,802131.588261992,803733.662656075,802082.631371407
"125",827395.894668877,809519.600681415,810943.68106241,809454.856982844
"126",825507.05410135,807249.228749192,808579.903181382,807142.851659765
"127",853986.363569669,841710.03178285,842671.037581356,841691.205837265
"128",853334.56896818,840954.616906035,841857.881931224,840920.829653352
"129",805761.877402404,782361.34385221,784148.707672828,782253.045098821
"130",828890.318724812,811370.900086574,812804.953831901,811317.518887057
"131",804887.278684173,781232.365944087,782999.485500615,781150.107504997
"132",845648.766622138,831801.673814709,832735.827233657,831716.593364131
"133",806019.623671903,782659.066827449,784457.291862026,782602.76499116
"134",810323.576576028,788169.279864191,789828.107420797,788086.097296772
"135",807183.633389849,784162.264125994,785958.396560009,784080.927867017
"136",815591.459380233,794844.181249414,796556.759634319,794743.73349844
"137",843820.323740926,829586.426359703,830570.588941536,829525.21615823
"138",813375.353278138,792030.295769796,793640.156642994,791956.729314669
"139",808223.600389382,785497.477472842,787273.672801296,785418.186201871
"140",792473.667804368,765187.343948165,767410.089216022,765085.311611887
"141",832159.821038869,815396.987321366,816920.555960053,815332.183900143
"142",799439.296593426,774219.92508219,776404.023323045,774136.682627215
"143",846319.955210677,832593.254335093,833668.522936032,832516.902702558
"144",801343.388432975,776700.432360657,779052.125128676,776601.208703647
"145",831580.869845787,814661.844539338,815907.408439704,814609.879056759
"146",810587.05606237,788513.42358787,790291.957418934,788419.172784761
"147",808349.333786714,785677.642834474,787406.002114443,785584.584761041
"148",810530.577062579,788400.507277642,790022.400602307,788341.866527931
"149",837622.740864862,822060.821679397,823192.603525322,822008.245655284
"150",791019.890504557,763226.870389322,765536.7679597,763178.607038064
"151",845262.276517516,831323.243311653,832351.009373885,831263.465600453
"152",813805.960665491,792571.423419184,794201.012355035,792490.158504643
"153",815734.123305537,795000.095351997,796560.539653112,794932.351407723
"154",815265.961108536,794414.061939445,795926.588200804,794325.839262661
"155",802510.131258707,778175.569200197,780063.550764797,778099.228868435
"156",826421.522299032,808328.380374748,809752.764299356,808268.309902913
"157",798843.474271872,773441.061193169,775475.702091106,773363.712365669
"158",827135.064136614,809197.567882101,810785.266140938,809140.553940729
"159",794949.100147144,768408.352002412,770473.596172177,768321.28142892
"160",826803.493017731,808783.09998619,810096.113218611,808728.014371054
"161",822179.604895974,803067.827519493,804473.628658253,802998.784750778
"162",826206.604428488,808095.462196983,809727.449945364,807996.341986969
"163",815450.04276027,794618.978570446,796182.767139597,794561.438750659
"164",787468.870087285,758599.095505636,760925.884620091,758512.986206236
"165",815630.056834938,794883.966089264,796637.970056596,794792.227588988
"166",781826.363272628,751155.668170871,753528.283336851,751032.47314971
"167",816555.206677486,795993.821099202,797562.008888331,795948.09315226
"168",805580.037561757,782113.171990183,784026.218839687,782030.03853634
"169",812334.462496859,790716.086509708,792489.161960226,790630.990173802
"170",818200.730642806,798106.075588884,799729.766978242,798026.932285445
"171",808934.151460776,786396.205393155,788118.997075612,786311.453948923
"172",809367.262340549,786949.012939546,788644.397586721,786865.123477363
"173",800580.354765191,775753.285966661,777660.686929367,775621.378984015
"174",811577.066872974,789782.97401793,791537.784023526,789687.302875109
"175",787688.239282496,758878.571874864,761197.372394487,758812.026147719
"176",788794.969042608,760338.20053961,762629.807251037,760262.999766737
"177",812848.430054757,791375.673172822,793057.755685015,791279.213185909
"178",824350.64346246,805754.059485917,807285.623304814,805690.599667251
"179",818213.686843268,798076.525429463,799758.658996343,798037.408681168
"180",848731.109587068,835545.050876368,836593.709733106,835419.416174057
"181",800444.297548741,775533.039187725,777419.576766486,775440.646924053
"182",791213.481566842,763548.86646189,765802.445215512,763438.151173697
"183",822438.436122444,803361.945864244,804828.664144006,803309.859323079
"184",827079.559997306,809147.664586671,810602.431959983,809071.852817273
"185",812551.10603407,791004.500532889,792892.317367773,790910.852014377
"186",825574.168107083,807271.799697737,808779.904981071,807215.303967007
"187",834905.669108149,818720.230018258,819960.396051538,818694.201416868
"188",797096.339977887,771210.402994438,773348.551081582,771102.139405056
"189",820133.872910086,800492.206609827,801915.720784417,800455.761246751
"190",796403.545871865,770305.804130973,772383.728503139,770197.732780789
"191",801488.861190366,776880.361034281,779008.354937482,776789.260309411
"192",833622.410535341,817166.694646247,818439.248416325,817134.862902904
"193",826922.657472629,808914.549668216,810292.655236889,808886.006979865
"194",836993.18843358,821306.152553845,822486.188338479,821243.623554419
"195",806972.234531001,783878.372550042,785598.945209839,783808.881182477
"196",818661.871832046,798677.430392529,800162.675273682,798608.71729644
"197",826715.519199877,808704.013005266,810233.040889096,808630.688006997
"198",836801.425286989,821059.518758237,822181.571618793,821007.950013299
"199",811788.8028534,790020.045635858,791798.595677658,789947.405715888
"200",803528.906406125,779521.038295675,781601.877874492,779403.544284262
"201",832639.412889939,816014.418931506,817283.977766102,815914.460668219
"202",838136.867619406,822700.513896985,823948.124704057,822630.857389158
"203",837914.536001836,822415.855017442,823689.351549509,822365.986667967
"204",821753.395805595,802543.157908985,803975.992419117,802463.776639445
"205",791022.796061186,763273.657456742,765446.730360531,763191.881343902
"206",805484.92850862,781992.999086796,783907.0766014,781907.549379884
"207",809326.067925575,786901.903542497,788711.742903928,786816.104135999
"208",836502.941804748,820687.593973102,821916.554151396,820646.58164237
"209",841019.703420176,826210.748434932,827388.613262283,826150.389745211
"210",805675.359287977,782217.434918866,784276.802717152,782156.055882275
"211",831207.296887309,814232.720784897,815589.79921526,814159.077295512
"212",854969.921735227,842918.061275381,843849.972561797,842847.913900896
"213",840851.863102561,825978.543256759,827116.063724855,825918.578974199
"214",838673.710627854,823388.251333542,824514.099858243,823294.969918145
"215",806034.014984253,782673.59462,784500.226133753,782612.643028955
