"","v_bh","v_daily","v_mon","v_con"
"1",1144395.80994276,1141423.57702443,1139956.66995746,1140951.3192302
"2",1334292.70931963,1298863.04199734,1306271.19366894,1298435.68590716
"3",1337848.63374635,1301210.25271986,1304118.92720233,1300902.80241282
"4",1071505.54851398,1074239.4233704,1072965.54178705,1074584.3375419
"5",1039226.86721409,1044585.72633976,1043650.50886532,1043625.58333245
"6",1007087.25840628,1012747.09137535,1015021.21618071,1012479.7593322
"7",1356618.65366666,1315345.88375539,1316628.64732901,1315365.13771376
"8",1257617.90183577,1237378.02824578,1238557.56914423,1237155.80108807
"9",1244857.87903868,1227577.42493185,1228036.6110387,1226817.65276123
"10",1207641.78833764,1195756.05921341,1196675.82739237,1195615.47523568
"11",941909.877104152,944688.037326616,942296.725532918,944837.692416985
"12",1239035.17017137,1221418.24127242,1224411.97406998,1221502.7241746
"13",1324336.00565697,1290670.40261357,1293317.0198138,1290202.94076271
"14",1328084.15267067,1293390.76561201,1295957.52165761,1293405.93424832
"15",968067.460519971,971955.856607256,972643.898106115,972519.412150125
"16",1072801.23032391,1075069.69357076,1073669.83210777,1075451.87733627
"17",1148354.61864887,1143773.31484695,1147753.4039995,1144657.10883628
"18",1298519.45613048,1269987.21373295,1270794.2392585,1270109.92636707
"19",1072373.92846265,1075932.88001122,1075744.56543985,1075282.88881656
"20",1186580.92381526,1177585.8278924,1176733.11371779,1177377.29460495
"21",1043245.27915779,1047697.38658973,1046903.90291845,1047709.78520104
"22",1261388.00192979,1240318.89938607,1239865.66823737,1240101.65491319
"23",1123511.99797126,1121903.57242987,1122330.56647627,1122068.1367265
"24",993793.235599289,998596.00979334,998505.549047883,998612.614235985
"25",1031582.35120672,1036630.39417852,1038158.80106632,1036316.46973038
"26",1291812.00894205,1265077.59855813,1271720.2282045,1264856.90665943
"27",1248522.80211892,1229604.42382473,1233345.55233353,1229589.83933886
"28",889965.244610619,887882.715014929,890244.259990282,887634.484746332
"29",1042782.2629153,1047200.62949035,1045992.18221875,1047171.0183195
"30",1057015.78278498,1060224.64352379,1061385.23294395,1060390.70450753
"31",1142974.3272576,1139930.63464082,1139755.63027047,1139632.63908099
"32",1048722.58944374,1053281.72053623,1050326.93583138,1052743.73713736
"33",1240617.79002789,1223079.54718964,1228167.1244703,1223169.45747926
"34",1222361.77399855,1208792.17506052,1209570.486282,1208153.40115985
"35",1365694.0696299,1322182.58143074,1327550.19055367,1322444.80334267
"36",1009073.40576718,1014768.40419297,1012516.32396429,1014157.68614749
"37",1161412.69534174,1156035.13561484,1152782.10853585,1155837.40617535
"38",1151887.25803559,1148533.95185155,1148536.04240899,1147863.44864338
"39",1259526.0469216,1238883.99257084,1242753.44718367,1238719.1088749
"40",1075784.76631988,1078627.75506429,1078402.63413783,1078487.3623364
"41",1020981.47627801,1025946.38734304,1022944.54382663,1026016.37627722
"42",1215968.14824537,1203341.36374792,1203125.67535281,1203011.45391181
"43",994246.609160788,999088.18383193,1000817.69200965,999325.743654295
"44",1073447.46825534,1077371.25988587,1077120.65041146,1076338.09580767
"45",1239782.18979795,1221586.08061166,1224505.0871421,1222093.4276293
"46",1040633.55236535,1045389.60665591,1045175.60056984,1045132.44619519
"47",1244145.26539588,1225272.00510569,1229672.57156322,1225925.31878382
"48",1284524.06844189,1260486.93932051,1258235.11222096,1259154.10536413
"49",1279753.81375244,1255694.5900865,1259489.94162888,1255078.1663171
"50",1151579.28362525,1147944.29392119,1149851.00484979,1147473.01256185
"51",1049505.88628127,1053295.4177126,1050842.8849187,1053386.57440024
"52",1546532.70936707,1453631.17372443,1461347.57358756,1453887.82783558
"53",1328080.84086459,1293620.17828799,1300002.8377202,1293372.56987246
"54",1024827.49985909,1030672.18159527,1027808.73650353,1029713.12961776
"55",1341447.15707898,1303006.63030243,1306462.85357002,1303545.22120579
"56",994390.470545294,999706.492107076,1006002.87261968,999369.02071394
"57",1061094.78993275,1064378.08302938,1069335.31949935,1064563.13456001
"58",1146472.76773134,1142652.01630868,1144154.73747363,1142891.49286878
"59",1259361.63866102,1239474.58809965,1237369.36643924,1238683.33125548
"60",1108677.05010599,1109170.73554951,1107833.04317343,1109001.0658814
"61",1042128.59740552,1046434.76040789,1043256.67879933,1046461.33268228
"62",1124127.1437331,1122752.2552919,1121906.00841651,1122902.34817241
"63",1118838.860375,1118306.93254741,1119552.08001612,1117994.03338968
"64",943616.235473272,946412.844894609,944374.426050965,946458.264529167
"65",1160202.55257268,1153749.11956451,1155557.53396992,1154795.10734114
"66",1326814.04461693,1292180.58255713,1293238.12324311,1292228.54607398
"67",1088800.01714129,1091075.10258114,1094038.94847061,1090891.33954282
"68",1158990.60139743,1153653.47998044,1150823.08429856,1153696.0124139
"69",1223319.14856706,1208386.90630767,1206234.96106012,1208902.14119532
"70",1229973.82599746,1214452.17804368,1217394.74589892,1214139.63380706
"71",1050241.07299752,1054798.46734606,1052067.742165,1054145.2097031
