"","v_bh","v_daily","v_mon","v_con"
"1",1015418.98628683,1023263.76867637,1022204.24147948,1023349.31263882
"2",1166048.45091637,1164014.66195743,1167365.70540267,1163802.36255135
"3",944395.565882157,949344.163934167,945251.602302373,950345.316148951
"4",1202559.25443634,1194905.67694594,1193835.74674655,1194663.50193479
"5",928255.666344253,932428.629078247,928046.465717484,932644.930739577
"6",803544.753629879,784939.278772075,785301.665656497,785301.119736942
"7",933456.825721839,939442.993266142,940457.949463813,938211.558835519
"8",1194950.61199309,1188486.67673619,1186008.84844997,1188020.16138426
"9",1152644.05339978,1151222.94481446,1159356.63052475,1151897.86948186
"10",838060.669777973,827654.818671752,826563.136419671,828577.378241995
"11",874108.019598587,870610.248340349,874480.352421602,871663.895781155
"12",882662.253630188,881525.104148697,883770.943720326,881909.808050319
"13",889381.13333933,889641.534028999,888793.729503615,889107.117353355
"14",846495.300497924,838696.564415633,837197.636181157,838936.027354195
"15",841613.132453004,833043.457943881,835507.782188525,832966.013590069
"16",884412.004041477,884168.064034834,880197.251911274,884038.480317852
"17",920174.901368558,923758.060475539,923939.023500983,923677.453194181
"18",1233334.28311165,1220376.47446785,1231735.05016521,1220493.18719755
"19",1102223.84818606,1106004.70819462,1108489.80066638,1105662.39002925
"20",981268.919044092,990062.967347033,984940.844536393,989035.675924386
"21",1042958.37222101,1051048.5101343,1049886.55805873,1051128.99273476
"22",1109141.83651697,1112842.90767522,1107953.30777734,1112434.89286176
"23",1032624.00014591,1039632.88619897,1037720.98598451,1040181.76801316
"24",1090428.536121,1094981.69689162,1098300.9449907,1095005.59854855
"25",993297.392132319,1001357.934939,1000923.80046569,1001107.54260173
"26",1013743.20294735,1021412.81590502,1023306.07353345,1021732.54543453
"27",1313649.15205622,1287053.40779636,1286943.11538238,1285895.12771094
"28",944757.790936003,950345.300632778,950984.525676094,950224.13047605
"29",1093625.39583554,1097940.03477852,1096076.14010897,1098146.4345005
"30",1053052.39630807,1060941.11837251,1060440.02041178,1060539.1540804
"31",1087733.80074704,1091908.07729831,1090919.55642426,1092713.17625643
"32",825679.374785945,813015.726017592,813443.866901232,813373.057223603
"33",948613.569826912,954063.938374258,948949.291979826,954912.682334482
"34",1024905.15572046,1033228.16654988,1036947.31981447,1032943.41037264
"35",767924.292440313,738385.211364578,741030.734060199,737859.904412782
"36",870965.06850834,867571.608369278,867271.639501378,868063.954162013
"37",998503.970389952,1005575.19595509,1007946.54328377,1006110.39363003
"38",1181777.71138993,1176614.10306075,1175484.4967691,1176790.41701312
"39",1084207.4751151,1088609.24048278,1091953.72883985,1089589.03007852
"40",853321.524155055,847460.22316666,845612.713074881,847187.541704723
"41",1038072.32496584,1045437.08822357,1047134.73248489,1045472.690769
"42",913291.97493837,916143.33952881,914110.387798439,916098.681293899
"43",1281049.8758004,1258870.03915115,1263010.44931239,1259340.78288363
"44",803204.428363632,785463.873006883,797540.904025158,784845.958357979
"45",1034618.34038261,1041014.82838838,1040472.65206691,1041836.35784177
"46",1135290.92743396,1135525.72814758,1134605.20932773,1135738.71703968
"47",1080251.94914789,1086373.35105215,1087581.09518373,1086326.69718785
"48",1225456.25411719,1213463.27078859,1216303.69284765,1214087.99841078
"49",809935.777433715,793147.155570619,793648.124701996,793366.359857722
"50",991461.372425104,1000136.57632253,995773.351051203,999274.424952643
"51",1113577.89372392,1118067.75589366,1119957.86725474,1116845.50854349
"52",1126685.88150237,1127490.31299052,1128929.47552874,1128382.04174658
"53",854028.709521609,848028.431282943,847516.74273919,848416.737095448
"54",1104073.42612467,1107375.11315664,1110770.99048706,1107463.33278104
"55",1021639.97760633,1030019.10784873,1028465.17879351,1029584.54495636
"56",973387.781712256,980256.932825088,980118.391093143,980539.049987266
"57",1221407.21954562,1209729.49217291,1207972.34182309,1210573.55410154
"58",1107525.65734702,1110432.96139055,1112058.85141593,1110713.50943039
"59",914023.211335208,917843.476750215,921286.65749928,917225.530457511
"60",822094.539046434,809302.494292807,810614.207481006,808990.871665277
"61",978976.725229617,987057.933276816,984761.832922466,986538.988797827
"62",1134409.44766679,1136610.36238415,1133440.19492887,1135164.07601084
"63",1169974.70608307,1165077.99817034,1164698.61774412,1166796.51962578
"64",1185016.13631877,1179311.87336684,1177048.28560601,1179836.65345132
