"","v_bh","v_daily","v_mon","v_con"
"1",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"2",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"3",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"4",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"5",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"6",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"7",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"8",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"9",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"10",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"11",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"12",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"13",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"14",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"15",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"16",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"17",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"18",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"19",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"20",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"21",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"22",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"23",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"24",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"25",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"26",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"27",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"28",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"29",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"30",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"31",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"32",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"33",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"34",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"35",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"36",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"37",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"38",952418.70901798,951239.567121519,951332.644076671,951234.548897485
"39",952418.70901798,951239.567121519,951332.644076671,951234.548897485
