"","v_bh","v_daily","v_mon","v_con"
"1",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"2",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"3",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"4",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"5",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"6",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"7",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"8",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"9",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"10",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"11",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"12",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"13",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"14",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"15",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"16",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"17",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"18",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"19",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"20",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"21",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"22",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"23",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"24",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"25",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"26",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"27",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"28",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"29",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"30",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"31",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"32",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"33",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"34",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"35",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"36",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"37",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"38",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"39",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"40",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"41",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"42",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"43",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"44",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"45",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"46",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"47",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"48",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"49",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"50",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"51",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"52",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"53",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"54",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"55",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"56",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"57",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"58",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"59",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"60",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"61",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"62",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"63",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"64",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"65",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"66",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"67",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"68",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"69",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"70",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"71",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"72",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"73",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"74",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"75",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"76",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"77",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"78",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"79",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"80",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"81",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"82",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"83",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"84",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"85",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"86",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"87",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"88",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"89",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"90",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"91",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"92",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"93",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"94",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"95",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"96",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
"97",1245912.34882064,1221472.08890171,1223415.73094332,1221385.21308154
